repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
2dust/v2rayN,5891,1,1,1,6.545,0,0,0,1
2dust/v2rayN,5886,1,10,0,7.970833333333333,13,0,0,1
2dust/v2rayN,5876,7,23,3,11.890833333333333,1540,0,0,1
2dust/v2rayN,5869,1,2,2,16.078333333333333,133,0,0,1
2dust/v2rayN,5865,1,6,6,7.3566666666666665,647,0,0,1
2dust/v2rayN,5855,1,75,7,1.0666666666666667,391,0,0,1
2dust/v2rayN,5854,4,71,2,12.886111111111111,227,0,0,1
2dust/v2rayN,5853,1,21,0,6.649166666666667,38,0,0,1
2dust/v2rayN,5840,18,272,16,9.07611111111111,1495,0,0,1
2dust/v2rayN,5835,11,70,3,2.6225,117,0,0,1
2dust/v2rayN,5834,9,32,17,1.763611111111111,642,0,0,1
2dust/v2rayN,5829,10,72,4,4.121111111111111,590,0,0,1
2dust/v2rayN,5767,2,41,41,10.020833333333334,0,0,0,1
2dust/v2rayN,5720,11,121,87,37.903333333333336,935,0,0,1
2dust/v2rayN,5639,1,4,4,291.30583333333334,0,0,1,2
2dust/v2rayN,5636,1,18979,108,11.5625,563,0,0,1
2dust/v2rayN,5580,24,174,135,39.34777777777778,0,0,0,1
2dust/v2rayN,5566,1,16,2,6.83,1350,0,0,1
2dust/v2rayN,5550,1,6,0,10.901111111111112,574,0,0,1
2dust/v2rayN,5394,11,49,2,26.796944444444446,24,0,0,1
2dust/v2rayN,5381,1,9,9,39.57805555555556,0,0,0,1
2dust/v2rayN,5379,30,2851,2883,61.88527777777778,64,0,0,1
2dust/v2rayN,5377,1,2,2,67.04277777777777,138,0,0,1
2dust/v2rayN,5264,1,7,2,43.87888888888889,632,0,0,1
2dust/v2rayN,5246,7,788,766,782.9658333333333,169,0,0,1
2dust/v2rayN,5229,1,2,2,144.5025,108,0,0,1
2dust/v2rayN,5225,1,7,3,155.57638888888889,891,0,0,1
2dust/v2rayN,5213,1,3,1,1.9475,70,0,0,1
2dust/v2rayN,5210,1,2,0,19.87388888888889,8,0,0,1
2dust/v2rayN,5177,4,28,6,30.203333333333333,0,0,0,1
2dust/v2rayN,5122,2,0,0,1.561388888888889,530,0,0,1
2dust/v2rayN,5105,1,24,5,445.82138888888886,246,0,0,1
2dust/v2rayN,5087,1,31,3,48.13527777777778,147,0,0,1
2dust/v2rayN,5066,1,3,12,11.618611111111111,0,0,0,1
2dust/v2rayN,5053,1,1,1,26.06388888888889,0,0,0,1
2dust/v2rayN,5045,1,1,1,60.86833333333333,210,0,0,1
2dust/v2rayN,5026,12,480,401,35.202222222222225,375,0,0,1
2dust/v2rayN,5002,1,1,1,7.226944444444444,0,0,0,1
2dust/v2rayN,4991,16,756,472,17.13277777777778,1279,0,0,1
2dust/v2rayN,4935,3,53,38,864.8469444444445,236,0,0,1
2dust/v2rayN,4917,2,249,1,47.11638888888889,109,0,0,1
2dust/v2rayN,4915,4,76,39,58.72222222222222,0,0,0,1
2dust/v2rayN,4878,1,1,1,30.948611111111113,33,0,0,1
2dust/v2rayN,4849,5,142,27,152.0663888888889,245,0,2,2
2dust/v2rayN,4848,1,2,2,4.408611111111111,64,0,0,1
2dust/v2rayN,4811,2,2,2,39.48777777777778,0,0,0,1
2dust/v2rayN,4802,1,2,1,9.702222222222222,22,0,0,1
2dust/v2rayN,4757,2,13,13,33.680277777777775,0,0,0,1
2dust/v2rayN,4738,30,576,576,19.371388888888887,66,0,0,1
2dust/v2rayN,4729,30,578,578,1.136111111111111,66,0,0,1
2dust/v2rayN,4712,1,16,6,11.948888888888888,359,0,0,1
2dust/v2rayN,4711,1,15,3,12.37111111111111,796,0,0,1
2dust/v2rayN,4655,1,18,4,30.984166666666667,1096,0,0,1
2dust/v2rayN,4645,26,1280,30,324.83222222222224,149,0,0,1
2dust/v2rayN,4621,3,9,16,11.978333333333333,0,0,0,1
2dust/v2rayN,4612,8,166,16,39.7975,624,0,0,1
2dust/v2rayN,4603,1,1,1,10.50611111111111,46,0,0,1
2dust/v2rayN,4594,1,2,3,12.256388888888889,559,0,0,1
2dust/v2rayN,4571,1,8,8,20.236944444444443,0,0,0,1
2dust/v2rayN,4568,1,4,0,28.46638888888889,107,0,0,1
2dust/v2rayN,4567,1,2,2,33.3625,196,0,0,1
2dust/v2rayN,4464,9,433,377,1.8652777777777778,729,0,0,1
2dust/v2rayN,4457,3,100,106,64.0425,109,0,0,1
2dust/v2rayN,4444,8,154,161,11.849444444444444,757,0,0,1
2dust/v2rayN,4432,6,14,14,2.4080555555555554,339,0,0,1
2dust/v2rayN,4409,2,109,1,7.818333333333333,76,0,0,1
2dust/v2rayN,4405,1,1,1,20.598055555555554,0,0,0,1
2dust/v2rayN,4385,6,362,358,25.932222222222222,43,0,0,1
2dust/v2rayN,4383,10,110,10,1137.6680555555556,114,0,0,1
2dust/v2rayN,4382,8,21,12,56.52333333333333,190,0,0,1
2dust/v2rayN,4321,1,5,0,705.8644444444444,650,0,0,1
2dust/v2rayN,4319,8,60,1,729.0791666666667,205,0,0,1
2dust/v2rayN,4299,3,6,5,23.67222222222222,408,0,0,1
2dust/v2rayN,4294,2,11,18,25.950277777777778,263,0,0,1
2dust/v2rayN,4291,10,0,71,34.599444444444444,361,0,0,1
2dust/v2rayN,4287,1,23,27,1095.8641666666667,0,0,2,3
2dust/v2rayN,4283,2,36,2,1135.6066666666666,241,0,0,1
2dust/v2rayN,4255,2,3,1,310.9225,122,0,0,1
2dust/v2rayN,4235,1,243,243,495.5802777777778,0,0,0,1
2dust/v2rayN,4222,30,6001,6039,792.9111111111112,144,0,2,2
2dust/v2rayN,4155,1,1,0,41.966388888888886,0,0,0,1
2dust/v2rayN,4149,1,4,4,10.710555555555555,33,0,0,1
2dust/v2rayN,4144,1,1,1,11.793333333333333,126,0,0,1
2dust/v2rayN,4141,3,13,3,1.7838888888888889,138,0,0,1
2dust/v2rayN,4123,3,1142,1,144.15916666666666,0,0,5,3
2dust/v2rayN,4122,3,4,4,157.76222222222222,9,0,0,1
2dust/v2rayN,4060,1,12,0,87.20222222222222,11,0,0,1
2dust/v2rayN,4055,1,37,16,133.17944444444444,0,0,0,1
2dust/v2rayN,4051,23,561,7,180.67638888888888,181,0,0,1
2dust/v2rayN,4049,1,1,0,191.6325,0,0,0,1
2dust/v2rayN,4048,12,122,3,195.0013888888889,572,0,0,1
2dust/v2rayN,4045,12,122,2,26.200555555555557,484,0,0,1
2dust/v2rayN,3989,1,4,4,64.48055555555555,31,0,0,1
2dust/v2rayN,3943,1,2,1,303.8986111111111,0,0,0,1
2dust/v2rayN,3931,12,348,5,673.8658333333333,0,0,0,1
2dust/v2rayN,3895,1,10,10,28.311666666666667,79,0,0,1
2dust/v2rayN,3844,11,139,11,27.682222222222222,0,0,0,1
2dust/v2rayN,3842,2,16,11,43.945277777777775,159,0,0,1
2dust/v2rayN,3834,3,214,27,93.61333333333333,0,0,0,1
2dust/v2rayN,3828,9,178,0,143.43138888888888,132,0,0,1
