repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
3b1b/manim,2220,1,3,4,83.45361111111112,376,0,0,1
3b1b/manim,2214,1,1,1,198.11166666666668,0,0,0,1
3b1b/manim,2205,3,102,0,22.1175,379,0,0,1
3b1b/manim,2202,1,1,1,6.366666666666666,379,0,0,1
3b1b/manim,2180,1,10,13,24.178333333333335,4487,0,0,1
3b1b/manim,2171,9,15,30,75.55111111111111,56,0,0,1
3b1b/manim,2168,1,1,1,411.5416666666667,617,0,0,1
3b1b/manim,2163,30,868,801,421.60777777777776,461,0,0,1
3b1b/manim,2161,21,70,55,2.762777777777778,375,0,0,1
3b1b/manim,2147,2,8,5,822.8622222222223,1777,0,0,1
3b1b/manim,2139,28,953,0,2134.7213888888887,362,0,0,1
3b1b/manim,2138,1,3,0,2256.2027777777776,760,0,0,1
3b1b/manim,2134,1,1,1,2575.597777777778,2566,0,0,1
3b1b/manim,2108,1,1,1,1279.203888888889,704,0,0,1
3b1b/manim,2107,1,2,2,4340.056111111111,379,0,2,3
3b1b/manim,2104,1,5,3,56.87,388,0,0,1
3b1b/manim,2090,2,5,2,1740.1366666666668,1355,0,0,1
3b1b/manim,2079,1,1,1,6698.373611111111,1179,0,0,1
3b1b/manim,2061,1,5,3,8871.076944444445,692,0,0,1
3b1b/manim,2059,1,2,1,9014.336666666666,2077,0,0,1
3b1b/manim,2058,0,0,0,10167.54611111111,1707,0,0,1
3b1b/manim,2057,2,9,0,9033.530555555555,1080,0,1,2
3b1b/manim,2056,3,27,6,9035.396666666667,910,0,1,2
3b1b/manim,2055,3,22,4,9036.515,1947,0,0,1
3b1b/manim,2036,1,3,1,10451.753055555555,1601,0,0,1
3b1b/manim,2028,1,26,0,5289.953333333333,391,0,2,2
3b1b/manim,2009,1,1,1,12572.199166666667,69,0,0,1
3b1b/manim,2008,1,1,1,2.5097222222222224,85,0,0,1
3b1b/manim,1981,14,334,333,21.093888888888888,89,0,0,1
3b1b/manim,1980,5,9,27,2.618888888888889,259,0,0,1
3b1b/manim,1978,1,4,1,5.5472222222222225,58,0,0,1
3b1b/manim,1974,20,324,219,6.731944444444444,212,0,0,1
3b1b/manim,1969,1,1,1,7.0761111111111115,271,0,1,2
3b1b/manim,1962,3,3,3,29.054166666666667,414,0,1,2
3b1b/manim,1959,30,753,624,119.61638888888889,537,0,0,1
3b1b/manim,1955,1,1,1,344.20722222222224,121,0,0,1
3b1b/manim,1948,2,0,13,6.941944444444444,1730,0,0,1
3b1b/manim,1943,29,1038,760,74.59916666666666,837,0,0,1
3b1b/manim,1940,10,263,230,21.375555555555554,79,0,0,1
3b1b/manim,1932,30,1843,1760,21.121944444444445,345,0,2,2
3b1b/manim,1927,1,2,2,16.253333333333334,124,0,1,2
3b1b/manim,1924,1,4,4,46.028333333333336,694,0,0,1
3b1b/manim,1923,1,1,1,12.048333333333334,49,0,0,1
3b1b/manim,1913,1,1,1,519.2886111111111,84,0,1,2
3b1b/manim,1879,1,1,1,562.1005555555555,192,0,0,1
3b1b/manim,1872,2,2,2,11.624444444444444,170,0,1,2
3b1b/manim,1871,1,1080,0,13.473611111111111,379,0,0,1
3b1b/manim,1865,1,82,0,17360.388055555555,1201,0,0,1
3b1b/manim,1862,2,33,4,64.45527777777778,1047,0,1,2
3b1b/manim,1858,1,12,3,1650.4327777777778,2577,0,1,2
3b1b/manim,1852,1,4,1,18180.214444444446,1824,0,1,2
3b1b/manim,1848,1,1,1,3191.0155555555557,2061,0,0,1
3b1b/manim,1820,1,2,0,15.480555555555556,170,0,1,2
3b1b/manim,1818,16,1474,709,2752.5577777777776,7545,0,1,2
3b1b/manim,1816,1,4,2,20146.02972222222,2953,0,0,1
3b1b/manim,1804,4,8,2,529.1408333333334,251,0,1,2
3b1b/manim,1795,9,919,1231,582.8613888888889,3683,0,1,2
3b1b/manim,1791,1,3,0,2.7602777777777776,356,0,0,1
3b1b/manim,1789,30,230,147,276.31055555555554,1265,0,0,1
3b1b/manim,1787,1,0,1,246.22277777777776,493,0,0,1
3b1b/manim,1785,5,263,288,40.13611111111111,554,0,1,2
3b1b/manim,1784,1,9,6,22.41138888888889,905,0,0,1
3b1b/manim,1783,1,12,0,67.69833333333334,824,0,1,2
3b1b/manim,1780,3,81,49,9.1075,319,0,1,2
3b1b/manim,1779,5,163,170,1.0986111111111112,543,0,3,2
3b1b/manim,1772,8,1278,971,121.98666666666666,4949,0,1,2
3b1b/manim,1767,1,17,1,7846.8,7045,0,0,1
3b1b/manim,1766,1,12,1,39.78055555555556,3709,0,4,2
3b1b/manim,1765,6,54,76,1.8333333333333333,488,0,1,2
3b1b/manim,1762,1,4,1,9.843055555555555,547,0,1,2
3b1b/manim,1758,3,75,4,21393.9475,773,0,0,1
3b1b/manim,1757,1,12,6,11.465277777777779,597,0,1,2
3b1b/manim,1751,4,424,514,484.93416666666667,3879,0,1,2
3b1b/manim,1749,1,38,30,1.2525,524,0,0,1
3b1b/manim,1745,7,229,221,5.543611111111111,1045,0,7,3
3b1b/manim,1744,1,9,8,15.679166666666667,1268,0,3,2
3b1b/manim,1737,6,1,8,9.64611111111111,203,0,1,2
3b1b/manim,1736,30,1519,746,914.2069444444444,2227,0,7,3
3b1b/manim,1731,10,245,627,47.790277777777774,2236,0,1,2
3b1b/manim,1727,3,41,0,55.90777777777778,674,0,1,2
3b1b/manim,1725,2,535,482,123.88861111111112,10462,0,2,2
3b1b/manim,1720,1,173,109,48.71472222222222,817,0,2,2
3b1b/manim,1719,3,108,84,11.021666666666667,1712,0,0,1
3b1b/manim,1717,7,161,84,3.6238888888888887,2761,0,0,1
3b1b/manim,1716,6,209,234,11.437777777777777,777,0,1,2
3b1b/manim,1715,10,239,169,8.583333333333334,2082,0,0,1
3b1b/manim,1712,3,167,71,14.089166666666667,3281,0,0,1
3b1b/manim,1709,1,17,2,3.8930555555555557,2138,0,1,2
3b1b/manim,1704,1,3,1,9.79111111111111,2267,0,1,2
3b1b/manim,1703,2,162,43,529.1808333333333,313,0,0,1
3b1b/manim,1702,1,1,1,5.108055555555556,422,0,1,2
3b1b/manim,1694,1,24,10,26.25861111111111,1367,0,6,2
3b1b/manim,1690,1,5,5,1.9152777777777779,0,0,0,1
3b1b/manim,1689,5,1751,0,12.353333333333333,955,0,0,1
3b1b/manim,1678,2,522,0,754.7219444444445,4276,0,1,2
3b1b/manim,1669,1,1,1,12.460277777777778,379,0,0,1
3b1b/manim,1667,2,16,0,32.218333333333334,1020,0,2,3
3b1b/manim,1666,2,16,0,1.2938888888888889,1020,0,0,1
3b1b/manim,1662,2,54,78,2.223888888888889,161,0,1,2
3b1b/manim,1659,2,15,0,213.68472222222223,1415,0,0,1
