repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
AUTOMATIC1111/stable-diffusion-webui,16569,1,5,1,2.6755555555555555,680,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16567,3,106,3,3.746111111111111,1858,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16564,3,5,1,3.776666666666667,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16559,30,14,0,4.453888888888889,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16547,3,3,3,230.6461111111111,638,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16546,1,4,1,20.946944444444444,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16538,20,361,14,11.669166666666667,594,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16534,1,40,0,32.455,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16530,3,3,1,14.34,0,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16477,8,57,3,47.095555555555556,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16471,3,26,6,10.8025,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16470,1,1,0,11.942222222222222,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16460,1,1,1,1092.7,655,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16426,1,18,12,1318.8252777777777,1118,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16406,1,3,0,1482.9272222222223,745,0,3,4
AUTOMATIC1111/stable-diffusion-webui,16341,1,1,1,1764.7788888888888,191,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16302,4,97,28,2042.9366666666667,2147,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16300,1,1,1,1937.5602777777779,542,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16282,2,2,1,2001.6586111111112,776,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16281,6,17,10,2.8755555555555556,746,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16251,1,1,0,2131.7361111111113,990,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16242,2,11,7,1.5894444444444444,868,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16239,1,2,2,13.385833333333334,1246,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16235,4,21,0,32.8675,1691,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16231,1,1,0,41.6225,667,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16224,1,1,1,24.6975,1186,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16218,1,3,3,101.3488888888889,874,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16212,6,106,24,123.07166666666667,185,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16202,5,30,21,188.55083333333334,809,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16194,2,2,2,204.8111111111111,670,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16192,1,1,1,44.68333333333333,499,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16180,1,4,3,260.41333333333336,1251,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16178,1,24,2,262.55555555555554,907,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16175,1,131,82,4.520555555555555,2242,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16173,3,92,37,279.2713888888889,2138,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16170,1,2,1,9.731111111111112,622,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16167,1,2,1,13.66611111111111,714,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16166,1,1,0,304.47555555555556,856,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16164,3,26,5,135.16361111111112,34,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16153,2,46,0,38.0775,1208,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16151,1,3,1,19.85472222222222,511,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16149,1,29,0,36.69694444444445,700,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16144,3,32,7,48.85,743,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16142,1,12,0,56.61555555555555,799,0,3,3
AUTOMATIC1111/stable-diffusion-webui,16140,1,1,1,63.48111111111111,974,0,2,3
AUTOMATIC1111/stable-diffusion-webui,16121,30,1274,191,31.091944444444444,289,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16119,1,1,1,138.2225,622,0,2,3
AUTOMATIC1111/stable-diffusion-webui,16118,2,9,1,139.30305555555555,1686,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16116,1,2,0,140.86555555555555,1230,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16107,1,3,1,204.1225,785,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16104,1,1,1,2.9483333333333333,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16102,1,1,1,214.11833333333334,494,0,3,3
AUTOMATIC1111/stable-diffusion-webui,16092,2,5,6,251.53194444444443,796,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16091,1,5,0,5.879166666666666,592,0,0,1
AUTOMATIC1111/stable-diffusion-webui,16088,1,2,3,263.405,739,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16085,1,1,1,269.2786111111111,688,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16079,1,1,1,302.33416666666665,2293,0,2,3
AUTOMATIC1111/stable-diffusion-webui,16078,2,8,1,303.63444444444445,865,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16065,1,17,0,355.285,1078,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16062,1,9,14,360.54805555555555,1474,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16061,1,0,1,365.10305555555556,810,0,1,2
AUTOMATIC1111/stable-diffusion-webui,16060,6,6,6,365.2216666666667,455,0,1,2
