repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
Anduin2017/HowToCook,1384,2,43,0,189.95083333333332,412,0,1,2
Anduin2017/HowToCook,1380,5,67,4,5.083055555555555,458,0,1,2
Anduin2017/HowToCook,1375,1,1,1,3.3230555555555554,428,0,1,2
Anduin2017/HowToCook,1374,4,155,0,4.544722222222222,412,0,0,1
Anduin2017/HowToCook,1372,2,19,4,103.31555555555556,412,0,2,2
Anduin2017/HowToCook,1354,1,0,1,4.611944444444444,427,0,1,2
Anduin2017/HowToCook,1352,1,18,0,40.65416666666667,412,0,1,2
Anduin2017/HowToCook,1350,2,53,0,41.993611111111115,412,0,1,2
Anduin2017/HowToCook,1348,1,47,0,5.871111111111111,412,0,1,2
Anduin2017/HowToCook,1347,6,63,0,3.5211111111111113,412,0,1,2
Anduin2017/HowToCook,1343,1,1,1,97.79694444444445,412,0,0,1
Anduin2017/HowToCook,1340,1,2,2,15.113611111111112,412,0,1,2
Anduin2017/HowToCook,1336,3,40,0,28.835277777777776,412,0,1,2
Anduin2017/HowToCook,1334,1,1,1,55.155,412,0,1,2
Anduin2017/HowToCook,1332,1,94,0,2.3494444444444444,412,0,1,2
Anduin2017/HowToCook,1329,1,99,18,19.994444444444444,760,0,1,2
Anduin2017/HowToCook,1327,2,52,0,18.296666666666667,765,0,1,2
Anduin2017/HowToCook,1323,3,51,0,36.3,412,0,1,2
Anduin2017/HowToCook,1322,4,57,0,15.862777777777778,412,0,1,2
Anduin2017/HowToCook,1321,2,35,0,460.79083333333335,427,0,2,3
Anduin2017/HowToCook,1320,2,66,0,75.28555555555556,414,0,1,2
Anduin2017/HowToCook,1316,1,1,0,37.514722222222225,412,0,0,1
Anduin2017/HowToCook,1313,2,48,0,6.978611111111111,412,0,1,2
Anduin2017/HowToCook,1312,1,37,0,5.153333333333333,412,0,0,1
Anduin2017/HowToCook,1311,2,39,0,5.597777777777778,412,0,0,1
Anduin2017/HowToCook,1310,2,47,0,19.019166666666667,412,0,0,1
Anduin2017/HowToCook,1307,2,62,0,4969.785555555555,426,0,0,1
Anduin2017/HowToCook,1305,4,101,0,4.115833333333334,426,0,1,2
Anduin2017/HowToCook,1302,4,100,0,4.874722222222222,426,0,1,2
Anduin2017/HowToCook,1297,6,69,7,41.84361111111111,412,0,1,2
Anduin2017/HowToCook,1294,1,2,2,43.02305555555556,412,0,1,2
Anduin2017/HowToCook,1293,2,36,0,71.0225,416,0,1,2
Anduin2017/HowToCook,1290,1,11,3,26.424722222222222,598,0,1,2
Anduin2017/HowToCook,1286,3,49,0,125.51805555555555,426,0,1,2
Anduin2017/HowToCook,1285,3,96,0,9.485277777777778,426,0,0,1
Anduin2017/HowToCook,1283,1,76,0,157.12277777777777,412,0,1,2
Anduin2017/HowToCook,1282,1,11,0,30.999166666666667,412,0,1,2
Anduin2017/HowToCook,1281,3,34,0,98.48583333333333,412,0,1,2
Anduin2017/HowToCook,1277,4,9,5,723.4758333333333,412,0,1,2
Anduin2017/HowToCook,1274,1,41,0,11.800555555555556,412,0,1,2
Anduin2017/HowToCook,1265,1,1,0,4.25,412,0,1,2
Anduin2017/HowToCook,1263,6,2,20,10273.904444444444,412,0,2,3
Anduin2017/HowToCook,1259,1,3,1,4.6002777777777775,412,0,1,2
Anduin2017/HowToCook,1255,1,2,0,55.430277777777775,412,0,0,1
Anduin2017/HowToCook,1252,2,51,0,25.051944444444445,412,0,1,2
Anduin2017/HowToCook,1245,1,50,0,1542.8819444444443,414,0,12,3
Anduin2017/HowToCook,1240,2,34,0,22.057777777777776,412,0,1,2
Anduin2017/HowToCook,1236,30,333,86,4897.924166666667,372,0,2,3
Anduin2017/HowToCook,1234,4,143,0,1.4555555555555555,412,0,1,2
Anduin2017/HowToCook,1220,1,0,1,16.52611111111111,412,0,1,2
Anduin2017/HowToCook,1207,3,130,10,67.83027777777778,412,0,1,2
Anduin2017/HowToCook,1206,3,50,0,49.970555555555556,468,0,1,2
Anduin2017/HowToCook,1203,1,1,1,18.17388888888889,412,0,1,2
Anduin2017/HowToCook,1200,1,5,5,68.52805555555555,412,0,1,2
Anduin2017/HowToCook,1199,1,1,1,20.07111111111111,412,0,1,2
Anduin2017/HowToCook,1198,1,1,1,2.3594444444444442,412,0,1,2
Anduin2017/HowToCook,1197,1,7,10,47.045833333333334,412,0,1,2
Anduin2017/HowToCook,1196,4,4,4,19.760833333333334,503,0,1,2
Anduin2017/HowToCook,1195,1,0,2,22.620277777777776,30,0,1,2
Anduin2017/HowToCook,1193,1,3,3,20.86638888888889,412,0,1,2
Anduin2017/HowToCook,1192,2,48,0,41.60055555555556,1176,0,2,2
Anduin2017/HowToCook,1189,1,1,1,46.32666666666667,412,0,1,2
Anduin2017/HowToCook,1187,1,1,0,5.610277777777778,412,0,0,1
Anduin2017/HowToCook,1184,3,46,0,10.956111111111111,412,0,1,2
Anduin2017/HowToCook,1183,1,1,1,2.1972222222222224,412,0,1,2
Anduin2017/HowToCook,1182,2,47,0,97.86305555555556,6,0,1,2
Anduin2017/HowToCook,1180,2,46,0,63.195,412,0,1,2
Anduin2017/HowToCook,1179,1,1,0,6.590277777777778,178,0,0,1
Anduin2017/HowToCook,1177,1,1,1,5.16,412,0,1,2
Anduin2017/HowToCook,1176,1,1,1,275.42805555555555,865,0,0,1
Anduin2017/HowToCook,1175,2,41,0,3.9138888888888888,412,0,1,2
Anduin2017/HowToCook,1174,1,1,1,9.2275,412,0,1,2
Anduin2017/HowToCook,1166,1,53,0,728.3980555555555,424,0,1,2
Anduin2017/HowToCook,1165,3,60,0,758.6311111111111,412,0,1,2
Anduin2017/HowToCook,1162,1,1,0,824.3269444444444,412,0,0,1
Anduin2017/HowToCook,1161,1,54,0,824.7783333333333,412,0,0,1
Anduin2017/HowToCook,1160,1,1,1,8.63888888888889,412,0,1,2
Anduin2017/HowToCook,1158,3,72,0,23.88361111111111,792,0,1,2
Anduin2017/HowToCook,1156,3,36,0,2.7555555555555555,438,0,1,2
Anduin2017/HowToCook,1155,0,0,0,7.586666666666667,422,0,0,1
Anduin2017/HowToCook,1137,1,1,1,25.029444444444444,412,0,0,1
Anduin2017/HowToCook,1136,7,70,0,4.150833333333333,412,0,0,1
Anduin2017/HowToCook,1130,3,45,1,2.6119444444444446,412,0,1,2
