repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
Chalarangelo/30-seconds-of-code,2092,2,547,408,11.155833333333334,12733,0,1,2
Chalarangelo/30-seconds-of-code,2091,1,67,67,101.4786111111111,9747,0,0,1
Chalarangelo/30-seconds-of-code,2090,1,20,16,10.279722222222222,14566,0,0,1
Chalarangelo/30-seconds-of-code,2089,1,3,3,150.75694444444446,2652,0,0,1
Chalarangelo/30-seconds-of-code,2087,1,1,1,11.153055555555556,8750,0,0,1
Chalarangelo/30-seconds-of-code,2086,1,1,1,189.1013888888889,4373,0,0,1
Chalarangelo/30-seconds-of-code,2085,1,1,1,177.9525,9353,0,0,1
Chalarangelo/30-seconds-of-code,2083,1,7,7,1433.3547222222223,4378,0,1,2
Chalarangelo/30-seconds-of-code,2082,1,505,68,895.1961111111111,13974,0,0,1
Chalarangelo/30-seconds-of-code,2081,1,3,3,36.640277777777776,7901,0,0,1
Chalarangelo/30-seconds-of-code,2080,1,3,3,298.17055555555555,13061,0,0,1
Chalarangelo/30-seconds-of-code,2069,22,83,202,1.8894444444444445,0,0,0,1
Chalarangelo/30-seconds-of-code,2065,11,3,277,90.68805555555555,36,0,0,1
Chalarangelo/30-seconds-of-code,2060,1,1,1,7.289722222222222,0,0,1,2
Chalarangelo/30-seconds-of-code,2059,1,10,1,80.94555555555556,0,0,0,1
Chalarangelo/30-seconds-of-code,2058,1,6,0,7.674722222222222,0,0,1,2
Chalarangelo/30-seconds-of-code,2056,1,1,1,7.917222222222223,0,0,1,2
Chalarangelo/30-seconds-of-code,2052,1,1,1,2.841388888888889,0,0,0,1
Chalarangelo/30-seconds-of-code,2051,1,2,2,8.026111111111112,0,0,0,1
Chalarangelo/30-seconds-of-code,2050,30,323,341,301.6538888888889,18288,0,0,1
Chalarangelo/30-seconds-of-code,2049,1,1,1,11.557222222222222,0,0,1,2
Chalarangelo/30-seconds-of-code,2048,30,322,361,364.4486111111111,10583,0,0,1
Chalarangelo/30-seconds-of-code,2047,1,17,0,205.7511111111111,107,0,0,1
Chalarangelo/30-seconds-of-code,2046,1,38,0,102.68444444444444,418,0,0,1
Chalarangelo/30-seconds-of-code,2045,1,57,0,249.93277777777777,87,0,1,1
Chalarangelo/30-seconds-of-code,2043,1,73,0,281.1405555555556,135,0,0,1
Chalarangelo/30-seconds-of-code,2042,2,102,0,74.7675,227,0,0,1
Chalarangelo/30-seconds-of-code,2040,1,5,5,4.710833333333333,3928,0,1,2
Chalarangelo/30-seconds-of-code,2037,1,33,0,420.0411111111111,146,0,0,1
Chalarangelo/30-seconds-of-code,2028,30,6717,10281,13.387222222222222,0,0,0,1
Chalarangelo/30-seconds-of-code,2025,1,3,3,3.8219444444444446,535,0,1,2
Chalarangelo/30-seconds-of-code,2024,30,1284,23,201.6586111111111,21,0,0,1
Chalarangelo/30-seconds-of-code,2020,1,2,2,41.20666666666666,62,0,1,2
Chalarangelo/30-seconds-of-code,2018,1,25,0,52.0375,45,0,0,1
Chalarangelo/30-seconds-of-code,2017,1,1,1,51.86833333333333,197,0,1,2
Chalarangelo/30-seconds-of-code,2016,1,1,1,1.1891666666666667,282,0,1,2
Chalarangelo/30-seconds-of-code,2009,30,276,329,937.0308333333334,6532,0,0,1
Chalarangelo/30-seconds-of-code,2007,2,43,0,183.0575,0,0,0,1
Chalarangelo/30-seconds-of-code,2006,30,1198,23,472.1761111111111,108,0,0,1
Chalarangelo/30-seconds-of-code,2005,1,35,0,350.4122222222222,0,0,0,1
Chalarangelo/30-seconds-of-code,2004,1,38,0,398.4663888888889,0,0,2,2
