repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ChatGPTNextWeb/ChatGPT-Next-Web,5704,11,444,0,2.5383333333333336,1997,0,3,3
ChatGPTNextWeb/ChatGPT-Next-Web,5696,2,16,16,3.9972222222222222,10701,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5695,2,302,101,4.003055555555555,8660,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5694,2,1024,318,4.008611111111111,9376,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5693,2,163,68,4.016666666666667,4500,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5692,2,116,49,4.022777777777778,9770,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5689,0,0,0,72.78527777777778,1724,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5666,2,5,5,1.785,2260,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5665,2,5,5,1.7891666666666666,9204,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5664,2,5,5,1.7958333333333334,9409,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5663,2,65,65,1.7994444444444444,8431,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5662,2,5,5,1.8044444444444445,7755,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5642,1,3,3,8.357777777777779,9118,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5640,7,64,8,1.3688888888888888,1919,0,3,3
ChatGPTNextWeb/ChatGPT-Next-Web,5639,1,20,12,2.024722222222222,1778,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5638,2,41,4,5.394166666666667,1664,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5632,7,61,6,98.8125,1906,0,5,3
ChatGPTNextWeb/ChatGPT-Next-Web,5602,1,22,22,16.345555555555556,1410,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5599,2,13,16,137.65916666666666,1717,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5591,2,65,65,20.00888888888889,10310,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5590,2,151,176,20.012777777777778,6324,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5589,2,21,56,20.015555555555554,10325,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5588,2,1047,252,20.02027777777778,9260,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5587,2,199,237,20.030277777777776,15071,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5586,1,2,2,28.9,1635,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5581,3,86,112,168.22916666666666,1999,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5572,2,302,101,3.430277777777778,9219,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5571,2,74,68,3.4347222222222222,8690,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5570,2,10,10,3.4411111111111112,2219,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5569,2,65,65,3.443611111111111,4593,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5568,2,5,12,3.4466666666666668,2496,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5565,25,344,115,227.67027777777778,2095,0,8,3
ChatGPTNextWeb/ChatGPT-Next-Web,5564,1,1,1,14.550277777777778,1798,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5553,1,7,4,4.199722222222222,1520,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5552,3,3,3,3.7255555555555557,1778,0,3,3
ChatGPTNextWeb/ChatGPT-Next-Web,5547,2,17,5,50.6525,2029,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5543,0,0,0,1.2125,1176,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5542,0,0,0,1.9091666666666667,1176,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5541,3,15,9,11.691666666666666,1176,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5527,23,1323,173,24.705555555555556,0,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5522,1,5,0,10.243055555555555,1622,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5519,1,14,0,3.1372222222222224,1669,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5518,11,4816,4541,4.7275,2064,0,11,4
ChatGPTNextWeb/ChatGPT-Next-Web,5516,1,26,0,1.1141666666666667,1738,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5515,4,40,16,2.0305555555555554,1945,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5508,3,74,37,21.44972222222222,1798,0,4,3
ChatGPTNextWeb/ChatGPT-Next-Web,5507,2,38,37,15.4075,24569,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5506,2,21,56,15.413055555555555,10457,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5505,2,5,5,15.418611111111112,7089,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5504,2,1049,255,15.421944444444444,8403,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5503,2,6,34,15.430277777777778,11032,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5498,2,25,3,19.971944444444443,1930,0,3,4
ChatGPTNextWeb/ChatGPT-Next-Web,5495,1,3,2,4.4494444444444445,1615,0,4,3
ChatGPTNextWeb/ChatGPT-Next-Web,5471,21,8519,6679,479.10305555555556,3210,0,2,2
ChatGPTNextWeb/ChatGPT-Next-Web,5470,30,516,63,142.77027777777778,1176,0,9,2
ChatGPTNextWeb/ChatGPT-Next-Web,5463,6,8,8,3.0947222222222224,1741,0,4,4
ChatGPTNextWeb/ChatGPT-Next-Web,5462,1,7,2,9.638055555555555,1658,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5459,28,1080,12,2.058333333333333,1927,0,6,3
ChatGPTNextWeb/ChatGPT-Next-Web,5456,2,74,68,1.3622222222222222,8646,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5455,1,1,1,6.440833333333333,1579,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5454,1,1,1,12.748055555555556,1467,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5453,1,3,3,29.899166666666666,8642,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5449,2,302,101,39.956944444444446,9023,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5448,2,154,153,39.96222222222222,6404,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5447,2,16,16,39.9675,9699,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5446,2,1047,206,39.9725,7758,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5445,2,5,5,39.98083333333334,8194,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5444,2,17,2,61.14416666666666,2020,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5435,1,1,0,17.99361111111111,1590,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5432,5,26,0,96.71694444444445,1872,0,5,3
ChatGPTNextWeb/ChatGPT-Next-Web,5430,21,69,9,10.405277777777778,1091,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5428,1,1,1,6.566388888888889,1609,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5426,22,141,46,16.825277777777778,1981,0,5,3
ChatGPTNextWeb/ChatGPT-Next-Web,5418,2,19,2,1.0605555555555555,1666,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5416,2,15,8,2.7536111111111112,1707,0,12,3
ChatGPTNextWeb/ChatGPT-Next-Web,5405,1,2,2,1.8319444444444444,1778,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5402,1,0,5,165.35055555555556,1790,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5396,6,212,0,66.88472222222222,1799,0,4,3
ChatGPTNextWeb/ChatGPT-Next-Web,5395,2,5,5,1.9544444444444444,8809,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5394,2,65,65,1.956388888888889,6053,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5393,2,10,10,1.9608333333333334,2260,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5392,2,302,101,1.9630555555555556,8222,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5391,2,154,153,1.968888888888889,6146,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5386,8,96,26,27.395555555555557,1895,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5382,4,328,12,43.44722222222222,1901,0,2,2
ChatGPTNextWeb/ChatGPT-Next-Web,5376,6,18,7,32.5025,1814,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5375,1,1,1,12.724166666666667,1533,0,2,3
ChatGPTNextWeb/ChatGPT-Next-Web,5369,21,52,0,295.785,1910,0,2,2
ChatGPTNextWeb/ChatGPT-Next-Web,5367,2,2,2,10.05861111111111,1707,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5364,5,11,7,3.8113888888888887,1892,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5356,2,19,1,26.011111111111113,1790,0,4,3
ChatGPTNextWeb/ChatGPT-Next-Web,5352,2,74,68,5.5575,9586,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5351,2,975,199,5.5633333333333335,9645,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5350,2,10,10,5.569166666666667,2260,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5349,2,197,117,5.572777777777778,5374,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5348,2,5,5,5.575277777777778,5954,0,0,1
ChatGPTNextWeb/ChatGPT-Next-Web,5341,9,201,23,553.4888888888889,1968,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5338,2,151,176,12.858333333333333,6768,0,1,2
ChatGPTNextWeb/ChatGPT-Next-Web,5331,30,1489,406,212.0638888888889,2769,0,18,2
ChatGPTNextWeb/ChatGPT-Next-Web,5329,30,1548,14,522.7872222222222,2051,0,7,2
