repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
CompVis/stable-diffusion,844,1,731,0,4471.008333333333,31,0,0,1
CompVis/stable-diffusion,746,1,1,1,580.785,173,0,0,1
CompVis/stable-diffusion,722,20,3668,31,1.9894444444444443,0,0,0,1
CompVis/stable-diffusion,652,1,19,11,7038.873055555556,106,0,1,1
CompVis/stable-diffusion,646,1,1,0,762.5969444444445,0,0,0,1
CompVis/stable-diffusion,645,1,9,0,762.8516666666667,3,0,0,1
CompVis/stable-diffusion,623,30,4388,2255,6033.945833333333,0,0,0,1
CompVis/stable-diffusion,600,1,1,0,1511.195,14,0,0,1
CompVis/stable-diffusion,588,1,2,2,9194.065,1304,0,0,1
CompVis/stable-diffusion,582,9,9,9,9504.1375,380,0,0,1
CompVis/stable-diffusion,533,1,1,1,1092.4505555555556,1229,0,0,1
CompVis/stable-diffusion,532,3,5,40,2299.8933333333334,164,0,0,1
CompVis/stable-diffusion,440,4,1276,1,450.63444444444445,320,0,1,2
CompVis/stable-diffusion,437,1,7,0,3698.112777777778,47,0,1,2
CompVis/stable-diffusion,286,1,5,5,46.12583333333333,33,0,0,1
CompVis/stable-diffusion,257,30,184,372,536.6997222222222,570,0,0,1
CompVis/stable-diffusion,254,1,6,1,5905.233055555555,417,0,0,1
CompVis/stable-diffusion,236,1,2,2,1305.4447222222223,221,0,0,1
CompVis/stable-diffusion,196,1,1,0,14824.35,0,0,0,1
CompVis/stable-diffusion,195,1,1,0,14824.62,0,0,0,1
CompVis/stable-diffusion,168,1,1,0,1.6055555555555556,0,0,0,1
CompVis/stable-diffusion,164,1,2,0,140.7175,508,0,0,1
CompVis/stable-diffusion,163,1,8,0,3893.5475,0,0,3,4
CompVis/stable-diffusion,150,1,1,0,89.53611111111111,0,0,0,1
CompVis/stable-diffusion,78,2,54,0,77.65444444444445,0,0,0,1
CompVis/stable-diffusion,47,0,0,0,65.01361111111112,470,0,7,5
CompVis/stable-diffusion,41,2,11,1,401.6686111111111,448,0,0,1
CompVis/stable-diffusion,40,2,7,4,402.18611111111113,224,0,1,2
CompVis/stable-diffusion,36,1,28,2,73.86777777777777,402,0,4,2
CompVis/stable-diffusion,31,1,1,0,12448.228055555555,51,0,0,1
CompVis/stable-diffusion,27,1,19,0,2.033611111111111,0,0,0,1
CompVis/stable-diffusion,5,1,2,0,18.65,338,0,0,1
