repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
CyC2018/CS-Notes,1236,1,1,1,2017.5622222222223,0,0,0,1
CyC2018/CS-Notes,1211,0,0,0,14606.036944444444,21,0,0,1
CyC2018/CS-Notes,1192,1,1,1,19236.4525,0,0,0,1
CyC2018/CS-Notes,1188,1,2,2,16.878611111111113,495,0,0,1
CyC2018/CS-Notes,1186,1,1,1,347.79277777777776,0,0,0,1
CyC2018/CS-Notes,1185,1,1,1,3952.295,34,0,0,1
CyC2018/CS-Notes,1177,1,0,1,645.5647222222223,0,0,0,1
CyC2018/CS-Notes,1175,1,1,1,8279.33,0,0,0,1
CyC2018/CS-Notes,1167,1,2,0,8702.2575,0,0,0,1
CyC2018/CS-Notes,1165,1,4,0,8749.110833333334,0,0,0,1
CyC2018/CS-Notes,1158,1,2,1,24496.45111111111,145,0,0,1
CyC2018/CS-Notes,1135,1,1,1,11528.947222222223,0,0,0,1
CyC2018/CS-Notes,1107,1,1,1,327.65777777777777,221,0,0,1
CyC2018/CS-Notes,1106,1,1,1,399.0155555555556,215,0,0,1
CyC2018/CS-Notes,1094,1,0,2,18437.256666666668,0,0,0,1
CyC2018/CS-Notes,1082,1,1,1,24941.63027777778,123,0,0,1
CyC2018/CS-Notes,1076,0,0,0,57.291666666666664,18,0,0,1
CyC2018/CS-Notes,1055,1,2,2,9892.961666666666,9,0,0,1
CyC2018/CS-Notes,1054,1,2,2,9893.029444444444,11,0,0,1
CyC2018/CS-Notes,1046,1,3,3,187.92416666666668,16,0,0,1
CyC2018/CS-Notes,1045,1,0,1,51.003055555555555,12,0,0,1
CyC2018/CS-Notes,1017,1,1,1,11.632222222222222,59,0,0,1
CyC2018/CS-Notes,1016,1,6,6,5.745,0,0,0,1
CyC2018/CS-Notes,1015,1,1,1,7.615277777777778,0,0,0,1
CyC2018/CS-Notes,1013,1,1,0,148.72,10,0,0,1
CyC2018/CS-Notes,1011,4,8,2,265.9769444444444,0,0,0,1
CyC2018/CS-Notes,1010,1,11,9,4.233333333333333,87,0,0,1
CyC2018/CS-Notes,1008,1,49,0,7.440833333333333,0,0,0,1
CyC2018/CS-Notes,1006,2,50,0,4.0408333333333335,0,0,0,1
CyC2018/CS-Notes,1000,1,11,17,95.37027777777777,0,0,2,2
CyC2018/CS-Notes,997,6,65,0,165.7902777777778,53,0,0,1
CyC2018/CS-Notes,994,1,1,1,394.36333333333334,0,0,0,1
CyC2018/CS-Notes,993,1,1,1,394.9377777777778,0,0,0,1
CyC2018/CS-Notes,991,1,1,1,480.31138888888887,272,0,1,2
CyC2018/CS-Notes,990,1,2,1,534.1811111111111,0,0,0,1
CyC2018/CS-Notes,978,1,3,0,558.145,0,0,0,1
CyC2018/CS-Notes,977,1,1,0,558.3916666666667,75,0,0,1
CyC2018/CS-Notes,972,1,16,10,1738.098611111111,10,0,0,1
CyC2018/CS-Notes,970,1,5,5,949.8533333333334,0,0,0,1
CyC2018/CS-Notes,969,1,1,1,1928.3691666666666,7,0,0,1
CyC2018/CS-Notes,964,1,1,1,24336.03138888889,91,0,0,1
CyC2018/CS-Notes,957,3,3,2,2550.7697222222223,87,0,0,1
CyC2018/CS-Notes,952,1,1,1,2769.211111111111,0,0,0,1
CyC2018/CS-Notes,941,1,1,1,3747.1630555555557,25,0,0,1
CyC2018/CS-Notes,940,1,2,0,3794.9730555555557,0,0,0,1
CyC2018/CS-Notes,939,1,4,4,147.2811111111111,45,0,0,1
CyC2018/CS-Notes,934,1,25,25,418.4261111111111,264,0,1,2
