repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
DopplerHQ/awesome-interview-questions,279,1,0,7,888.8819444444445,0,0,0,1
DopplerHQ/awesome-interview-questions,273,1,1,0,1249.0211111111112,0,0,0,1
DopplerHQ/awesome-interview-questions,260,1,1,1,68.57027777777778,139,0,0,1
DopplerHQ/awesome-interview-questions,252,2,3,1,12730.027222222223,66,0,1,2
DopplerHQ/awesome-interview-questions,250,1,1,0,117.15638888888888,0,0,2,2
DopplerHQ/awesome-interview-questions,249,1,1,0,243.06861111111112,200,0,1,2
DopplerHQ/awesome-interview-questions,248,1,5,8,507.87638888888887,58,0,1,2
DopplerHQ/awesome-interview-questions,247,1,1,0,582.5244444444445,0,0,1,2
DopplerHQ/awesome-interview-questions,245,1,1,0,916.8141666666667,99,0,1,2
DopplerHQ/awesome-interview-questions,244,1,1,0,941.7605555555556,77,0,1,2
DopplerHQ/awesome-interview-questions,243,1,5,5,1399.1791666666666,110,0,1,2
DopplerHQ/awesome-interview-questions,241,1,1,0,2256.4141666666665,0,0,1,2
DopplerHQ/awesome-interview-questions,240,1,1,0,477.9841666666667,115,0,1,2
DopplerHQ/awesome-interview-questions,239,1,1,1,492.5388888888889,0,0,1,2
DopplerHQ/awesome-interview-questions,238,1,1,1,659.0005555555556,0,0,0,1
DopplerHQ/awesome-interview-questions,237,1,5,0,781.7555555555556,209,0,1,2
DopplerHQ/awesome-interview-questions,236,1,1,0,1050.6072222222222,58,0,1,2
DopplerHQ/awesome-interview-questions,235,1,4,0,1355.066111111111,119,0,3,2
DopplerHQ/awesome-interview-questions,234,1,3,0,1554.1897222222221,68,0,1,2
DopplerHQ/awesome-interview-questions,233,1,1,0,1864.0377777777778,97,0,1,2
DopplerHQ/awesome-interview-questions,232,1,2,2,2346.5672222222224,190,0,1,2
DopplerHQ/awesome-interview-questions,230,1,3,0,126.7713888888889,33,0,1,2
DopplerHQ/awesome-interview-questions,228,1,1,0,210.3488888888889,70,0,1,2
DopplerHQ/awesome-interview-questions,227,1,5,0,430.3802777777778,93,0,1,2
DopplerHQ/awesome-interview-questions,226,1,1,1,937.4047222222222,40,0,2,2
DopplerHQ/awesome-interview-questions,224,1,2,0,643.1944444444445,0,0,1,2
DopplerHQ/awesome-interview-questions,220,1,1,0,912.6238888888889,0,0,0,1
DopplerHQ/awesome-interview-questions,218,1,1,1,27.43111111111111,73,0,0,1
DopplerHQ/awesome-interview-questions,217,1,1,1,3588.2761111111113,77,0,3,3
DopplerHQ/awesome-interview-questions,216,1,3,0,3621.7244444444445,35,0,2,3
DopplerHQ/awesome-interview-questions,215,1,0,1,4117.2861111111115,67,0,2,3
DopplerHQ/awesome-interview-questions,214,1,1,0,4645.5986111111115,40,0,4,3
DopplerHQ/awesome-interview-questions,213,1,1,0,4661.933055555555,31,0,2,3
DopplerHQ/awesome-interview-questions,212,1,7,7,4805.5361111111115,0,0,3,3
DopplerHQ/awesome-interview-questions,205,1,2,1,5463.928055555555,372,0,2,3
DopplerHQ/awesome-interview-questions,204,1,2,1,145.81277777777777,68,0,0,1
DopplerHQ/awesome-interview-questions,203,1,2,0,5950.149444444444,77,0,3,3
DopplerHQ/awesome-interview-questions,202,1,4,0,5997.086666666667,40,0,5,3
DopplerHQ/awesome-interview-questions,201,1,2,0,6278.099166666667,0,0,3,4
DopplerHQ/awesome-interview-questions,199,1,1,0,6450.243611111111,0,0,2,3
DopplerHQ/awesome-interview-questions,198,1,1,0,5507.803611111111,53,0,2,2
DopplerHQ/awesome-interview-questions,197,1,1,0,6854.205555555555,83,0,1,2
DopplerHQ/awesome-interview-questions,196,1,0,4,6872.133055555556,505,0,2,3
DopplerHQ/awesome-interview-questions,194,1,1,0,38.40555555555556,56,0,0,1
DopplerHQ/awesome-interview-questions,193,1,3,4,1098.0088888888888,36,0,0,1
DopplerHQ/awesome-interview-questions,192,1,0,1,1098.4169444444444,19,0,0,1
DopplerHQ/awesome-interview-questions,191,1,1,0,8744.528333333334,76,0,1,2
DopplerHQ/awesome-interview-questions,181,1,1,0,664.4094444444445,0,0,0,1
DopplerHQ/awesome-interview-questions,180,1,1,1,1626.661111111111,0,0,0,1
DopplerHQ/awesome-interview-questions,179,1,0,1,11.32611111111111,38,0,0,1
DopplerHQ/awesome-interview-questions,178,1,1,0,71.61944444444444,204,0,0,1
DopplerHQ/awesome-interview-questions,177,1,4,0,125.93861111111111,55,0,0,1
DopplerHQ/awesome-interview-questions,176,1,0,2,118.61138888888888,122,0,0,1
DopplerHQ/awesome-interview-questions,175,1,2,1,1199.453611111111,76,0,0,1
DopplerHQ/awesome-interview-questions,174,1,1,0,11867.149166666666,0,0,0,1
DopplerHQ/awesome-interview-questions,173,1,7,0,3.8475,0,0,0,1
DopplerHQ/awesome-interview-questions,172,1,1,0,90.18166666666667,202,0,0,1
DopplerHQ/awesome-interview-questions,171,1,1,0,92.38527777777777,67,0,0,1
DopplerHQ/awesome-interview-questions,170,1,1,1,138.97166666666666,56,0,0,1
DopplerHQ/awesome-interview-questions,168,1,2,0,263.1066666666667,0,0,1,2
DopplerHQ/awesome-interview-questions,167,1,1,0,281.4427777777778,123,0,0,1
DopplerHQ/awesome-interview-questions,166,1,3,0,345.63055555555553,0,0,0,1
DopplerHQ/awesome-interview-questions,165,1,1,0,12400.27861111111,0,0,0,1
DopplerHQ/awesome-interview-questions,164,1,1,0,365.1927777777778,91,0,0,1
DopplerHQ/awesome-interview-questions,163,1,1,0,459.5708333333333,1,0,0,1
DopplerHQ/awesome-interview-questions,162,1,10,1,35.71527777777778,99,0,0,1
DopplerHQ/awesome-interview-questions,160,1,1,0,218.04083333333332,55,0,0,1
DopplerHQ/awesome-interview-questions,159,1,1,1,226.15833333333333,0,0,0,1
DopplerHQ/awesome-interview-questions,158,1,1,0,16781.7,37,0,0,1
DopplerHQ/awesome-interview-questions,156,1,2,2,34.93222222222222,0,0,0,1
DopplerHQ/awesome-interview-questions,155,1,1,1,600.8119444444444,0,0,0,1
DopplerHQ/awesome-interview-questions,154,1,2,0,412.1847222222222,67,0,0,1
DopplerHQ/awesome-interview-questions,152,1,1,1,221.6588888888889,184,0,0,1
DopplerHQ/awesome-interview-questions,151,1,1,0,342.25,0,0,0,1
DopplerHQ/awesome-interview-questions,150,1,1,0,47.850833333333334,138,0,0,1
DopplerHQ/awesome-interview-questions,148,1,1,0,2031.7430555555557,0,0,0,1
DopplerHQ/awesome-interview-questions,147,1,9,0,1437.0552777777777,0,0,0,1
DopplerHQ/awesome-interview-questions,146,1,1,0,18527.724444444444,253,0,0,1
DopplerHQ/awesome-interview-questions,145,1,1,0,2403.069722222222,0,0,0,1
DopplerHQ/awesome-interview-questions,143,1,9,0,2474.764722222222,41,0,0,1
DopplerHQ/awesome-interview-questions,142,1,1,0,2522.803888888889,356,0,0,1
DopplerHQ/awesome-interview-questions,141,1,1,0,2526.0219444444447,47,0,0,1
DopplerHQ/awesome-interview-questions,139,1,0,1,2148.7052777777776,0,0,0,1
DopplerHQ/awesome-interview-questions,138,1,9,0,18800.998333333333,40,0,0,1
DopplerHQ/awesome-interview-questions,136,1,3,3,140.4013888888889,0,0,0,1
DopplerHQ/awesome-interview-questions,135,1,13,0,190.7825,37,0,0,1
DopplerHQ/awesome-interview-questions,133,1,1,1,204.06555555555556,0,0,0,1
DopplerHQ/awesome-interview-questions,132,1,1,0,521.2452777777778,134,0,0,1
DopplerHQ/awesome-interview-questions,130,1,0,4,766.0577777777778,63,0,0,1
DopplerHQ/awesome-interview-questions,129,1,11,0,766.09,55,0,0,1
DopplerHQ/awesome-interview-questions,128,1,6,0,770.9897222222222,327,0,0,1
DopplerHQ/awesome-interview-questions,127,1,3,0,844.8641666666666,134,0,0,1
DopplerHQ/awesome-interview-questions,125,1,18,18,1624.9102777777778,0,0,1,2
DopplerHQ/awesome-interview-questions,124,1,1,0,1690.356388888889,0,0,0,1
DopplerHQ/awesome-interview-questions,123,1,74,0,2043.9272222222223,0,0,0,1
DopplerHQ/awesome-interview-questions,122,0,0,0,2193.494722222222,6,0,0,1
DopplerHQ/awesome-interview-questions,121,1,7,1,4539.4141666666665,41,0,0,1
DopplerHQ/awesome-interview-questions,120,1,1,0,21201.187222222223,0,0,0,1
DopplerHQ/awesome-interview-questions,119,1,1,0,2514.393611111111,0,0,0,1
DopplerHQ/awesome-interview-questions,118,1,0,1,2692.8308333333334,167,0,0,1
