repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
EbookFoundation/free-programming-books,11665,1,1,1,1.4580555555555557,1502,0,0,1
EbookFoundation/free-programming-books,11661,2,2,2,5.175833333333333,850,0,0,1
EbookFoundation/free-programming-books,11658,1,2,2,8.476666666666667,1380,0,1,2
EbookFoundation/free-programming-books,11657,1,1,1,3.095833333333333,1459,0,0,1
EbookFoundation/free-programming-books,11655,1,2,2,5.8694444444444445,933,0,0,1
EbookFoundation/free-programming-books,11654,2,1,3,14.975555555555555,887,0,1,2
EbookFoundation/free-programming-books,11653,1,1,2,21.951944444444443,1216,0,3,2
EbookFoundation/free-programming-books,11652,1,8,2,27.384166666666665,1141,0,3,2
EbookFoundation/free-programming-books,11650,1,1,0,24.538611111111113,940,0,1,2
EbookFoundation/free-programming-books,11649,1,1,1,3.8825,1431,0,0,1
EbookFoundation/free-programming-books,11648,1,6,0,4.066666666666666,1121,0,0,1
EbookFoundation/free-programming-books,11647,1,1,0,4.543611111111111,892,0,0,1
EbookFoundation/free-programming-books,11646,1,12,0,25.922777777777778,1415,0,2,2
EbookFoundation/free-programming-books,11644,1,7,7,6.804722222222222,810,0,0,1
EbookFoundation/free-programming-books,11643,1,1,0,24.855,0,0,0,1
EbookFoundation/free-programming-books,11642,1,1,0,25.599166666666665,715,0,0,1
EbookFoundation/free-programming-books,11641,1,1,0,48.35444444444445,1267,0,0,1
EbookFoundation/free-programming-books,11640,1,216,0,1.3283333333333334,860,0,0,1
EbookFoundation/free-programming-books,11639,1,216,0,1.34,860,0,0,1
EbookFoundation/free-programming-books,11638,2,1,3,3.1505555555555556,895,0,0,1
EbookFoundation/free-programming-books,11635,1,2,1,6.105833333333333,0,0,0,1
EbookFoundation/free-programming-books,11634,1,7,0,6.504722222222222,1339,0,0,1
EbookFoundation/free-programming-books,11633,1,1,0,38.1575,1085,0,2,2
EbookFoundation/free-programming-books,11631,1,4,1,21.125555555555554,1165,0,1,2
EbookFoundation/free-programming-books,11628,1,6,0,52.028055555555554,1123,0,0,1
EbookFoundation/free-programming-books,11627,1,54,0,14.06,2577,0,0,1
EbookFoundation/free-programming-books,11626,1,2,1,14.179444444444444,1255,0,0,1
EbookFoundation/free-programming-books,11624,1,12,2,56.23916666666667,1243,0,0,1
EbookFoundation/free-programming-books,11623,1,0,6,18.935833333333335,1000,0,0,1
EbookFoundation/free-programming-books,11621,1,1,0,3.765277777777778,847,0,0,1
EbookFoundation/free-programming-books,11620,1,6,0,24.804166666666667,1514,0,0,1
EbookFoundation/free-programming-books,11619,1,26,0,4.921944444444445,860,0,0,1
EbookFoundation/free-programming-books,11618,1,2,0,5.870277777777778,894,0,0,1
EbookFoundation/free-programming-books,11617,1,1,0,28.0475,874,0,0,1
EbookFoundation/free-programming-books,11616,1,9,2,6.809444444444445,882,0,0,1
EbookFoundation/free-programming-books,11615,1,1,0,28.295555555555556,1274,0,1,2
EbookFoundation/free-programming-books,11613,1,1,0,53.158611111111114,953,0,1,2
EbookFoundation/free-programming-books,11612,1,1,0,17.20722222222222,24,0,0,1
EbookFoundation/free-programming-books,11611,0,0,0,12.854166666666666,24,0,0,1
EbookFoundation/free-programming-books,11610,1,1,1,7.265555555555555,1060,0,0,1
EbookFoundation/free-programming-books,11609,1,6,6,8.879166666666666,1899,0,0,1
EbookFoundation/free-programming-books,11607,1,3,3,2.0836111111111113,817,0,0,1
EbookFoundation/free-programming-books,11606,1,1,0,74.84472222222222,1062,0,2,2
EbookFoundation/free-programming-books,11605,1,8,0,7.868888888888889,1145,0,0,1
EbookFoundation/free-programming-books,11604,1,2,2,7.958611111111111,845,0,0,1
EbookFoundation/free-programming-books,11601,1,1,1,5.546111111111111,1117,0,0,1
EbookFoundation/free-programming-books,11599,1,1,1,4.970555555555555,1070,0,0,1
