repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
Eugeny/tabby,10015,4,40,8,6.744166666666667,259,0,0,1
Eugeny/tabby,10010,3,17,13,87.30222222222223,1612,0,0,1
Eugeny/tabby,9891,7,141,23,87.88027777777778,1148,0,2,2
Eugeny/tabby,9859,2,5,0,930.95,143,0,0,1
Eugeny/tabby,9773,1,4,1,3.4233333333333333,277,0,0,1
Eugeny/tabby,9768,2,10,0,1.333888888888889,96,0,0,1
Eugeny/tabby,9749,4,54,3,197.7575,338,0,3,2
Eugeny/tabby,9673,1,6,6,5.818888888888889,0,0,0,1
Eugeny/tabby,9657,1,1,1,20.265,66,0,0,1
Eugeny/tabby,9624,4,20,1,1026.0719444444444,95,0,1,2
Eugeny/tabby,9571,1,2,0,2.6169444444444445,270,0,0,1
Eugeny/tabby,9546,1,10,6,95.10777777777778,5364,0,0,1
Eugeny/tabby,9512,1,0,2,5.316666666666666,836,0,0,1
Eugeny/tabby,9466,1,1,1,9.305277777777778,0,0,0,1
Eugeny/tabby,9465,1,1,1,9.325555555555555,0,0,0,1
Eugeny/tabby,9464,1,2,2,9.346666666666666,0,0,0,1
Eugeny/tabby,9463,1,1,1,9.37,0,0,0,1
Eugeny/tabby,9451,4,9,9,5.636388888888889,0,0,0,1
Eugeny/tabby,9438,1,1,1,11.166666666666666,104,0,0,1
Eugeny/tabby,9419,11,13,13,2.9175,119,0,0,1
Eugeny/tabby,9410,2,57,0,15.390833333333333,254,0,0,1
Eugeny/tabby,9383,2,30,0,44.22555555555556,362,0,0,1
Eugeny/tabby,9369,1,1,0,13.958333333333334,283,0,0,1
Eugeny/tabby,9360,1,5,1,5.724444444444444,74,0,0,1
Eugeny/tabby,9355,2,42,98,5010.8886111111115,1024,0,0,1
Eugeny/tabby,9309,11,19,0,4.134166666666666,167,0,0,1
Eugeny/tabby,9307,3,16,1,9.690277777777778,614,0,0,1
Eugeny/tabby,9264,1,4,4,232.93777777777777,299,0,0,1
Eugeny/tabby,9257,11,19,0,10.549166666666666,165,0,0,1
Eugeny/tabby,9253,1,1,1,24.328611111111112,98,0,0,1
Eugeny/tabby,9251,2,4,2,1.4336111111111112,374,0,0,1
Eugeny/tabby,9249,11,287,412,64.4661111111111,495,0,0,1
Eugeny/tabby,9247,1,1,0,1.0455555555555556,75,0,0,1
Eugeny/tabby,9238,8,252,401,121.80805555555555,716,0,0,1
Eugeny/tabby,9232,2,2,0,15.233611111111111,273,0,0,1
Eugeny/tabby,9183,2,5,5,24.2225,7254,0,0,1
Eugeny/tabby,9170,2,12,5,143.78527777777776,2256,0,0,1
Eugeny/tabby,9169,2,12,5,143.7813888888889,2256,0,0,1
Eugeny/tabby,9156,2,59,42,167.715,17603,0,0,1
Eugeny/tabby,9154,2,12,5,48.098333333333336,2256,0,0,1
Eugeny/tabby,9153,2,12,5,48.18083333333333,2256,0,0,1
Eugeny/tabby,9149,2,5,5,192.47194444444443,11031,0,0,1
Eugeny/tabby,9143,2,5,5,95.3575,13473,0,0,1
Eugeny/tabby,9141,2,12,5,119.5375,2256,0,0,1
Eugeny/tabby,9139,2,12,5,120.10805555555555,2256,0,0,1
Eugeny/tabby,9130,2,59,42,168.08,13525,0,0,1
