repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
FortAwesome/Font-Awesome,20344,13,1140,0,1.736388888888889,313,0,0,1
FortAwesome/Font-Awesome,20302,1,1,0,4.715277777777778,306,0,0,1
FortAwesome/Font-Awesome,20295,30,2978,4041,24.685833333333335,0,0,1,2
FortAwesome/Font-Awesome,20275,1,46,22,26.29222222222222,100,0,2,3
FortAwesome/Font-Awesome,20248,1,21,0,6.940555555555555,306,0,0,1
FortAwesome/Font-Awesome,20232,1,1,1,9.414166666666667,306,0,0,1
FortAwesome/Font-Awesome,20179,30,195,78,3.765277777777778,0,0,1,2
FortAwesome/Font-Awesome,20134,2,8,0,2.1952777777777777,60,0,0,1
FortAwesome/Font-Awesome,20031,30,72,33,5.565277777777778,0,0,0,1
FortAwesome/Font-Awesome,20028,1,7,9,371.97527777777776,325,0,1,2
FortAwesome/Font-Awesome,20016,30,16008,18858,21.00861111111111,0,0,0,1
FortAwesome/Font-Awesome,19963,6,5,9,3666.3186111111113,342,0,0,1
FortAwesome/Font-Awesome,19842,30,98,33,25.890555555555554,0,0,0,1
FortAwesome/Font-Awesome,19815,1,1,0,1.961111111111111,306,0,0,1
FortAwesome/Font-Awesome,19707,2,8,2,441.75083333333333,1239,0,0,1
FortAwesome/Font-Awesome,19578,12,9,51,12310.899166666666,306,0,2,3
FortAwesome/Font-Awesome,19544,2,2,2,11346.4225,394,0,2,3
FortAwesome/Font-Awesome,19539,30,123,73,191.42333333333335,0,0,0,1
FortAwesome/Font-Awesome,19517,1,1,0,1747.6308333333334,342,0,0,1
FortAwesome/Font-Awesome,19467,1,1,1,125.28916666666667,340,0,1,2
FortAwesome/Font-Awesome,19460,1,1,1,12731.256666666666,539,0,2,3
FortAwesome/Font-Awesome,19431,30,85,46,2.6194444444444445,0,0,0,1
FortAwesome/Font-Awesome,19301,1,1,1,11.473055555555556,306,0,0,1
FortAwesome/Font-Awesome,19296,30,22212,22194,28.91138888888889,0,0,0,1
FortAwesome/Font-Awesome,19268,1,25,0,344.43194444444447,23,0,0,1
