repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
FuelLabs/fuel-core,2384,1,1,3,4.789722222222222,238,0,3,4
FuelLabs/fuel-core,2378,5,35,37,24.319444444444443,1529,0,8,3
FuelLabs/fuel-core,2369,2,4,1,94.0286111111111,183,0,3,4
FuelLabs/fuel-core,2366,2,4,1,21.906111111111112,157,0,2,3
FuelLabs/fuel-core,2364,5,508,58,193.76833333333335,1162,0,30,5
FuelLabs/fuel-core,2363,1,41,0,26.626944444444444,140,0,8,5
FuelLabs/fuel-core,2362,10,377,77,160.19583333333333,3196,0,11,4
FuelLabs/fuel-core,2353,3,11,1,1.4669444444444444,281,0,5,4
FuelLabs/fuel-core,2349,3,45,0,5.019166666666667,514,0,6,3
FuelLabs/fuel-core,2346,22,1067,52,198.045,1557,0,0,1
FuelLabs/fuel-core,2345,3,36,5,7.385277777777778,144,0,3,3
FuelLabs/fuel-core,2341,22,482,355,13.044166666666667,660,0,17,4
FuelLabs/fuel-core,2340,25,430,112,29.505,370,0,30,6
FuelLabs/fuel-core,2339,7,233,220,30.114722222222223,3731,0,2,3
FuelLabs/fuel-core,2337,21,471,349,38.903055555555554,561,0,10,2
FuelLabs/fuel-core,2335,21,325,92,68.1725,343,0,24,5
FuelLabs/fuel-core,2334,29,151,419,63.74,922,0,4,3
FuelLabs/fuel-core,2330,17,1492,26,19.795833333333334,608,0,10,4
FuelLabs/fuel-core,2325,1,14,18,11.58361111111111,381,0,2,3
FuelLabs/fuel-core,2324,14,287,101,46.87861111111111,275,0,10,5
FuelLabs/fuel-core,2323,5,23,7,2.6030555555555557,828,0,0,1
FuelLabs/fuel-core,2322,10,184,41,61.36388888888889,1471,0,20,4
FuelLabs/fuel-core,2321,13,252,19,158.99944444444444,1735,0,30,4
FuelLabs/fuel-core,2320,3,29,6,38.239444444444445,1368,0,15,4
FuelLabs/fuel-core,2317,2,36,31,137.17555555555555,1079,0,16,5
FuelLabs/fuel-core,2315,7,144,131,1.1861111111111111,1391,0,4,3
FuelLabs/fuel-core,2314,2,30,20,11.8775,1108,0,5,4
FuelLabs/fuel-core,2311,3,39,14,16.175833333333333,1180,0,7,4
FuelLabs/fuel-core,2310,18,437,58,179.36194444444445,1179,0,30,5
FuelLabs/fuel-core,2309,9,129,4,12.910833333333333,889,0,23,5
FuelLabs/fuel-core,2308,5,79,7,9.215555555555556,1325,0,2,3
FuelLabs/fuel-core,2307,26,1216,1192,2.3491666666666666,0,0,0,1
FuelLabs/fuel-core,2306,4,3,137,3.2483333333333335,126,0,4,4
FuelLabs/fuel-core,2305,7,134,131,1.4841666666666666,378,0,2,3
FuelLabs/fuel-core,2301,1,2,2,1.253611111111111,238,0,2,3
FuelLabs/fuel-core,2300,4,59,0,3.6594444444444445,96,0,7,5
FuelLabs/fuel-core,2299,30,354,123,23.099722222222223,523,0,14,4
FuelLabs/fuel-core,2297,11,304,48,25.699166666666667,278,0,4,3
FuelLabs/fuel-core,2293,2,0,201,140.48555555555555,348,0,2,3
FuelLabs/fuel-core,2292,2,10,11,66.0838888888889,347,0,2,3
FuelLabs/fuel-core,2290,7,11,1,12.903333333333334,1460,0,3,3
FuelLabs/fuel-core,2285,3,24,4,22.68638888888889,119,0,2,2
FuelLabs/fuel-core,2284,3,24,4,24.371944444444445,1069,0,4,4
FuelLabs/fuel-core,2280,2,26,1,3.4155555555555557,582,0,4,3
FuelLabs/fuel-core,2278,6,135,198,27.976944444444445,1260,0,17,3
FuelLabs/fuel-core,2276,11,303,47,65.97472222222223,551,0,4,4
FuelLabs/fuel-core,2272,1,35,6,50.13805555555555,1184,0,8,3
FuelLabs/fuel-core,2271,10,599,33,100.88111111111111,379,0,6,4
FuelLabs/fuel-core,2268,1,138,138,48.868611111111115,2598,0,2,3
FuelLabs/fuel-core,2265,3,291,29,107.24277777777777,1352,0,30,3
FuelLabs/fuel-core,2263,30,241,205,252.8947222222222,1973,0,2,3
FuelLabs/fuel-core,2259,20,375,205,11.264444444444445,459,0,4,2
FuelLabs/fuel-core,2258,3,96,71,624.9588888888889,336,0,30,5
FuelLabs/fuel-core,2256,30,1246,1335,140.82972222222222,15150,0,22,3
FuelLabs/fuel-core,2254,9,240,185,3.7494444444444444,112,0,9,2
FuelLabs/fuel-core,2253,1,7,3,3.212222222222222,802,0,0,1
FuelLabs/fuel-core,2252,7,305,239,172.4038888888889,729,0,30,5
FuelLabs/fuel-core,2251,3,32,65,13.1625,70,0,1,2
FuelLabs/fuel-core,2246,11,201,127,27.686944444444446,1374,0,4,3
FuelLabs/fuel-core,2245,3,36,21,28.93111111111111,1399,0,2,3
FuelLabs/fuel-core,2242,1,75,0,39.76833333333333,456,0,5,3
FuelLabs/fuel-core,2241,1,1,1,44.727777777777774,282,0,10,4
FuelLabs/fuel-core,2240,6,114,16,45.68416666666667,485,0,8,3
FuelLabs/fuel-core,2236,1,34,34,61.02444444444444,1193,0,2,3
FuelLabs/fuel-core,2230,4,51,12,123.09666666666666,1292,0,6,4
FuelLabs/fuel-core,2229,5,118,63,119.79805555555555,535,0,13,5
FuelLabs/fuel-core,2226,9,130,110,127.92583333333333,1368,0,30,5
FuelLabs/fuel-core,2224,5,117,58,18.365,1562,0,9,3
FuelLabs/fuel-core,2222,1,2,2,2.762777777777778,1245,0,2,3
FuelLabs/fuel-core,2219,7,184,27,43.87722222222222,299,0,16,4
FuelLabs/fuel-core,2217,8,235,33,128.72833333333332,580,0,0,1
FuelLabs/fuel-core,2216,30,2274,529,464.05916666666667,3327,0,23,5
FuelLabs/fuel-core,2215,4,12,9,3.091388888888889,114,0,4,4
FuelLabs/fuel-core,2214,1,2,2,1.5019444444444445,1121,0,2,3
FuelLabs/fuel-core,2213,10,144,123,10.065555555555555,5233,0,3,4
FuelLabs/fuel-core,2211,14,41,49,439.1308333333333,297,0,2,2
FuelLabs/fuel-core,2206,8,240,56,60.865,650,0,29,5
FuelLabs/fuel-core,2205,2,25,21,219.67055555555555,967,0,5,5
FuelLabs/fuel-core,2204,13,200,40,29.6725,1481,0,30,4
FuelLabs/fuel-core,2201,7,410,375,24.462222222222223,1065,0,14,3
FuelLabs/fuel-core,2199,30,485,203,53.72972222222222,1600,0,17,5
FuelLabs/fuel-core,2197,1,76,91,9.419722222222223,2207,0,2,3
FuelLabs/fuel-core,2195,13,404,91,331.08944444444444,783,0,15,3
FuelLabs/fuel-core,2194,7,339,16,532.8797222222222,393,0,2,2
FuelLabs/fuel-core,2193,23,2301,1660,339.7386111111111,2197,0,12,2
FuelLabs/fuel-core,2192,9,273,346,143.08444444444444,1515,0,14,3
FuelLabs/fuel-core,2189,6,171,37,216.1725,1527,0,14,4
FuelLabs/fuel-core,2188,14,179,62,141.90694444444443,1623,0,8,5
FuelLabs/fuel-core,2182,8,188,11,238.76527777777778,2008,0,15,3
FuelLabs/fuel-core,2178,2,3,3,24.6125,1033,0,0,1
FuelLabs/fuel-core,2177,1,109,96,33.81166666666667,2583,0,2,3
FuelLabs/fuel-core,2176,1,1,1,35.32277777777778,228,0,0,1
FuelLabs/fuel-core,2174,1,2,2,2.0125,1022,0,0,1
FuelLabs/fuel-core,2173,13,342,133,117.10555555555555,973,0,26,4
FuelLabs/fuel-core,2172,1,22,1,5.3244444444444445,1152,0,2,3
FuelLabs/fuel-core,2170,1,98,2,13.568888888888889,1201,0,9,3
FuelLabs/fuel-core,2168,4,44,43,2.9363888888888887,1347,0,2,3
FuelLabs/fuel-core,2163,12,426,56,193.99166666666667,1621,0,30,3
FuelLabs/fuel-core,2162,29,5391,30,684.6786111111111,3716,0,30,4
FuelLabs/fuel-core,2161,7,10,10,501.4761111111111,467,0,2,3
