repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
FuelLabs/sway,6671,11,88,5,8.969166666666666,1509,0,2,3
FuelLabs/sway,6663,3,26,6,8.416666666666666,1423,0,2,3
FuelLabs/sway,6662,6,51,6,25.400555555555556,1135,0,2,3
FuelLabs/sway,6661,8,595,45,63.522222222222226,1810,0,30,5
FuelLabs/sway,6660,18,288,355,70.59916666666666,995,0,3,3
FuelLabs/sway,6659,4,46,44,66.87527777777778,1066,0,0,1
FuelLabs/sway,6658,7,138,13,134.01222222222222,1133,0,2,3
FuelLabs/sway,6656,1,77,31,96.66416666666667,292,0,2,3
FuelLabs/sway,6655,4,37,2,8.075277777777778,1731,0,2,3
FuelLabs/sway,6652,1,4,0,8.561666666666667,968,0,2,3
FuelLabs/sway,6651,3,183,43,177.6288888888889,535,0,4,3
FuelLabs/sway,6649,1,1,1,1.4577777777777778,915,0,2,3
FuelLabs/sway,6647,3,494,25,4.147777777777778,1009,0,7,4
FuelLabs/sway,6645,3,18,2,1.593888888888889,1064,0,2,3
FuelLabs/sway,6643,5,61,61,5.503888888888889,76,0,3,4
FuelLabs/sway,6640,1,1,0,56.25,930,0,0,1
FuelLabs/sway,6635,10,421,1,196.1888888888889,1068,0,7,4
FuelLabs/sway,6633,13,306,35,251.78583333333333,1148,0,2,3
FuelLabs/sway,6632,1,1,1,37.435833333333335,0,0,2,3
FuelLabs/sway,6630,6,266,201,88.1625,277,0,4,3
FuelLabs/sway,6627,5,53,12,201.68777777777777,1687,0,2,3
FuelLabs/sway,6623,24,1653,565,343.28277777777777,1571,0,2,3
FuelLabs/sway,6622,1,30,31,21.34111111111111,1008,0,2,3
FuelLabs/sway,6621,9,115,131,172.24277777777777,900,0,7,4
FuelLabs/sway,6620,1,1,1,249.66416666666666,373,0,1,2
FuelLabs/sway,6615,30,210,232,252.32583333333332,1195,0,4,3
FuelLabs/sway,6612,2,58,58,3.9505555555555554,35,0,3,4
FuelLabs/sway,6611,6,669,7,5.778611111111111,853,0,10,5
FuelLabs/sway,6608,11,182,25,5.078888888888889,900,0,0,1
FuelLabs/sway,6607,20,1447,304,29.30611111111111,590,0,22,6
FuelLabs/sway,6598,1,21,0,5.822777777777778,1253,0,2,3
FuelLabs/sway,6594,1,99,29,27.142222222222223,1068,0,2,3
FuelLabs/sway,6592,2,55,19,68.83833333333334,1018,0,3,4
FuelLabs/sway,6588,1,23,23,2.276666666666667,1424,0,2,3
FuelLabs/sway,6584,2,35,35,37.18694444444444,168,0,2,3
FuelLabs/sway,6583,4,49,0,76.49833333333333,985,0,2,3
FuelLabs/sway,6582,6,352,296,14.409166666666666,103,0,4,4
FuelLabs/sway,6580,2,7,729,2.495833333333333,114,0,2,3
FuelLabs/sway,6579,11,613,192,13.145277777777778,1156,0,2,3
FuelLabs/sway,6578,12,867,329,62.28138888888889,539,0,20,4
FuelLabs/sway,6577,6,179,316,20.995277777777776,235,0,1,2
FuelLabs/sway,6575,2,14,2,4.1241666666666665,1388,0,2,3
FuelLabs/sway,6574,1,1,1,7.098055555555556,986,0,2,3
FuelLabs/sway,6571,4,321,213,35.934444444444445,2086,0,4,3
FuelLabs/sway,6570,1,2,8,2.3291666666666666,1127,0,2,3
FuelLabs/sway,6566,3,54,48,3.872777777777778,1435,0,2,3
FuelLabs/sway,6563,28,641,609,64.49277777777777,1259,0,3,3
FuelLabs/sway,6562,7,106,11,147.64416666666668,1060,0,3,4
FuelLabs/sway,6561,2,26,746,21.523055555555555,327,0,2,3
FuelLabs/sway,6556,24,143,143,38.405833333333334,59,0,4,5
FuelLabs/sway,6555,9,100,35,28.029166666666665,1917,0,10,6
FuelLabs/sway,6553,6,31,2,19.981944444444444,979,0,2,3
