repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
Genymobile/scrcpy,5334,1,6,6,503.40722222222223,163,0,0,1
Genymobile/scrcpy,5322,11,263,264,215.47805555555556,1039,0,0,1
Genymobile/scrcpy,5315,30,819,5383,3.7116666666666664,0,0,0,1
Genymobile/scrcpy,5280,2,4,1,3.379166666666667,100,0,0,1
Genymobile/scrcpy,5270,30,1541,196,213.99416666666667,1596,0,5,3
Genymobile/scrcpy,5217,1,1,0,3.001388888888889,0,0,0,1
Genymobile/scrcpy,5189,2,12,0,2.555833333333333,12,0,0,1
Genymobile/scrcpy,5154,2,7,55,35.35944444444444,1109,0,0,1
Genymobile/scrcpy,5148,1,5,0,94.0363888888889,349,0,0,1
Genymobile/scrcpy,5147,0,0,0,1387.9075,372,0,0,1
Genymobile/scrcpy,5109,2,22,1,3.5569444444444445,351,0,0,1
Genymobile/scrcpy,5102,23,558,210,68.11083333333333,903,0,0,1
Genymobile/scrcpy,5079,23,1176,2,1575.6969444444444,409,0,0,1
Genymobile/scrcpy,5076,12,198,124,36.86638888888889,2403,0,0,1
Genymobile/scrcpy,5058,1,4,0,22.306944444444444,15,0,0,1
Genymobile/scrcpy,5051,1,7,7,60.21138888888889,154,0,0,1
Genymobile/scrcpy,5044,5,43,21,111.34444444444445,385,0,0,1
Genymobile/scrcpy,5039,10,45,7,5.385833333333333,90,0,0,1
Genymobile/scrcpy,5022,15,289,69,109.41277777777778,1545,0,0,1
Genymobile/scrcpy,5014,16,65,18,432.1322222222222,1289,0,15,2
Genymobile/scrcpy,5008,1,12,8,9.161944444444444,905,0,0,1
Genymobile/scrcpy,4977,18,71,16,361.40944444444443,979,0,0,1
Genymobile/scrcpy,4952,1,2,1,1.9430555555555555,216,0,0,1
Genymobile/scrcpy,4930,2,26,2,283.59166666666664,593,0,3,2
Genymobile/scrcpy,4877,6,81,11,1501.3697222222222,566,0,0,1
Genymobile/scrcpy,4868,20,408,89,502.64694444444444,1269,0,0,1
Genymobile/scrcpy,4859,30,2529,433,25.61638888888889,276,0,0,1
Genymobile/scrcpy,4841,1,25,25,79.1288888888889,127,0,0,1
Genymobile/scrcpy,4830,6,97,36,25.41111111111111,227,0,1,2
Genymobile/scrcpy,4822,1,13,5,2437.606388888889,166,0,0,1
Genymobile/scrcpy,4748,6,107,29,503.1325,251,0,0,1
Genymobile/scrcpy,4741,11,78,122,2587.081388888889,838,0,0,1
Genymobile/scrcpy,4740,1,34,4,733.9483333333334,2254,0,0,1
Genymobile/scrcpy,4716,1,1,1,1.1525,0,0,0,1
Genymobile/scrcpy,4713,15,348,184,26.840833333333332,700,0,3,2
