repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
MunGell/awesome-for-beginners,1490,1,1,1,5.171111111111111,0,0,0,1
MunGell/awesome-for-beginners,1478,1,0,9,5.804444444444444,0,0,0,1
MunGell/awesome-for-beginners,1476,1,9,0,48.71861111111111,43,0,0,1
MunGell/awesome-for-beginners,1472,1,9,0,127.63444444444444,58,0,1,2
MunGell/awesome-for-beginners,1468,1,9,0,415.73527777777775,0,0,1,2
MunGell/awesome-for-beginners,1467,1,1,1,419.88388888888886,0,0,0,1
MunGell/awesome-for-beginners,1463,1,1,1,433.9716666666667,57,0,1,2
MunGell/awesome-for-beginners,1458,1,9,0,576.5894444444444,245,0,0,1
MunGell/awesome-for-beginners,1454,1,0,9,996.0027777777777,37,0,2,3
MunGell/awesome-for-beginners,1452,1,0,9,1141.5583333333334,107,0,0,1
MunGell/awesome-for-beginners,1444,1,9,0,1648.855,205,0,5,4
MunGell/awesome-for-beginners,1443,1,9,0,1702.7891666666667,91,0,1,2
MunGell/awesome-for-beginners,1440,1,5,5,1750.1169444444445,59,0,1,2
MunGell/awesome-for-beginners,1439,1,1,10,1852.0394444444444,21,0,1,2
MunGell/awesome-for-beginners,1438,1,9,0,1853.8652777777777,102,0,1,2
MunGell/awesome-for-beginners,1431,1,25,13,5.631111111111111,1336,0,0,1
MunGell/awesome-for-beginners,1427,1,9,0,2952.5686111111113,540,0,2,3
MunGell/awesome-for-beginners,1425,1,2,2,3253.6022222222223,915,0,2,3
MunGell/awesome-for-beginners,1424,1,1,1,3271.6072222222224,0,0,1,2
MunGell/awesome-for-beginners,1422,1,9,0,1679.6325,0,0,1,2
MunGell/awesome-for-beginners,1421,1,9,0,3394.643888888889,83,0,2,3
MunGell/awesome-for-beginners,1417,1,9,0,3954.8458333333333,116,0,2,3
MunGell/awesome-for-beginners,1415,1,1,1,4152.600833333333,93,0,2,3
MunGell/awesome-for-beginners,1414,1,9,0,4188.141388888889,0,0,2,3
MunGell/awesome-for-beginners,1410,1,1,1,4450.735555555556,152,0,2,3
MunGell/awesome-for-beginners,1407,1,3,0,4593.306666666666,0,0,1,2
MunGell/awesome-for-beginners,1402,1,9,0,5123.843611111111,0,0,2,3
MunGell/awesome-for-beginners,1401,1,12,0,5231.196111111111,131,0,3,4
MunGell/awesome-for-beginners,1400,1,47,1,5289.7525,0,0,2,3
MunGell/awesome-for-beginners,1399,1,1,1,5314.068611111111,0,0,5,6
MunGell/awesome-for-beginners,1395,1,10,0,5519.961111111111,3734,0,2,3
MunGell/awesome-for-beginners,1394,1,9,0,5815.304166666667,87,0,2,3
MunGell/awesome-for-beginners,1392,1,9,0,5983.4141666666665,398,0,1,2
MunGell/awesome-for-beginners,1391,1,45,0,5990.844444444445,0,0,2,3
MunGell/awesome-for-beginners,1390,1,9,0,6200.854444444444,707,0,1,2
MunGell/awesome-for-beginners,1386,1,9,0,6279.033611111111,897,0,1,2
MunGell/awesome-for-beginners,1378,1,1,0,2000.7597222222223,8,0,0,1
MunGell/awesome-for-beginners,1377,1,9,0,6772.681388888889,263,0,1,2
MunGell/awesome-for-beginners,1373,1,10,0,7162.201666666667,391,0,1,2
MunGell/awesome-for-beginners,1363,1,1636,2098,7964.702222222222,448,0,3,4
MunGell/awesome-for-beginners,1355,1,10,0,8600.896388888888,0,0,1,2
MunGell/awesome-for-beginners,1353,1,7,0,9106.420277777777,99,0,3,3
MunGell/awesome-for-beginners,1351,3,24,11,9151.102777777778,226,0,0,1
MunGell/awesome-for-beginners,1348,1,11,0,9178.929444444444,0,0,1,2
MunGell/awesome-for-beginners,1347,1,9,0,9231.503611111111,83,0,1,2
MunGell/awesome-for-beginners,1344,1,0,9,9213.814444444444,45,0,1,2
MunGell/awesome-for-beginners,1343,1,9,0,9215.950833333334,143,0,1,2
MunGell/awesome-for-beginners,1341,1,9,0,9350.843888888889,1145,0,1,2
MunGell/awesome-for-beginners,1338,1,9,0,9441.2625,0,0,1,2
MunGell/awesome-for-beginners,1337,1,1,0,9509.782222222222,0,0,1,2
MunGell/awesome-for-beginners,1335,1,9,0,9905.70611111111,95,0,1,2
MunGell/awesome-for-beginners,1334,1,1,1,10109.16138888889,0,0,0,1
MunGell/awesome-for-beginners,1333,1,1,1,6868.220833333334,64,0,0,1
MunGell/awesome-for-beginners,1331,1,20,0,10164.056666666667,0,0,1,2
MunGell/awesome-for-beginners,1330,1,12,0,21.298055555555557,0,0,0,1
MunGell/awesome-for-beginners,1328,1,1,1,10225.945555555556,97,0,1,2
MunGell/awesome-for-beginners,1324,1,9,0,10324.569722222222,335,0,1,2
MunGell/awesome-for-beginners,1320,1,10,1,10863.535,154,0,1,2
MunGell/awesome-for-beginners,1318,1,0,8,11105.171666666667,103,0,1,2
MunGell/awesome-for-beginners,1316,1,9,0,11184.921666666667,52,0,1,2
MunGell/awesome-for-beginners,1315,1,9,0,11195.2825,171,0,1,2
MunGell/awesome-for-beginners,1313,1,10,0,11202.001944444444,189,0,1,2
MunGell/awesome-for-beginners,1311,1,9,0,11411.149444444445,64,0,1,2
MunGell/awesome-for-beginners,1308,1,9,0,5882.296944444444,51,0,0,1
MunGell/awesome-for-beginners,1302,1,9,0,12108.220277777778,36,0,3,3
MunGell/awesome-for-beginners,1296,1,9,0,12348.571944444444,48,0,1,2
MunGell/awesome-for-beginners,1293,1,10,0,8741.607777777777,141,0,1,2
MunGell/awesome-for-beginners,1291,1,9,0,9703.738888888889,48,0,0,1
MunGell/awesome-for-beginners,1290,1,9,0,9703.821944444444,24,0,0,1
MunGell/awesome-for-beginners,1288,1,9,0,12854.66138888889,64,0,1,2
MunGell/awesome-for-beginners,1286,1,9,0,12917.295555555556,49,0,1,2
MunGell/awesome-for-beginners,1284,1,10,0,12963.3925,115,0,1,2
MunGell/awesome-for-beginners,1282,1,10,1,13159.03,43,0,1,2
MunGell/awesome-for-beginners,1280,1,9,0,13182.87,174,0,1,2
MunGell/awesome-for-beginners,1279,1,9,0,13233.00861111111,39,0,1,2
MunGell/awesome-for-beginners,1278,1,11,0,13382.276944444444,11,0,1,2
MunGell/awesome-for-beginners,1276,1,38,0,13409.18861111111,58,0,1,2
MunGell/awesome-for-beginners,1274,1,10,0,189.46555555555557,56,0,0,1
MunGell/awesome-for-beginners,1271,1,9,0,758.3133333333334,69,0,0,1
MunGell/awesome-for-beginners,1265,1,0,9,14134.99,46,0,1,2
MunGell/awesome-for-beginners,1264,1,9,0,10497.363611111112,254,0,0,1
MunGell/awesome-for-beginners,1263,1,9,0,10497.411666666667,108,0,0,1
MunGell/awesome-for-beginners,1262,1,9,0,77.71638888888889,107,0,0,1
MunGell/awesome-for-beginners,1259,1,27,0,15015.121944444445,41,0,1,2
MunGell/awesome-for-beginners,1257,1,1629,2088,15128.981944444444,161,0,0,1
MunGell/awesome-for-beginners,1255,1,9,0,15345.038055555555,41,0,1,2
MunGell/awesome-for-beginners,1253,1,1,1,1.1966666666666668,0,0,0,1
MunGell/awesome-for-beginners,1252,1,1,1,422.73805555555555,0,0,0,1
MunGell/awesome-for-beginners,1251,1,10,0,17136.9325,0,0,2,3
MunGell/awesome-for-beginners,1249,1,7,0,2.341111111111111,54,0,0,1
MunGell/awesome-for-beginners,1248,1,18,0,2.3994444444444443,54,0,0,1
MunGell/awesome-for-beginners,1245,1,9,0,17306.64,0,0,2,3
MunGell/awesome-for-beginners,1237,1,9,0,13278.1825,0,0,0,1
MunGell/awesome-for-beginners,1229,1,2,2,15639.299722222222,40,0,0,1
MunGell/awesome-for-beginners,1225,1,9,0,17515.21222222222,36,0,1,2
MunGell/awesome-for-beginners,1223,0,0,0,1007.5783333333334,0,0,0,1
MunGell/awesome-for-beginners,1220,1,9,0,17604.582777777778,38,0,1,2
MunGell/awesome-for-beginners,1219,1,10,0,17610.24111111111,0,0,1,2
MunGell/awesome-for-beginners,1214,1,10,0,1655.6544444444444,144,0,0,1
MunGell/awesome-for-beginners,1204,1,9,0,17741.198333333334,36,0,1,2
