repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
TheAlgorithms/Python,12257,4,1180,0,2.1669444444444443,1488,0,2,2
TheAlgorithms/Python,12251,4,1180,0,15.79,1488,0,2,2
TheAlgorithms/Python,12250,3,1083,0,1.2627777777777778,1488,0,3,2
TheAlgorithms/Python,12237,0,0,0,47.5775,1737,0,1,2
TheAlgorithms/Python,12234,2,10,10,13.471388888888889,570,0,1,2
TheAlgorithms/Python,12232,1,41,0,16.236944444444443,1540,0,0,1
TheAlgorithms/Python,12228,1,23,0,16.845555555555556,1510,0,0,1
TheAlgorithms/Python,12227,1,15,0,17.48777777777778,1541,0,1,2
TheAlgorithms/Python,12226,1,51,0,18.54138888888889,1494,0,1,2
TheAlgorithms/Python,12225,1,47,0,18.666944444444443,1657,0,0,1
TheAlgorithms/Python,12220,0,0,0,68.93166666666667,1513,0,0,1
TheAlgorithms/Python,12197,2,27,0,52.8675,1494,0,1,2
TheAlgorithms/Python,12190,1,199,0,53.82333333333333,1527,0,1,1
TheAlgorithms/Python,12187,1,14,0,69.18916666666667,1492,0,0,1
TheAlgorithms/Python,12172,1,59,0,72.04833333333333,1494,0,0,1
TheAlgorithms/Python,12169,1,9,0,2.268611111111111,1676,0,1,2
TheAlgorithms/Python,12164,1,9,0,73.61638888888889,1510,0,2,2
TheAlgorithms/Python,12163,1,41,0,57.245,1510,0,0,1
TheAlgorithms/Python,12157,1,58,0,74.63833333333334,1492,0,5,2
TheAlgorithms/Python,12147,3,197,7,17.98472222222222,1494,0,1,2
TheAlgorithms/Python,12138,1,13,9,100.36805555555556,2062,0,0,1
TheAlgorithms/Python,12134,1,94,0,100.61,1582,0,0,1
TheAlgorithms/Python,12126,1,112,0,118.9186111111111,1028,0,1,2
TheAlgorithms/Python,12119,2,128,0,135.79666666666665,86,0,0,1
TheAlgorithms/Python,12117,2,34,0,2.5188888888888887,1634,0,0,1
TheAlgorithms/Python,12116,1,83,0,143.3088888888889,3330,0,1,2
TheAlgorithms/Python,12113,2,78,0,147.38833333333332,1489,0,6,2
TheAlgorithms/Python,12106,1,43,0,159.1002777777778,1969,0,8,2
TheAlgorithms/Python,12102,1,65,0,161.24138888888888,53,0,0,1
TheAlgorithms/Python,12099,0,0,0,4.289444444444444,59,0,0,1
TheAlgorithms/Python,12076,1,35,0,173.28083333333333,1494,0,0,1
TheAlgorithms/Python,12075,1,48,0,175.43555555555557,1619,0,2,3
TheAlgorithms/Python,12074,1,72,0,175.92277777777778,1602,0,0,1
TheAlgorithms/Python,12068,4,48,0,182.55777777777777,1494,0,0,1
TheAlgorithms/Python,12061,1,55,0,190.5263888888889,1494,0,0,1
TheAlgorithms/Python,12053,1,245,0,3.0925,2465,0,2,2
TheAlgorithms/Python,12051,1,45,0,49.937777777777775,1602,0,3,4
