repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
airbnb/javascript,3054,1,1,1,44.104166666666664,541,0,0,1
airbnb/javascript,3052,1,576,393,29.68111111111111,45,0,3,2
airbnb/javascript,3047,2,14,2,33.525555555555556,609,0,1,2
airbnb/javascript,3038,1,1,0,8.880833333333333,0,0,1,2
airbnb/javascript,3037,1,1,1,1.0916666666666666,73,0,0,1
airbnb/javascript,3036,1,0,4,91.31972222222223,410,0,1,2
airbnb/javascript,3024,1,0,0,7.293333333333333,72,0,0,1
airbnb/javascript,3018,1,1,0,4.18,60,0,0,1
airbnb/javascript,3017,1,1,0,7.259166666666666,14,0,0,1
airbnb/javascript,3016,1,1,0,1.0083333333333333,119,0,0,1
airbnb/javascript,3008,21,554,365,2.986666666666667,0,0,0,1
airbnb/javascript,3002,1,509,400,652.6772222222222,0,0,1,2
airbnb/javascript,2996,1,2,2,1.6627777777777777,56,0,1,2
airbnb/javascript,2993,1,2,7,1.3372222222222223,320,0,1,2
airbnb/javascript,2980,1,1,1,2522.1583333333333,348,0,2,3
airbnb/javascript,2979,1,1,0,7.859166666666667,27,0,0,1
airbnb/javascript,2973,1,1,0,8.935277777777777,66,0,1,2
airbnb/javascript,2970,1,22,0,23.986944444444443,369,0,1,2
airbnb/javascript,2969,1,2,0,1.3216666666666668,22,0,1,2
airbnb/javascript,2966,1,2,0,7.531944444444444,12,0,1,2
airbnb/javascript,2964,1,1,0,5.712777777777778,72,0,1,2
airbnb/javascript,2962,1,1,1,28.954444444444444,91,0,2,2
airbnb/javascript,2958,2,235,0,51.908055555555556,136,0,1,1
airbnb/javascript,2955,5,17,7,8.471944444444444,116,0,1,2
airbnb/javascript,2954,1,60,0,7.546111111111111,483,0,0,1
airbnb/javascript,2950,3,3,0,3.5005555555555556,0,0,1,2
airbnb/javascript,2949,3,6,0,3.522222222222222,0,0,1,2
airbnb/javascript,2946,1,1,1,7.456388888888889,0,0,1,2
airbnb/javascript,2944,1,1,0,3.11,12,0,1,2
airbnb/javascript,2943,1,1,0,4.266388888888889,85,0,1,2
airbnb/javascript,2933,1,0,0,1.0952777777777778,0,0,0,1
airbnb/javascript,2930,1,1,0,7.045833333333333,0,0,1,2
airbnb/javascript,2926,1,1,1,1.0997222222222223,0,0,1,2
airbnb/javascript,2924,1,1,1,1.0461111111111112,0,0,1,2
airbnb/javascript,2920,1,1,1,11.353055555555555,6,0,1,2
airbnb/javascript,2919,1,16,0,100.22805555555556,0,0,1,2
airbnb/javascript,2915,1,1,1,193.54166666666666,0,0,0,1
airbnb/javascript,2914,2,2,2,5.305,0,0,0,1
airbnb/javascript,2913,3,3,0,4.889444444444444,0,0,0,1
airbnb/javascript,2912,3,6,0,4.901944444444444,0,0,0,1
airbnb/javascript,2906,4,23,17,5149.959444444445,74,0,6,3
airbnb/javascript,2904,1,1,1,21.25777777777778,282,0,1,2
airbnb/javascript,2903,1,1,1,5.278333333333333,20,0,0,1
airbnb/javascript,2899,1,1,0,1.6847222222222222,87,0,0,1
airbnb/javascript,2896,1,16,11,16.609444444444446,768,0,4,2
airbnb/javascript,2888,1,1,0,1.9919444444444445,2,0,0,1
airbnb/javascript,2878,7,35,28,562.0063888888889,783,0,1,2
airbnb/javascript,2876,1,1,1,4.388888888888889,50,0,1,2
airbnb/javascript,2871,1,1,1,2.6475,0,0,1,2
airbnb/javascript,2870,2,1,3,7.621666666666667,0,0,1,2
airbnb/javascript,2864,1,1,1,122.455,644,0,3,2
airbnb/javascript,2856,1,2,2,14.08388888888889,28,0,1,2
airbnb/javascript,2854,1,36,0,11.795,27,0,0,1
airbnb/javascript,2850,1,1,1,8590.67,171,0,2,3
airbnb/javascript,2849,1,2,1,4489.299722222222,70,0,5,3
airbnb/javascript,2848,1,1,1,1.2361111111111112,63,0,1,2
airbnb/javascript,2846,2,5,0,11.795555555555556,61,0,0,1
airbnb/javascript,2845,2,5,0,2.5030555555555556,0,0,0,1
airbnb/javascript,2844,1,1,0,69.37638888888888,21,0,0,1
airbnb/javascript,2841,1,2,2,8857.716944444444,0,0,1,2
airbnb/javascript,2836,1,6,0,1.8780555555555556,0,0,0,1
airbnb/javascript,2827,1,1,0,6112.653611111111,765,0,1,2
airbnb/javascript,2826,4,109,2,8815.030555555555,0,0,0,1
airbnb/javascript,2824,0,0,0,24.24277777777778,0,0,3,2
airbnb/javascript,2821,1,1,0,2.0,66,0,0,1
airbnb/javascript,2819,1,1,1,1.8208333333333333,243,0,6,2
airbnb/javascript,2818,5,109,2,213.6561111111111,0,0,8,3
airbnb/javascript,2815,1,4,1,27.18166666666667,140,0,2,2
airbnb/javascript,2812,1,6,2,14.446666666666667,48,0,4,2
airbnb/javascript,2811,1,1,1,1.3038888888888889,13,0,0,1
airbnb/javascript,2810,1,1,1,10.493611111111111,131,0,1,2
airbnb/javascript,2808,1,1,0,13.229722222222222,31,0,0,1
airbnb/javascript,2805,1,7,0,8.881944444444445,0,0,0,1
airbnb/javascript,2803,4,14,14,79.73555555555555,0,0,3,2
airbnb/javascript,2801,1,1,0,4.122777777777777,38,0,0,1
airbnb/javascript,2800,1,1,0,4.314166666666667,60,0,0,1
airbnb/javascript,2791,1,27,0,21.451666666666668,143,0,2,2
airbnb/javascript,2781,1,1,46,7.116388888888889,0,0,0,1
airbnb/javascript,2779,1,1,1,4.995,182,0,1,2
airbnb/javascript,2778,1,1,46,6.2813888888888885,6,0,0,1
airbnb/javascript,2777,1,1,46,6.285277777777778,4,0,0,1
airbnb/javascript,2776,1,1,46,6.898333333333333,8,0,0,1
airbnb/javascript,2775,1,1,1,6.0225,48,0,1,2
airbnb/javascript,2774,1,1,1,10.984444444444444,131,0,3,3
airbnb/javascript,2773,1,50,0,249.5702777777778,103,0,7,3
airbnb/javascript,2771,1,1,0,12185.166388888889,82,0,2,3
airbnb/javascript,2768,1,1,1,1.8497222222222223,208,0,1,2
airbnb/javascript,2767,1,1,1,11.836388888888889,88,0,1,2
airbnb/javascript,2764,1,1,1,37.42527777777778,57,0,0,1
airbnb/javascript,2738,1,6,2,5.006944444444445,0,0,0,1
airbnb/javascript,2735,1,3,0,6.6875,0,0,0,1
airbnb/javascript,2734,1,6,1,6.685833333333333,0,0,0,1
airbnb/javascript,2732,6,11,2,7.311111111111111,0,0,0,1
airbnb/javascript,2731,6,11,2,7.316388888888889,0,0,0,1
airbnb/javascript,2726,3,17,0,1.3625,0,0,0,1
airbnb/javascript,2724,6,50,12,36.125,575,0,1,2
airbnb/javascript,2705,2,16,0,6.020555555555555,16,0,1,2
airbnb/javascript,2688,1,2,0,20.498333333333335,356,0,10,3
airbnb/javascript,2686,2,6,4,1.068888888888889,216,0,5,2
airbnb/javascript,2682,3,14,0,94.46333333333334,316,0,2,2
