repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
angular/angular.js,17185,7,52,76,4.876388888888889,2,0,0,1
angular/angular.js,17177,7,52,76,1100.9133333333334,326,0,11,5
angular/angular.js,17166,2,30,25,4.943888888888889,1039,0,1,2
angular/angular.js,17164,1,2,6,78.22222222222223,594,0,2,3
angular/angular.js,17160,2,5,5,5.7075,1117,0,0,1
angular/angular.js,17152,1,1,1,83.6275,1219,0,0,1
angular/angular.js,17151,1,3,1,6.264444444444444,1117,0,0,1
angular/angular.js,17150,1,33,64,668.9266666666666,4158,0,0,1
angular/angular.js,17149,1,1,0,11.453611111111112,1125,0,0,1
angular/angular.js,17145,1,3,3,7.988888888888889,2718,0,0,1
angular/angular.js,17144,1,2,2,87.20555555555555,1256,0,1,2
angular/angular.js,17142,1,2,2,87.23194444444445,1258,0,1,2
angular/angular.js,17141,2,760,82,3984.386111111111,2517,0,2,2
angular/angular.js,17140,4,813,653,44.60944444444444,1332,0,1,2
angular/angular.js,17139,4,668,381,1.0227777777777778,1687,0,1,2
angular/angular.js,17136,1,1,1,4.690833333333333,1121,0,1,2
angular/angular.js,17134,1,3,3,592.7794444444445,2986,0,0,1
angular/angular.js,17133,1,3,3,632.6227777777777,3297,0,0,1
angular/angular.js,17132,1,4,9,641.6077777777778,4472,0,0,1
angular/angular.js,17129,1,3,3,636.0138888888889,7803,0,0,1
angular/angular.js,17128,2,5,10,676.5619444444444,4472,0,0,1
angular/angular.js,17126,2,244,205,703.165,9985,0,0,1
angular/angular.js,17124,1,2,2,45.64611111111111,24,0,1,2
angular/angular.js,17122,1,3,3,25.344722222222224,2874,0,0,1
angular/angular.js,17120,1,1,1,8.534444444444444,25,0,1,2
angular/angular.js,17119,1,16,16,8.923333333333334,3556,0,1,2
angular/angular.js,17116,1,16,66,9.668888888888889,3239,0,0,1
angular/angular.js,17115,1,21,28,9.669166666666667,7836,0,0,1
angular/angular.js,17114,15,3125,3685,12.534166666666666,207,0,1,2
angular/angular.js,17108,1,3,1,12.864166666666666,2185,0,0,1
angular/angular.js,17099,1,1,11,1383.068888888889,4358,0,0,1
angular/angular.js,17093,1,6,8,13.43361111111111,134,0,1,2
angular/angular.js,17090,5,42,19,21.82777777777778,248,0,5,3
angular/angular.js,17086,1,1,1,76.45138888888889,2210,0,0,1
angular/angular.js,17084,4,79,20,1.2297222222222222,1346,0,0,1
angular/angular.js,17083,1,2,2,12.019722222222223,1117,0,0,1
angular/angular.js,17082,1,1,0,8.075277777777778,1117,0,0,1
angular/angular.js,17081,1,2,2,12.663333333333334,1117,0,0,1
angular/angular.js,17080,1,7,7,19.75777777777778,1117,0,0,1
angular/angular.js,17078,2,3,3,2.725,3,0,0,1
angular/angular.js,17076,1,1,1,29.912222222222223,1117,0,1,2
angular/angular.js,17075,1,8,0,357.4552777777778,962,0,1,2
angular/angular.js,17074,25,356,268,168.86777777777777,107,0,10,3
angular/angular.js,17073,1,3,3,431.67277777777775,5948,0,0,1
angular/angular.js,17072,1,3,3,431.6922222222222,5948,0,0,1
angular/angular.js,17071,1,3,3,434.81333333333333,5948,0,0,1
angular/angular.js,17070,1,16,10,550.8525,15334,0,0,1
angular/angular.js,17066,2,3,3,8.252777777777778,278,0,6,3
angular/angular.js,17063,1,7,4,28.095277777777778,454,0,1,2
angular/angular.js,17062,7,8,8,1293.1447222222223,1314,0,2,2
angular/angular.js,17060,3,128,35,257.3825,1254,0,3,3
angular/angular.js,17059,1,36,18,1.7777777777777777,4189,0,0,1
angular/angular.js,17057,1,7,1,50.088055555555556,1428,0,5,4
angular/angular.js,17056,1,3,3,3.5294444444444446,5130,0,0,1
angular/angular.js,17055,4,10,10,7.2555555555555555,8614,0,0,1
angular/angular.js,17054,1,3,3,2.1783333333333332,5130,0,0,1
angular/angular.js,17044,1,3,0,8.770555555555555,1117,0,0,1
angular/angular.js,17043,1,3,3,74.29,4574,0,0,1
angular/angular.js,17042,1,3,3,118.83555555555556,4574,0,0,1
angular/angular.js,17040,1,1,1,2.207222222222222,1121,0,6,3
angular/angular.js,17039,1,3,0,2912.8127777777777,1529,0,2,3
angular/angular.js,17035,1,24,38,19.823055555555555,874,0,1,2
angular/angular.js,17034,7,14,414,43.02472222222222,125,0,2,3
angular/angular.js,17033,7,15,415,11.764722222222222,125,0,0,1
angular/angular.js,17030,5,40,32,11.660833333333333,1117,0,18,4
angular/angular.js,17029,1,13,12,3124.453611111111,5026,0,0,1
angular/angular.js,17028,5,177,15,165.40777777777777,1732,0,30,5
angular/angular.js,17027,8,51,26,367.87833333333333,0,0,20,3
angular/angular.js,17026,2,5,5,17.025277777777777,1256,0,2,3
angular/angular.js,17024,1,20,0,3529.3597222222224,1141,0,5,3
angular/angular.js,17022,2,5,5,464.585,4594,0,0,1
angular/angular.js,17021,2,267,19,17.0775,1042,0,1,2
angular/angular.js,17018,1,3,3,9871.724722222221,3193,0,0,1
angular/angular.js,17017,1,3,3,9871.679444444444,2833,0,0,1
angular/angular.js,17016,2,6,1,2087.1319444444443,7919,0,0,1
angular/angular.js,17015,1,3,9,795.2127777777778,4124,0,0,1
angular/angular.js,17014,2,10,1,932.1077777777778,2042,0,1,2
angular/angular.js,17013,1,13,35,1384.5947222222221,2578,0,1,2
angular/angular.js,17012,1,1,1,18.77138888888889,1117,0,1,2
angular/angular.js,17009,1,4,7,36.76444444444444,1318,0,0,1
angular/angular.js,17008,1,2,2,14.842222222222222,1466,0,0,1
angular/angular.js,17006,1,1,1,34.74472222222222,1245,0,0,1
angular/angular.js,16945,1,0,1,14.007222222222222,1433,0,1,2
angular/angular.js,16943,5,15,7,12.618611111111111,1041,0,1,2
angular/angular.js,16942,3,3,3,127.775,2,0,1,2
angular/angular.js,16938,1,0,0,24.720833333333335,1117,0,0,1
angular/angular.js,16935,1,2,2,170.54111111111112,1190,0,1,2
angular/angular.js,16934,1,2,2,170.71472222222224,1194,0,1,2
angular/angular.js,16932,1,1,1,94.66055555555556,1183,0,0,1
angular/angular.js,16931,1,1,1,439.48805555555555,47,0,1,1
angular/angular.js,16930,5,5,5,319.9033333333333,15,0,2,3
angular/angular.js,16915,30,1090,3729,4557.626111111111,1454,0,19,4
angular/angular.js,16913,2,17,2,5.281666666666666,1227,0,2,2
angular/angular.js,16910,2,3,3,22.775277777777777,1135,0,0,1
angular/angular.js,16909,1,5,0,11.900833333333333,30422,0,0,1
angular/angular.js,16908,1,7,7,3.6791666666666667,1117,0,0,1
angular/angular.js,16906,30,3508,855,11.155277777777778,1117,0,0,1
angular/angular.js,16904,1,4,4,5637.578888888889,1117,0,0,1
angular/angular.js,16896,1,47,0,13.485277777777778,1117,0,0,1
angular/angular.js,16894,4,4,4,3986.265,0,0,1,2
