repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
angular/angular,58325,1,0,1,1.2583333333333333,655,0,2,3
angular/angular,58322,2,2,3,4.348611111111111,1345,0,1,2
angular/angular,58321,4,115,47,4.6305555555555555,0,0,2,2
angular/angular,58320,6,33,19,5.914166666666667,58,0,1,2
angular/angular,58318,5,20,5,7.929722222222222,79,0,1,2
angular/angular,58311,4,200,82,19.893055555555556,1544,0,0,1
angular/angular,58309,2,8,4,1.1994444444444445,673,0,2,3
angular/angular,58308,1,3,3,1.5022222222222221,729,0,1,2
angular/angular,58305,1,1,1,1.5433333333333332,995,0,1,2
angular/angular,58299,10,292,18,2.8944444444444444,0,0,4,3
angular/angular,58298,5,200,10,1.54,0,0,0,1
angular/angular,58294,3,182,41,9.92388888888889,101,0,1,2
angular/angular,58290,8,63,57,21.11777777777778,681,0,9,2
angular/angular,58283,2,2,8,3.5077777777777777,293,0,1,2
angular/angular,58282,6,351,25,3.9563888888888887,252,0,3,2
angular/angular,58274,1,1,13,84.05666666666667,148,0,3,2
angular/angular,58272,15,0,97,87.28666666666666,156,0,1,2
angular/angular,58270,1,3,3,15.535,962,0,1,2
angular/angular,58269,1,1,1,16.096944444444443,1321,0,1,2
angular/angular,58265,4,103,22,23.25583333333333,310,0,2,3
angular/angular,58263,5,387,8,1.0408333333333333,22,0,2,3
angular/angular,58261,9,856,0,123.0436111111111,49,0,0,1
angular/angular,58260,8,247,168,2.801388888888889,22,0,3,2
angular/angular,58259,10,285,0,3.203611111111111,315,0,6,3
angular/angular,58257,4,26,18,5.019166666666667,2163,0,1,2
angular/angular,58256,5,1661,1200,84.08083333333333,132,0,2,3
angular/angular,58255,13,1087,0,92.19777777777777,988,0,30,14
angular/angular,58254,18,112,112,110.41555555555556,207,0,2,3
angular/angular,58253,1,3,3,12.889444444444445,962,0,1,2
angular/angular,58252,2,14,1,2.4522222222222223,656,0,1,2
angular/angular,58249,5,27,24,118.28333333333333,552,0,3,3
angular/angular,58246,1,2,2,24.909444444444443,1593,0,3,3
angular/angular,58244,1,2,2,22.38111111111111,1622,0,1,2
angular/angular,58243,11,113,13,2.8594444444444442,423,0,1,2
angular/angular,58239,2,27,0,5.304444444444444,1273,0,1,2
angular/angular,58238,30,27,31,182.7875,44,0,9,3
angular/angular,58236,2,23,4,13.939166666666667,92,0,1,2
angular/angular,58235,1,3,3,11.034722222222221,962,0,1,2
angular/angular,58234,3,4,7,64.80583333333334,109,0,1,2
angular/angular,58231,2,177,9,38.24888888888889,158,0,3,2
angular/angular,58228,14,44,4,26.552222222222223,347,0,4,5
angular/angular,58223,2,55,34,2.6847222222222222,1789,0,1,2
angular/angular,58221,1,1,1,21.00888888888889,145,0,1,2
angular/angular,58219,13,1,143,3.361388888888889,1238,0,0,1
angular/angular,58217,5,61,71,1.7508333333333332,573,0,1,2
angular/angular,58216,1,19,24,4.573333333333333,240,0,1,2
angular/angular,58214,2,2,2,13.367222222222223,87,0,2,3
angular/angular,58210,3,13,1,13.914722222222222,34,0,2,3
angular/angular,58206,3,55,0,2.1883333333333335,744,0,2,2
angular/angular,58205,25,1268,179,18.2425,2108,0,2,2
angular/angular,58202,1,2,2,1.5355555555555556,2819,0,1,2
angular/angular,58201,13,7,17733,1.5811111111111111,2724,0,0,1
angular/angular,58200,1,1,1,9.866111111111111,53,0,2,3
angular/angular,58199,4,100,3,184.91694444444445,503,0,6,5
