repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
animate-css/animate.css,1813,2,5,5,72.0475,5447,0,0,1
animate-css/animate.css,1811,2,5,5,24.41,5706,0,0,1
animate-css/animate.css,1809,2,5,5,167.2125,5952,0,0,1
animate-css/animate.css,1808,2,5,5,24.33222222222222,6087,0,0,1
animate-css/animate.css,1807,2,250,331,336.2713888888889,25511,0,0,1
animate-css/animate.css,1800,2,20,20,575.7947222222223,9087,0,0,1
animate-css/animate.css,1799,2,591,366,167.86805555555554,12155,0,0,1
animate-css/animate.css,1798,2,250,331,407.69916666666666,26447,0,0,1
animate-css/animate.css,1794,2,250,331,335.64722222222224,25544,0,0,1
animate-css/animate.css,1790,2,260,230,23.4975,15503,0,0,1
animate-css/animate.css,1789,2,5,5,815.7413888888889,8466,0,0,1
animate-css/animate.css,1788,2,5,5,144.30333333333334,8191,0,0,1
animate-css/animate.css,1787,2,5,5,47.67916666666667,8933,0,0,1
animate-css/animate.css,1786,2,250,331,264.39444444444445,25382,0,0,1
animate-css/animate.css,1784,2,260,230,359.96472222222224,16428,0,0,1
animate-css/animate.css,1783,2,591,366,912.2247222222222,11806,0,0,1
animate-css/animate.css,1782,2,261,231,143.92277777777778,15657,0,0,1
animate-css/animate.css,1781,2,249,330,336.0566666666667,24878,0,0,1
animate-css/animate.css,1779,2,591,366,238.95388888888888,12796,0,0,1
animate-css/animate.css,1778,2,586,366,24.578055555555554,14468,0,0,1
animate-css/animate.css,1777,2,249,330,335.8388888888889,24482,0,0,1
animate-css/animate.css,1776,2,586,366,167.90722222222223,15185,0,0,1
animate-css/animate.css,1773,2,250,331,22.702222222222222,25308,0,0,1
animate-css/animate.css,1771,2,581,366,46.736111111111114,8234,0,0,1
animate-css/animate.css,1770,2,250,331,24.04111111111111,27171,0,0,1
animate-css/animate.css,1769,2,580,365,38.538333333333334,11188,0,0,1
animate-css/animate.css,1768,1,5,5,115.16638888888889,134,0,0,1
animate-css/animate.css,1767,2,580,365,167.80944444444444,12421,0,0,1
animate-css/animate.css,1766,2,250,331,278.2058333333333,30036,0,0,1
animate-css/animate.css,1765,1,4,1,327.8725,991,0,0,1
animate-css/animate.css,1764,1,2,2,406.0108333333333,113,0,0,1
animate-css/animate.css,1763,2,580,365,215.93916666666667,12752,0,0,1
animate-css/animate.css,1762,2,580,365,24.503055555555555,14376,0,0,1
animate-css/animate.css,1760,2,12,1,614.6833333333333,0,0,0,1
animate-css/animate.css,1759,2,41,34,709.8388888888888,7520,0,0,1
animate-css/animate.css,1758,2,15,15,709.8452777777778,8870,0,0,1
animate-css/animate.css,1757,2,5,5,709.8569444444445,8180,0,0,1
animate-css/animate.css,1756,2,15,15,48.58638888888889,8627,0,0,1
animate-css/animate.css,1755,2,34,23,758.4355555555555,7216,0,0,1
animate-css/animate.css,1754,2,15,15,23.389166666666668,8710,0,0,1
animate-css/animate.css,1753,2,580,365,335.0311111111111,13906,0,0,1
animate-css/animate.css,1752,3,515,21,884.6047222222222,306,0,0,1
animate-css/animate.css,1749,2,580,365,120.95666666666666,13623,0,0,1
animate-css/animate.css,1747,2,580,365,159.4427777777778,14984,0,0,1
animate-css/animate.css,1746,2,5,5,207.90333333333334,9653,0,0,1
animate-css/animate.css,1745,2,41,34,207.9061111111111,7263,0,0,1
animate-css/animate.css,1744,2,574,365,48.46805555555556,16707,0,0,1
animate-css/animate.css,1743,2,5,5,207.91555555555556,7938,0,0,1
animate-css/animate.css,1742,2,229,250,207.9188888888889,24980,0,0,1
animate-css/animate.css,1741,1,1314,1163,136.42833333333334,417,0,0,1
animate-css/animate.css,1739,1,1,0,294.63666666666666,0,0,0,1
animate-css/animate.css,1738,2,10,10,567.3141666666667,8784,0,0,1
animate-css/animate.css,1737,2,253,230,614.8680555555555,16080,0,0,1
animate-css/animate.css,1736,2,10,10,47.56388888888889,8490,0,0,1
animate-css/animate.css,1735,2,5,5,614.8791666666667,9054,0,0,1
animate-css/animate.css,1734,2,253,230,119.83111111111111,15576,0,0,1
animate-css/animate.css,1733,2,5,5,455.65777777777777,8385,0,0,1
animate-css/animate.css,1732,2,41,34,1070.5391666666667,6937,0,0,1
animate-css/animate.css,1731,1,5,5,1097.905,0,0,0,1
animate-css/animate.css,1730,2,5,5,48.26583333333333,9048,0,0,1
animate-css/animate.css,1729,2,5,5,72.21472222222222,9379,0,0,1
animate-css/animate.css,1726,3,129,126,1378.3722222222223,201,0,0,1
animate-css/animate.css,1725,2,10,10,768.4075,8628,0,0,1
animate-css/animate.css,1724,1,0,2,1418.2083333333333,9,0,0,1
animate-css/animate.css,1723,5,157,166,1526.5566666666666,800,0,0,1
animate-css/animate.css,1721,2,225,246,1791.4025,25398,0,0,1
animate-css/animate.css,1719,2,34,23,1959.4844444444445,6730,0,0,1
animate-css/animate.css,1718,2,5,5,768.4747222222222,10627,0,0,1
animate-css/animate.css,1717,2,126,113,2078.7675,7168,0,0,1
animate-css/animate.css,1716,2,253,230,1392.0772222222222,14435,0,0,1
animate-css/animate.css,1715,2,225,246,335.37666666666667,25865,0,0,1
animate-css/animate.css,1714,2,10,10,743.4997222222222,8410,0,0,1
animate-css/animate.css,1711,2,535,361,2462.717777777778,14045,0,0,1
animate-css/animate.css,1710,2,41,34,1392.1855555555555,6897,0,0,1
animate-css/animate.css,1709,2,307,271,2462.7258333333334,7934,0,0,1
animate-css/animate.css,1708,2,225,246,335.95666666666665,25291,0,0,1
animate-css/animate.css,1707,2,5,5,503.2527777777778,11408,0,0,1
animate-css/animate.css,1706,2,10,10,335.9633333333333,8320,0,0,1
animate-css/animate.css,1705,2,17,12,503.26444444444445,6051,0,0,1
animate-css/animate.css,1704,2,6,79,2462.7505555555554,2228,0,0,1
animate-css/animate.css,1703,2,238,235,335.9836111111111,11280,0,0,1
