repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ansible/ansible,84165,5,132,5,4.434166666666667,517,0,0,1
ansible/ansible,84155,4,3,66,11.758888888888889,155,0,1,2
ansible/ansible,84146,2,14,12,95.72444444444444,1148,0,10,3
ansible/ansible,84143,15,157,46,148.3022222222222,1151,0,7,4
ansible/ansible,84141,1,1,1,14.874444444444444,501,0,0,1
ansible/ansible,84140,1,1,1,14.87111111111111,501,0,0,1
ansible/ansible,84139,1,1,1,14.868055555555555,501,0,0,1
ansible/ansible,84138,1,1,1,14.863333333333333,501,0,0,1
ansible/ansible,84137,1,1,1,14.860555555555555,501,0,0,1
ansible/ansible,84136,1,1,1,14.905555555555555,396,0,1,2
ansible/ansible,84130,1,0,54,4.131944444444445,384,0,1,2
ansible/ansible,84129,1,1,1,27.836666666666666,490,0,1,2
ansible/ansible,84119,5,22,2,29.931944444444444,277,0,0,1
ansible/ansible,84118,1,8,0,40.778055555555554,500,0,0,1
ansible/ansible,84112,3,28,9,17.81388888888889,190,0,1,2
ansible/ansible,84111,3,28,9,17.815555555555555,190,0,1,2
ansible/ansible,84110,3,28,9,17.817222222222224,190,0,1,2
ansible/ansible,84108,3,78,3,97.56055555555555,237,0,0,1
ansible/ansible,84104,1,27,0,122.7325,365,0,0,1
ansible/ansible,84102,3,22,1,128.01166666666666,1771,0,7,3
ansible/ansible,84098,2,7,4,1.82,191,0,0,1
ansible/ansible,84097,2,7,4,1.8191666666666666,191,0,0,1
ansible/ansible,84096,2,7,4,1.8252777777777778,191,0,0,1
ansible/ansible,84095,3,14,13,3.7294444444444443,109,0,0,1
ansible/ansible,84091,1,7,1,185.7725,554,0,4,2
ansible/ansible,84088,6,53,90,237.04,178,0,10,3
ansible/ansible,84087,2,2,2,1.9913888888888889,212,0,0,1
ansible/ansible,84085,1,2,6,162.11,195,0,1,2
ansible/ansible,84082,1,28,0,140.86638888888888,233,0,0,1
ansible/ansible,84080,4,74,2,142.80416666666667,317,0,0,1
ansible/ansible,84078,1,19,3,2.082222222222222,164,0,1,2
ansible/ansible,84070,4,49,6,161.2136111111111,341,0,0,1
ansible/ansible,84068,3,4,4,161.335,328,0,0,1
ansible/ansible,84066,1,1,1,1.4913888888888889,112,0,0,1
ansible/ansible,84054,2,2,2,1.0947222222222222,115,0,0,1
ansible/ansible,84052,7,21,2,3.6341666666666668,191,0,0,1
ansible/ansible,84050,7,21,2,14.792777777777777,193,0,0,1
ansible/ansible,84048,2,22,12,1.07,109,0,0,1
ansible/ansible,84044,10,93,152,265.7336111111111,351,0,0,1
ansible/ansible,84043,2,126,94,15.113888888888889,165,0,2,3
