repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ant-design/ant-design,51368,29,329,325,3.044722222222222,1729,0,4,3
ant-design/ant-design,51355,2,2,2,25.4425,1722,0,5,2
ant-design/ant-design,51353,30,202,24,34.64861111111111,764,0,5,3
ant-design/ant-design,51351,1,3,2,1.2555555555555555,1629,0,2,3
ant-design/ant-design,51350,5,21,8,1.788888888888889,1412,0,1,2
ant-design/ant-design,51342,4,28,0,11.903611111111111,2434,0,1,2
ant-design/ant-design,51335,14,7074,1425,24.92972222222222,1788,0,1,2
ant-design/ant-design,51333,1,1,1,1.2566666666666666,1400,0,2,3
ant-design/ant-design,51328,1,1,1,24.594722222222224,3901,0,1,2
ant-design/ant-design,51327,1,1,1,14.016666666666667,1762,0,3,3
ant-design/ant-design,51324,6,9,12,19.62,907,0,10,3
ant-design/ant-design,51323,3,1,3,22.679444444444446,1718,0,1,2
ant-design/ant-design,51320,3,29,1,5.4325,3403,0,6,4
ant-design/ant-design,51307,1,1,1,14.175277777777778,1924,0,2,3
ant-design/ant-design,51297,7,281,61,101.31472222222222,2094,0,5,2
ant-design/ant-design,51295,1,1,1,1.4558333333333333,1347,0,1,2
ant-design/ant-design,51294,1,3,3,76.69083333333333,1232,0,3,2
ant-design/ant-design,51276,12,1042,329,166.9261111111111,1910,0,7,3
ant-design/ant-design,51267,1,1,1,1.0930555555555554,5914,0,1,2
ant-design/ant-design,51266,1,1,1,1.0983333333333334,3120,0,1,2
ant-design/ant-design,51265,1,1,1,1.1044444444444443,6079,0,1,2
ant-design/ant-design,51259,0,0,0,19.558055555555555,1038,0,0,1
ant-design/ant-design,51258,1,1,1,23.840555555555557,4630,0,1,2
ant-design/ant-design,51257,1,1,1,23.835,5530,0,1,2
ant-design/ant-design,51256,1,1,1,168.37972222222223,6041,0,1,2
ant-design/ant-design,51251,25,8093,7474,28.166944444444443,1795,0,3,2
ant-design/ant-design,51238,1,1,1,14.044722222222223,4537,0,1,2
ant-design/ant-design,51236,30,310,170,21.170555555555556,1751,0,1,2
ant-design/ant-design,51235,1,0,0,15.737777777777778,1722,0,2,3
ant-design/ant-design,51233,3,21,1,1.4025,2371,0,6,5
ant-design/ant-design,51231,6,54,7,24.5725,1545,0,2,3
ant-design/ant-design,51228,6,54,7,2.3944444444444444,1516,0,2,3
ant-design/ant-design,51226,1,0,2,1.0933333333333333,1584,0,2,3
ant-design/ant-design,51223,1,14,5,22.173333333333332,953,0,12,4
ant-design/ant-design,51221,1,1,0,7.357777777777778,1744,0,2,3
ant-design/ant-design,51220,19,45,40,73.13583333333334,1712,0,15,3
ant-design/ant-design,51219,5,26,28,2.1327777777777777,1785,0,3,3
ant-design/ant-design,51214,1,1,1,1.291388888888889,1918,0,2,3
ant-design/ant-design,51210,5,440,218,245.36222222222221,2457,0,9,4
ant-design/ant-design,51208,1,28,0,102.98694444444445,2579,0,30,4
ant-design/ant-design,51193,1,1,1,25.851666666666667,4102,0,1,2
ant-design/ant-design,51187,1,1,1,69.88361111111111,1861,0,2,3
ant-design/ant-design,51186,30,14552,12320,147.68666666666667,884,0,6,3
ant-design/ant-design,51185,1,0,1,30.799722222222222,660,0,2,3
ant-design/ant-design,51184,2,35,41,1.1644444444444444,2330,0,1,2
ant-design/ant-design,51181,1,4,0,47.91416666666667,1486,0,1,2
ant-design/ant-design,51176,1,1,1,8.177222222222222,1778,0,3,3
ant-design/ant-design,51174,1,1,1,49.68694444444444,5360,0,1,2
ant-design/ant-design,51169,1,9,3,3.533611111111111,1700,0,1,2
ant-design/ant-design,51165,1,3,7,71.5911111111111,1507,0,1,2
ant-design/ant-design,51161,2,35,1,14.685833333333333,1750,0,1,2
ant-design/ant-design,51156,1,1,1,1.2091666666666667,1178,0,1,2
ant-design/ant-design,51150,5,9,1,4.528888888888889,2017,0,2,3
ant-design/ant-design,51147,3,35,1,29.066388888888888,3340,0,22,7
ant-design/ant-design,51141,1,1,1,17.3425,5368,0,2,3
ant-design/ant-design,51114,2,65,12,43.604166666666664,1021,0,3,2
ant-design/ant-design,51112,1,6,0,58.367777777777775,1588,0,1,2
ant-design/ant-design,51109,8,319,1,3.7777777777777777,1834,0,2,2
ant-design/ant-design,51105,1,1,1,1.9244444444444444,1225,0,1,2
ant-design/ant-design,51102,1,1,1,1.9119444444444444,922,0,2,3
ant-design/ant-design,51101,6,24,6,4.336944444444445,1884,0,7,3
ant-design/ant-design,51098,1,54,55,16.8575,4710,0,1,2
ant-design/ant-design,51096,1,55,58,3.1430555555555557,1807,0,7,3
ant-design/ant-design,51091,1,1,1,6.799444444444444,11702,0,1,2
ant-design/ant-design,51087,14,15,14,23.695555555555554,1720,0,3,2
ant-design/ant-design,51086,2,2,2,10.521666666666667,1758,0,4,3
ant-design/ant-design,51083,1,1,1,4.4175,11702,0,1,2
ant-design/ant-design,51079,1,4,0,19.621944444444445,1958,0,1,2
ant-design/ant-design,51078,3,29,1,2.185277777777778,2683,0,13,3
ant-design/ant-design,51076,1,10,2,7.1563888888888885,1221,0,1,2
ant-design/ant-design,51074,1,33,60,19.86138888888889,1746,0,1,2
ant-design/ant-design,51070,2,11,1,1.3025,977,0,1,2
ant-design/ant-design,51068,20,255,519,3.696111111111111,1819,0,1,2
ant-design/ant-design,51066,7,65,65,2.4758333333333336,2014,0,1,2
ant-design/ant-design,51065,1,1,1,11.008888888888889,10695,0,1,2
ant-design/ant-design,51064,1,1,1,1.1088888888888888,4601,0,2,3
ant-design/ant-design,51062,2,10,0,10.4075,236,0,0,1
ant-design/ant-design,51061,1,22,3,2.2327777777777778,300,0,0,1
ant-design/ant-design,51060,2,68,0,6.115277777777778,473,0,1,2
