repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
apache/echarts,20435,1,4,1,43.61361111111111,1309,0,8,3
apache/echarts,20402,3,69,7,143.42666666666668,1695,0,0,1
apache/echarts,20399,3,238,3,16.7325,1229,0,1,2
apache/echarts,20396,2,30,1,5.4025,2538,0,1,2
apache/echarts,20380,2,58,18,17.570555555555554,1082,0,1,2
apache/echarts,20370,2,44,4,38.95388888888889,1100,0,3,2
apache/echarts,20368,2,113,31,1.628611111111111,9773,0,0,1
apache/echarts,20329,1,5,0,260.6075,1359,0,1,2
apache/echarts,20324,2,151,3,470.0397222222222,1336,0,5,2
apache/echarts,20312,1,144,0,14.828333333333333,1204,0,1,2
apache/echarts,20304,2,2,2,163.10472222222222,1270,0,2,2
apache/echarts,20300,2,55,1,791.8697222222222,1314,0,1,2
apache/echarts,20276,1,1,1,140.06444444444443,1656,0,3,2
apache/echarts,20266,3,32,3,47.26416666666667,265,0,1,2
apache/echarts,20252,30,1040,87,6.354722222222223,1226,0,1,2
apache/echarts,20249,3,730,547,1579.8547222222223,2255,0,2,2
apache/echarts,20246,1,1,1,4.580277777777778,1334,0,1,2
apache/echarts,20235,2,104,9,39.37305555555555,2451,0,0,1
apache/echarts,20227,1,144,0,23.650277777777777,312,0,2,2
apache/echarts,20226,6,134,3,670.6897222222223,2239,0,6,3
apache/echarts,20218,3,103,2,91.63055555555556,1235,0,2,2
apache/echarts,20194,2,193,2,1.1175,1356,0,1,2
apache/echarts,20161,1,3,3,66.6225,3968,0,2,3
apache/echarts,20144,1,3,0,95.28611111111111,154,0,2,3
apache/echarts,20129,5,199,38,195.61527777777778,4004,0,15,2
apache/echarts,20123,1,3,2,75.86138888888888,957,0,1,2
apache/echarts,20114,5,101,5,334.1122222222222,2471,0,1,2
apache/echarts,20113,3,199,1,598.59,1485,0,2,2
apache/echarts,20110,4,93,5,356.4894444444444,2358,0,1,2
apache/echarts,20105,6,84,26,358.265,3725,0,2,2
apache/echarts,20104,5,214,9,43.87888888888889,1453,0,3,2
apache/echarts,20101,30,744,157,1.271388888888889,1226,0,1,2
apache/echarts,20100,30,744,157,1.291111111111111,1226,0,1,2
apache/echarts,20074,1,1,1,547.1513888888888,3652,0,3,2
apache/echarts,20051,2,4,5,3.6991666666666667,587,0,1,2
apache/echarts,20050,1,2,0,105.13388888888889,1769,0,3,2
apache/echarts,20045,6,77,25,22.913055555555555,3142,0,1,2
apache/echarts,20043,2,128,1,237.43722222222223,2079,0,2,2
apache/echarts,20039,24,684,161,46.39194444444445,1226,0,2,3
apache/echarts,20038,23,688,83,1092.5019444444445,1508,0,9,2
apache/echarts,20030,2,12,1,10.2775,6557,0,1,2
apache/echarts,20020,3,14,8,146.41833333333332,1632,0,1,2
apache/echarts,19973,2,129,1,786.5705555555555,2054,0,1,2
apache/echarts,19919,3,239,4,917.5975,1543,0,1,2
apache/echarts,19901,4,254,4,21.073333333333334,3721,0,1,2
apache/echarts,19898,2,197,21,51.51694444444445,1474,0,1,2
apache/echarts,19892,2,10,1,52.7675,2065,0,2,2
apache/echarts,19888,2,19,2,104.34055555555555,1458,0,1,2
apache/echarts,19875,1,1,1,348.72305555555556,1794,0,0,1
apache/echarts,19847,2,3,3,263.9397222222222,2919,0,1,2
apache/echarts,19769,5,518,26,95.60388888888889,1226,0,0,1
apache/echarts,19763,3,98,2,1035.8152777777777,1546,0,1,2
apache/echarts,19697,4,10,10,41.17055555555555,748,0,1,2
apache/echarts,19696,3,1109,837,41.494166666666665,891,0,1,2
apache/echarts,19695,1,3,0,43.05027777777778,778,0,1,2
apache/echarts,19642,5,23,7,45.276944444444446,2391,0,1,2
apache/echarts,19638,2,98,5,3118.5461111111113,1470,0,2,2
apache/echarts,19632,30,95854,25768,18.665,117,0,1,2
apache/echarts,19628,30,118113,62660,5.493888888888889,1218,0,1,2
apache/echarts,19620,1,2,5,91.2525,961,0,1,2
apache/echarts,19569,1,0,137,15.259444444444444,190,0,1,2
apache/echarts,19568,2,3,3,8.331388888888888,943,0,1,2
apache/echarts,19567,1,137,0,3.3325,1314,0,1,2
apache/echarts,19549,3,35,24,109.44694444444444,1408,0,3,2
apache/echarts,19543,3,92,11,6.315,267,0,1,2
apache/echarts,19534,5,365,24,4770.256666666667,2430,0,4,2
