repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
apache/superset,30699,2,14,10,4.114444444444445,922,0,1,2
apache/superset,30693,30,868,2056,2.0166666666666666,1064,0,0,1
apache/superset,30688,1,2,2,24.945833333333333,1024,0,2,3
apache/superset,30683,1,3,3,17.54138888888889,4424,0,1,2
apache/superset,30680,1,1,1,17.994722222222222,1726,0,2,3
apache/superset,30675,2,3,1,25.874166666666667,1158,0,1,2
apache/superset,30671,24,58,7,15.198333333333334,673,0,1,2
apache/superset,30662,4,220,165,5.419444444444444,887,0,1,2
apache/superset,30661,1,1,1,4.405277777777778,1205,0,1,2
apache/superset,30659,4,13,7,35.77166666666667,286,0,1,2
apache/superset,30655,1,25,19,44.1175,360,0,1,2
apache/superset,30654,1,13,13,118.675,1136,0,7,3
apache/superset,30653,4,24,23,121.66916666666667,1131,0,2,3
apache/superset,30628,1,1,1,1.0980555555555556,1152,0,1,2
apache/superset,30626,1,14,12,5.736111111111111,1127,0,1,2
apache/superset,30617,2,1,2,4.5311111111111115,271,0,1,2
apache/superset,30616,1,0,1,4.7747222222222225,298,0,1,2
apache/superset,30613,3,42,1,68.03138888888888,961,0,1,2
apache/superset,30609,25,1016,227,141.31861111111112,1398,0,2,3
apache/superset,30606,1,5,1,8.377222222222223,802,0,2,3
apache/superset,30599,5,75,70,20.908055555555556,1525,0,3,2
apache/superset,30593,2,5,0,248.94722222222222,1211,0,6,3
apache/superset,30581,2,75,14,99.33638888888889,1748,0,2,3
apache/superset,30578,4,125,35,20.209444444444443,2231,0,2,2
apache/superset,30577,1,2,2,15.486944444444445,1884,0,1,2
apache/superset,30576,3,20,5,264.75166666666667,1438,0,1,2
apache/superset,30572,2,1508,671,126.74805555555555,7987,0,1,2
apache/superset,30568,7,55,87,294.0,938,0,3,2
apache/superset,30565,2,2,2,20.142777777777777,1352,0,2,3
apache/superset,30563,1,6,0,1.0583333333333333,960,0,1,2
apache/superset,30560,4,29,57,2.7247222222222223,1071,0,1,2
apache/superset,30559,6,158,1,58.43944444444445,1505,0,6,2
apache/superset,30549,2,134,75,30.727777777777778,1536,0,4,4
apache/superset,30540,1,10,18,7.387222222222222,1068,0,1,2
apache/superset,30532,1,3,3,9.914722222222222,1495,0,4,3
apache/superset,30528,5,598,448,48.05222222222222,1611,0,1,2
apache/superset,30527,3,10,4,92.92361111111111,230,0,3,3
apache/superset,30526,1,643,630,54.74666666666667,936,0,1,2
apache/superset,30523,1,4,4,298.0213888888889,112,0,7,4
apache/superset,30522,7,162,3,239.85722222222222,1286,0,3,2
apache/superset,30521,30,994,1097,67.88027777777778,227,0,1,2
apache/superset,30509,1,2,2,7.053888888888889,1207,0,1,2
apache/superset,30503,4,48,3,43.47083333333333,2100,0,5,3
apache/superset,30502,2,93,45,17.75,1530,0,1,2
apache/superset,30501,6,226,14,53.345,1877,0,1,2
apache/superset,30500,1,6,1,26.589444444444446,1099,0,3,2
apache/superset,30496,2,4,3,15.804444444444444,232,0,1,2
apache/superset,30495,1,106,0,19.8725,1190,0,1,2
apache/superset,30491,2,155,4,27.58277777777778,2237,0,1,2
apache/superset,30490,4,112,1,73.64416666666666,1231,0,7,4
apache/superset,30487,2,1078,112,11.850555555555555,5424,0,1,2
apache/superset,30485,1,12,108,10.646944444444445,2264,0,1,2
apache/superset,30484,2,17,113,10.686388888888889,6356,0,1,2
apache/superset,30483,2,10,10,10.735555555555555,5935,0,1,2
apache/superset,30482,2,127,127,537.4202777777778,19843,0,0,1
apache/superset,30481,2,5,5,10.768055555555556,2262,0,1,2
apache/superset,30477,2,14,110,10.831666666666667,10381,0,1,2
apache/superset,30476,2,5,5,15.515,7103,0,2,2
apache/superset,30473,2,15,111,10.934444444444445,3148,0,1,2
apache/superset,30472,2,60,146,32.80583333333333,5297,0,1,2
apache/superset,30471,2,16,48,12.601666666666667,3305,0,1,2
apache/superset,30469,3,17,113,12.647777777777778,2294,0,1,2
apache/superset,30467,2,9,6,12.696944444444444,2282,0,1,2
apache/superset,30466,2,16,16,12.778333333333334,2256,0,1,2
apache/superset,30465,2,66,553,12.786666666666667,8017,0,1,2
apache/superset,30464,2,504,28,11.177777777777777,11727,0,1,2
apache/superset,30463,2,8,8,32.986111111111114,7103,0,2,2
apache/superset,30461,2,21,120,12.909444444444444,11392,0,1,2
apache/superset,30460,2,36,114,11.365,4113,0,1,2
apache/superset,30459,2,22,474,11.405,4377,0,1,2
apache/superset,30457,1,1,1,251.41444444444446,1609,0,0,1
apache/superset,30447,10,141,17,73.1036111111111,1481,0,1,2
apache/superset,30445,1,6,3,20.453611111111112,953,0,1,2
apache/superset,30443,3,284,167,244.61416666666668,1784,0,3,2
apache/superset,30442,4,5,107,76.73222222222222,1404,0,1,2
apache/superset,30441,3,313,240,1.3583333333333334,869,0,1,2
apache/superset,30440,1,12,7,1.2344444444444445,1069,0,1,2
apache/superset,30438,21,656,38,369.45666666666665,1433,0,22,5
apache/superset,30430,3,8,7,2.8280555555555558,713,0,1,2
apache/superset,30429,1,0,1,1.6625,302,0,2,3
apache/superset,30426,1,4,2,216.99305555555554,1116,0,5,4
apache/superset,30425,2,67,12,282.11,1806,0,3,3
apache/superset,30417,6,43,12,4.689166666666667,1241,0,1,2
apache/superset,30416,3,19,24,70.82055555555556,758,0,2,2
apache/superset,30411,4,37,12,500.57194444444445,1183,0,0,1
apache/superset,30410,5,21,19,93.16333333333333,1124,0,3,3
apache/superset,30407,1,2,7,16.911944444444444,790,0,2,3
apache/superset,30406,1,55,53,118.31194444444445,0,0,4,4
apache/superset,30405,2,13,11,2.8158333333333334,1115,0,2,3
apache/superset,30397,2,83,33,71.89972222222222,584,0,2,3
apache/superset,30395,4,60,51,527.9361111111111,1112,0,4,3
apache/superset,30393,3,122,21,2.700277777777778,1180,0,4,2
apache/superset,30390,1,3,2,196.76222222222222,1566,0,1,2
apache/superset,30389,2,27,3,1.6452777777777778,1560,0,1,2
apache/superset,30380,1,9,2,21.70277777777778,1483,0,3,2
apache/superset,30365,4,42,14,89.27305555555556,1593,0,1,2
apache/superset,30364,3,214,16,42.85055555555556,2086,0,8,3
apache/superset,30359,8,792,843,11.053055555555556,1151,0,2,2
apache/superset,30357,30,399,331,488.78583333333336,1445,0,1,2
apache/superset,30354,4,407,346,115.71527777777777,1177,0,2,3
