repo,pr_number,duration_hours,description_length,num_comments,num_participants
atom/atom,25729,1709.9933333333333,638,0,1
atom/atom,25709,0.17833333333333334,894,0,1
atom/atom,25694,0.0033333333333333335,628,0,1
atom/atom,25693,0.006111111111111111,803,0,1
atom/atom,25684,0.004166666666666667,146,0,1
atom/atom,25677,0.12805555555555556,638,0,1
atom/atom,25675,350.865,6941,0,1
atom/atom,25667,7242.768055555555,153,0,1
atom/atom,25662,922.6313888888889,17,0,1
atom/atom,25656,701.2644444444444,3752,0,1
atom/atom,25644,1969.3147222222221,58,0,1
atom/atom,25633,0.09944444444444445,24,0,1
atom/atom,25632,1079.0605555555555,1358,0,1
atom/atom,25622,1.8527777777777779,2683,0,1
atom/atom,25599,663.8211111111111,127,0,1
atom/atom,25582,162.8361111111111,606,0,1
atom/atom,25576,1323.9627777777778,638,0,1
atom/atom,25575,1327.6427777777778,5393,0,1
atom/atom,25574,0.010833333333333334,638,0,1
atom/atom,25561,1638.7416666666666,6961,0,1
atom/atom,25560,1642.1530555555555,6961,0,1
atom/atom,25556,0.014166666666666666,136,0,1
atom/atom,25554,30.965,1578,0,1
atom/atom,25543,62.16638888888889,638,0,1
atom/atom,25541,2102.821111111111,1780,0,1
atom/atom,25521,42.10722222222222,181,0,1
atom/atom,25520,2231.0094444444444,664,0,1
atom/atom,25519,0.009722222222222222,638,0,1
atom/atom,25494,0.12527777777777777,290,0,1
atom/atom,25483,697.8708333333333,140,0,1
atom/atom,25459,927.7738888888889,340,0,1
atom/atom,25442,1184.8883333333333,804,0,1
atom/atom,25433,3273.264722222222,837,0,1
atom/atom,25396,3679.3558333333335,5860,0,1
atom/atom,25395,3679.3655555555556,5860,0,1
atom/atom,25386,3691.4216666666666,7831,0,1
atom/atom,25360,42.734722222222224,2374,0,1
atom/atom,25297,3765.0227777777777,3245,0,1
atom/atom,25296,3765.027777777778,4619,0,1
atom/atom,25254,2137.3591666666666,6719,0,1
atom/atom,25253,2134.882222222222,6719,0,1
atom/atom,24755,1881.4091666666666,102,0,1
atom/atom,24420,1925.3733333333332,390,0,1
atom/atom,24419,1925.4080555555556,354,0,1
atom/atom,23727,624.2830555555555,7887,0,1
atom/atom,23692,806.0330555555555,4126,0,1
atom/atom,23680,0.016944444444444446,638,0,1
atom/atom,23679,0.0030555555555555557,767,0,1
atom/atom,23675,46.55972222222222,647,0,1
atom/atom,23672,2528.1808333333333,690,0,1
atom/atom,23671,5385.480555555556,3537,0,1
atom/atom,23668,16.252222222222223,262,0,1
atom/atom,23664,1259.871111111111,1677,0,1
atom/atom,23655,98.60555555555555,464,0,1
atom/atom,23654,2683.7516666666666,2092,0,1
atom/atom,23647,5.1425,4483,0,1
atom/atom,23634,31.54,647,0,1
atom/atom,23624,79.28361111111111,68,0,1
atom/atom,23614,0.0022222222222222222,693,0,1
atom/atom,23613,2863.9533333333334,259,0,1
atom/atom,23578,1.9325,137,0,1
atom/atom,23575,3.098888888888889,889,0,1
atom/atom,23557,156.97833333333332,65,0,1
atom/atom,23521,335.9772222222222,6309,0,1
atom/atom,23506,99.2911111111111,24537,0,1
atom/atom,23505,111.12361111111112,5795,0,1
atom/atom,23504,7027.0361111111115,14960,0,1
atom/atom,23502,5662.879444444445,98,0,1
atom/atom,23494,1.8683333333333334,776,0,1
atom/atom,23492,2.2711111111111113,141,0,1
atom/atom,23490,0.0030555555555555557,628,0,1
atom/atom,23484,37.64083333333333,87,0,1
atom/atom,23476,813.4519444444444,0,0,1
atom/atom,23446,179.9622222222222,1014,0,1
atom/atom,23405,208.33333333333334,638,0,1
atom/atom,23352,484.7630555555556,3529,0,1
atom/atom,23322,3.2883333333333336,69,0,1
atom/atom,23316,23.499444444444446,35,0,1
atom/atom,23286,65.7225,2702,0,1
atom/atom,23285,70.23555555555555,4619,0,1
atom/atom,23282,14.085555555555555,135,0,1
atom/atom,23268,125.49777777777778,10289,0,1
atom/atom,23188,118.66777777777777,165,0,1
atom/atom,23186,118.88111111111111,169,0,1
atom/atom,23185,122.3386111111111,170,0,1
atom/atom,23158,545.6955555555555,393,0,1
atom/atom,23152,3.0725,167,0,1
atom/atom,23145,0.0075,106,0,1
atom/atom,23137,46.38333333333333,638,0,1
atom/atom,23132,98.11805555555556,408,0,1
atom/atom,23109,0.6086111111111111,638,0,1
atom/atom,23105,24.657222222222224,803,0,1
atom/atom,23098,249.76611111111112,46,0,1
atom/atom,23097,0.005277777777777778,369,0,1
atom/atom,23096,250.33277777777778,318,0,1
atom/atom,23095,326.8802777777778,228,0,1
atom/atom,23091,50.25611111111111,812,0,1
atom/atom,23084,6009.2219444444445,3773,0,1
atom/atom,23068,483.5180555555556,190,0,1
atom/atom,23031,251.1288888888889,564,0,1
