repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
awesome-selfhosted/awesome-selfhosted,4181,1,21,0,7.052777777777778,131,0,0,1
awesome-selfhosted/awesome-selfhosted,4125,1,1,0,19.905833333333334,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4123,1,49,49,3.031111111111111,151,0,5,3
awesome-selfhosted/awesome-selfhosted,4121,1,0,1,52.3225,576,0,2,3
awesome-selfhosted/awesome-selfhosted,4120,1,0,1,53.45861111111111,896,0,0,1
awesome-selfhosted/awesome-selfhosted,4119,1,0,1,52.51555555555556,654,0,1,2
awesome-selfhosted/awesome-selfhosted,4118,1,0,1,52.543055555555554,605,0,1,2
awesome-selfhosted/awesome-selfhosted,4117,1,1,1,4.575,0,0,1,2
awesome-selfhosted/awesome-selfhosted,4115,1,1,0,91.14888888888889,3213,0,3,3
awesome-selfhosted/awesome-selfhosted,4114,1,1,0,94.00805555555556,3213,0,2,2
awesome-selfhosted/awesome-selfhosted,4113,1,1,0,4.295,3213,0,0,1
awesome-selfhosted/awesome-selfhosted,4112,1,1,0,93.54333333333334,3213,0,5,3
awesome-selfhosted/awesome-selfhosted,4111,1,1,1,11.187777777777777,166,0,1,2
awesome-selfhosted/awesome-selfhosted,4110,1,0,1,100.38638888888889,165,0,1,2
awesome-selfhosted/awesome-selfhosted,4108,1,1,1,36.19111111111111,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4107,1,1,0,5.834722222222222,3481,0,0,1
awesome-selfhosted/awesome-selfhosted,4106,1,1,0,5.894444444444445,3347,0,0,1
awesome-selfhosted/awesome-selfhosted,4100,1,1,0,189.80027777777778,3212,0,1,2
awesome-selfhosted/awesome-selfhosted,4099,1,1,1,5.641944444444444,3080,0,2,3
awesome-selfhosted/awesome-selfhosted,4096,1,1,0,204.50472222222223,3213,0,3,3
awesome-selfhosted/awesome-selfhosted,4094,1,1,0,254.34416666666667,3213,0,5,3
awesome-selfhosted/awesome-selfhosted,4093,1,1,0,260.755,2909,0,4,3
awesome-selfhosted/awesome-selfhosted,4092,1,1,0,260.5625,3213,0,6,3
awesome-selfhosted/awesome-selfhosted,4091,1,0,1,209.90055555555554,3283,0,3,4
awesome-selfhosted/awesome-selfhosted,4090,1,1,1,43.397222222222226,3213,0,0,1
awesome-selfhosted/awesome-selfhosted,4089,1,1,0,263.5388888888889,3231,0,2,3
awesome-selfhosted/awesome-selfhosted,4083,6,8,70,349.1638888888889,239,0,1,2
awesome-selfhosted/awesome-selfhosted,4080,1,1,0,360.00444444444446,3213,0,2,2
awesome-selfhosted/awesome-selfhosted,4079,1,1,0,393.5461111111111,3213,0,5,4
awesome-selfhosted/awesome-selfhosted,4072,1,3,3,27.564722222222223,181,0,2,3
awesome-selfhosted/awesome-selfhosted,4069,1,1,0,529.4269444444444,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4068,1,1,0,187.61666666666667,3213,0,6,5
awesome-selfhosted/awesome-selfhosted,4067,1,8,8,2.36,86,0,1,2
awesome-selfhosted/awesome-selfhosted,4065,1,0,1,122.42416666666666,17080,0,1,2
awesome-selfhosted/awesome-selfhosted,4064,1,0,1,122.46416666666667,29170,0,1,2
awesome-selfhosted/awesome-selfhosted,4063,1,0,1,122.60527777777777,78,0,1,2
awesome-selfhosted/awesome-selfhosted,4062,1,0,1,122.62555555555555,113,0,1,2
awesome-selfhosted/awesome-selfhosted,4061,1,0,1,122.66277777777778,115,0,1,2
awesome-selfhosted/awesome-selfhosted,4060,1,0,1,122.71222222222222,131,0,1,2
awesome-selfhosted/awesome-selfhosted,4059,1,1,1,239.08666666666667,336,0,1,2
awesome-selfhosted/awesome-selfhosted,4056,1,1,0,152.04305555555555,3326,0,4,3
awesome-selfhosted/awesome-selfhosted,4055,1,1,0,2521.606388888889,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4053,1,1,0,178.6161111111111,3475,0,3,4
awesome-selfhosted/awesome-selfhosted,4052,1,1,0,181.5211111111111,3213,0,2,3
awesome-selfhosted/awesome-selfhosted,4051,1,1,0,4.141111111111111,3213,0,2,3
awesome-selfhosted/awesome-selfhosted,4047,1,0,1,177.57555555555555,249,0,1,2
awesome-selfhosted/awesome-selfhosted,4046,1,0,1,177.65416666666667,105,0,1,2
awesome-selfhosted/awesome-selfhosted,4045,1,0,2,177.74916666666667,111,0,1,2
awesome-selfhosted/awesome-selfhosted,4042,1,1,1,1.063611111111111,3273,0,1,2
awesome-selfhosted/awesome-selfhosted,4041,1,0,1,171.62805555555556,179,0,1,2
awesome-selfhosted/awesome-selfhosted,4040,1,0,1,172.62916666666666,315,0,1,2
awesome-selfhosted/awesome-selfhosted,4036,1,1,1,120.26666666666667,233,0,2,2
awesome-selfhosted/awesome-selfhosted,4035,1,1,0,184.12222222222223,3587,0,2,3
awesome-selfhosted/awesome-selfhosted,4033,1,1,0,840.0252777777778,3237,0,2,3
awesome-selfhosted/awesome-selfhosted,4032,1,8,0,840.8236111111111,3676,0,3,3
awesome-selfhosted/awesome-selfhosted,4031,1,1,0,6.430833333333333,3274,0,2,2
awesome-selfhosted/awesome-selfhosted,4029,1,1,1,1.5441666666666667,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4028,1,1,0,513.0358333333334,3213,0,1,2
awesome-selfhosted/awesome-selfhosted,4027,1,39,22,531.1930555555556,670,0,0,1
awesome-selfhosted/awesome-selfhosted,4024,1,1,1,198.3322222222222,139,0,1,2
awesome-selfhosted/awesome-selfhosted,4017,1,1,1,1.8080555555555555,105,0,0,1
awesome-selfhosted/awesome-selfhosted,4016,1,1,1,47.8725,284,0,0,1
awesome-selfhosted/awesome-selfhosted,4015,1,1,1,8.233888888888888,293,0,0,1
awesome-selfhosted/awesome-selfhosted,4014,1,1,1,47.91444444444444,292,0,0,1
awesome-selfhosted/awesome-selfhosted,4013,1,0,1,47.95916666666667,225,0,0,1
awesome-selfhosted/awesome-selfhosted,4012,1,1,1,8.379722222222222,166,0,0,1
awesome-selfhosted/awesome-selfhosted,4011,1,0,1,56.19277777777778,155,0,0,1
awesome-selfhosted/awesome-selfhosted,4010,1,1,1,8.642222222222221,357,0,0,1
awesome-selfhosted/awesome-selfhosted,4007,1,1,1,5.972222222222222,79,0,3,4
awesome-selfhosted/awesome-selfhosted,4004,1,1,0,31.20861111111111,3255,0,3,2
awesome-selfhosted/awesome-selfhosted,4001,1,0,1,11.347777777777777,189,0,0,1
awesome-selfhosted/awesome-selfhosted,3999,1,1,0,7.073333333333333,78,0,2,3
awesome-selfhosted/awesome-selfhosted,3998,1,1,0,121.3013888888889,75,0,2,3
awesome-selfhosted/awesome-selfhosted,3994,1,1,0,365.66777777777776,3253,0,3,3
awesome-selfhosted/awesome-selfhosted,3991,1,1,0,224.36111111111111,3014,0,2,3
awesome-selfhosted/awesome-selfhosted,3990,1,2,4,49.120555555555555,0,0,2,3
awesome-selfhosted/awesome-selfhosted,3987,1,1,0,225.3488888888889,3143,0,2,3
awesome-selfhosted/awesome-selfhosted,3986,2,16,3,251.24527777777777,2996,0,1,2
awesome-selfhosted/awesome-selfhosted,3985,1,1,0,195.93138888888888,2996,0,8,4
awesome-selfhosted/awesome-selfhosted,3984,1,1,1,4.885277777777778,187,0,2,3
awesome-selfhosted/awesome-selfhosted,3983,1,1,0,90.69583333333334,2996,0,3,2
awesome-selfhosted/awesome-selfhosted,3982,1,1,0,19.004166666666666,2996,0,0,1
awesome-selfhosted/awesome-selfhosted,3981,1,0,1,73.70777777777778,214,0,1,2
awesome-selfhosted/awesome-selfhosted,3980,1,0,1,76.34833333333333,201,0,1,2
awesome-selfhosted/awesome-selfhosted,3978,1,1,0,417.1575,2996,0,10,5
awesome-selfhosted/awesome-selfhosted,3976,1,54,54,208.83666666666667,42,0,1,2
awesome-selfhosted/awesome-selfhosted,3975,1,2,0,144.45083333333332,2996,0,1,2
awesome-selfhosted/awesome-selfhosted,3971,1,1,0,503.7611111111111,2996,0,2,2
awesome-selfhosted/awesome-selfhosted,3969,1,1,0,296.9113888888889,2996,0,0,1
awesome-selfhosted/awesome-selfhosted,3968,1,1,1,9.625277777777777,2996,0,0,1
awesome-selfhosted/awesome-selfhosted,3967,1,1,0,485.16777777777776,2996,0,2,3
awesome-selfhosted/awesome-selfhosted,3965,1,1,1,1.791111111111111,3258,0,1,2
awesome-selfhosted/awesome-selfhosted,3964,1,1,0,144.2836111111111,3067,0,0,1
awesome-selfhosted/awesome-selfhosted,3963,1,1,0,342.0602777777778,2996,0,1,2
awesome-selfhosted/awesome-selfhosted,3962,1,1,0,344.3975,2998,0,2,2
awesome-selfhosted/awesome-selfhosted,3958,1,1,0,265.11333333333334,2996,0,3,2
awesome-selfhosted/awesome-selfhosted,3954,1,1,0,628.3769444444445,2996,0,3,2
awesome-selfhosted/awesome-selfhosted,3953,1,0,1,112.33694444444444,298,0,0,1
awesome-selfhosted/awesome-selfhosted,3952,1,0,1,112.40277777777777,192,0,0,1
awesome-selfhosted/awesome-selfhosted,3951,1,0,1,112.44416666666666,121,0,0,1
