repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
awesomedata/awesome-public-datasets,440,1,1,1,67.40194444444444,24,0,0,1
awesomedata/awesome-public-datasets,439,1,3,1,1569.8977777777777,0,0,0,1
awesomedata/awesome-public-datasets,438,1,2,0,22.826666666666668,169,0,0,1
awesomedata/awesome-public-datasets,435,1,32,10,95.92666666666666,277,0,0,1
awesomedata/awesome-public-datasets,421,1,4,0,20381.626666666667,351,0,0,1
awesomedata/awesome-public-datasets,418,1,2,0,11304.297777777778,0,0,0,1
awesomedata/awesome-public-datasets,417,1,1,1,2094.773888888889,43,0,0,1
awesomedata/awesome-public-datasets,414,1,2,2,418.30805555555554,22,0,0,1
awesomedata/awesome-public-datasets,412,1,1,0,589.5036111111111,0,0,0,1
awesomedata/awesome-public-datasets,395,1,1,0,13878.9525,72,0,0,1
awesomedata/awesome-public-datasets,393,1,1,1,17467.840555555555,4,0,0,1
awesomedata/awesome-public-datasets,386,1,1,1,18342.321111111112,35,0,0,1
awesomedata/awesome-public-datasets,372,1,2,0,47639.57944444445,0,0,0,1
awesomedata/awesome-public-datasets,366,1,2,2,49731.145,0,0,0,1
awesomedata/awesome-public-datasets,364,1,2,0,49731.768055555556,50,0,0,1
awesomedata/awesome-public-datasets,353,1,1,1,6.116666666666666,63,0,0,1
awesomedata/awesome-public-datasets,349,1,0,1,36665.31638888889,64,0,0,1
awesomedata/awesome-public-datasets,348,1,1,0,17.11277777777778,68,0,0,1
awesomedata/awesome-public-datasets,345,1,1,0,16104.956944444444,69,0,0,1
awesomedata/awesome-public-datasets,342,1,1,0,79.33944444444444,153,0,0,1
awesomedata/awesome-public-datasets,340,1,1,0,984.705,96,0,0,1
awesomedata/awesome-public-datasets,337,1,1,0,1405.0980555555554,921,0,0,1
awesomedata/awesome-public-datasets,335,1,1,1,1629.3405555555555,0,0,0,1
awesomedata/awesome-public-datasets,334,1,0,1,1060.1519444444446,0,0,0,1
awesomedata/awesome-public-datasets,332,1,0,1,611.6836111111111,133,0,0,1
awesomedata/awesome-public-datasets,329,1,1,0,1966.9877777777779,84,0,0,1
awesomedata/awesome-public-datasets,328,1,1,0,1998.6655555555556,101,0,0,1
awesomedata/awesome-public-datasets,327,1,1,0,2000.9897222222223,104,0,0,1
awesomedata/awesome-public-datasets,326,1,2,0,2012.2933333333333,58,0,0,1
awesomedata/awesome-public-datasets,325,1,3,0,2056.5294444444444,58,0,0,1
awesomedata/awesome-public-datasets,324,1,1,0,2171.474722222222,195,0,0,1
awesomedata/awesome-public-datasets,323,1,3,1,2176.6775,407,0,0,1
awesomedata/awesome-public-datasets,321,1,2,2,218.58083333333335,156,0,0,1
awesomedata/awesome-public-datasets,320,1,3,0,467.11805555555554,58,0,2,2
awesomedata/awesome-public-datasets,318,1,1,0,5117.264444444444,142,0,0,1
awesomedata/awesome-public-datasets,317,1,0,1,870.4830555555556,275,0,0,1
awesomedata/awesome-public-datasets,316,1,1,1,1012.465,156,0,0,1
awesomedata/awesome-public-datasets,313,1,1,1,1578.9827777777778,148,0,0,1
awesomedata/awesome-public-datasets,311,1,1,0,3456.0119444444445,80,0,0,1
