repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
axios/axios,6652,1,7,157,16.02888888888889,5353,0,0,1
axios/axios,6648,1,7,157,7.802222222222222,4794,0,0,1
axios/axios,6646,1,7,157,11.875277777777777,4794,0,0,1
axios/axios,6642,1,7,157,32.556666666666665,4794,0,0,1
axios/axios,6633,1,3,3,17.580277777777777,282,0,0,1
axios/axios,6631,1,96,0,5.323055555555555,1094,0,0,1
axios/axios,6627,1,7,157,199.50222222222223,4794,0,0,1
axios/axios,6621,1,212,90,21.948055555555555,353,0,0,1
axios/axios,6615,2,2,2,13.086388888888889,865,0,0,1
axios/axios,6608,1,2,2,205.42083333333332,56,0,0,1
axios/axios,6606,1,3,4,180.85888888888888,4794,0,0,1
axios/axios,6605,1,1,1,651.7491666666666,136,0,0,1
axios/axios,6603,1,4,3,60.18944444444445,5669,0,0,1
axios/axios,6590,1,3,0,514.4666666666667,43,0,1,2
axios/axios,6576,1,4,3,12.349722222222223,4953,0,0,1
axios/axios,6575,1,3,1,171.49722222222223,210,0,0,1
axios/axios,6572,2,6,6,17.23472222222222,208,0,0,1
axios/axios,6567,2,6,5,67.6275,12,0,0,1
axios/axios,6559,1,4,4,35.81805555555555,4223,0,0,1
axios/axios,6547,1,6,1,126.16833333333334,201,0,0,1
axios/axios,6539,3,49,4,23.8075,115,0,30,31
axios/axios,6533,1,4,1,286.14,325,0,0,1
axios/axios,6524,1,5,1,549.2725,1897,0,0,1
axios/axios,6521,17,779,484,1.1411111111111112,1503,0,0,1
axios/axios,6518,10,204,151,14.456111111111111,759,0,0,1
axios/axios,6505,1,2,2,200.52805555555557,3368,0,0,1
axios/axios,6489,3,29,0,1890.4563888888888,62,0,3,4
axios/axios,6438,2,2,4,1395.1319444444443,948,0,0,1
axios/axios,6432,1,11,1,1537.6261111111112,575,0,0,1
axios/axios,6406,1,1,1,1.0069444444444444,0,0,0,1
axios/axios,6403,17,144,89,6.191666666666666,1198,0,0,1
axios/axios,6402,5,33,9,126.84722222222223,204,0,0,1
axios/axios,6395,1,2,2,50.24388888888889,12,0,0,1
axios/axios,6394,2,14,8,211.295,209,0,0,1
axios/axios,6380,2,18,5,94.54527777777778,12,0,0,1
axios/axios,6377,2,24,12,21.73611111111111,11,0,0,1
axios/axios,6371,21,1015,127,21.060833333333335,729,0,2,2
axios/axios,6365,2,20,22,134.02166666666668,5333,0,0,1
axios/axios,6362,2,56,6,439.9627777777778,1130,0,1,2
axios/axios,6361,2,31,7,858.1105555555556,256,0,0,1
axios/axios,6349,2,8,8,1806.7952777777778,284,0,1,2
axios/axios,6344,1,1,2,40.33583333333333,102,0,1,2
axios/axios,6339,1,1,2,123.78055555555555,44,0,0,1
axios/axios,6337,1,2,2,1278.5780555555555,15910,0,0,1
axios/axios,6335,2,5,4,239.86,231,0,0,1
axios/axios,6333,1,16,87,1342.6230555555555,10937,0,0,1
axios/axios,6307,1,1,1,61.077222222222225,293,0,0,1
axios/axios,6305,1,2,2,335.4091666666667,15646,0,0,1
axios/axios,6300,2,9,9,16.011388888888888,306,0,2,3
axios/axios,6296,1,1,1,4743.106944444445,109,0,0,1
axios/axios,6273,1,1,1,336.86861111111114,308,0,1,2
axios/axios,6263,5,39,6,729.585,221,0,3,2
axios/axios,6251,1,6,6,2220.326666666667,2640,0,0,1
axios/axios,6247,1,2,2,671.7752777777778,19760,0,0,1
axios/axios,6243,1,1,1,608.7866666666666,1125,0,0,1
axios/axios,6235,2,8,8,42.352777777777774,682,0,1,2
axios/axios,6211,16,4401,2239,314.34194444444444,2114,0,3,4
axios/axios,6204,17,88,79,1.0261111111111112,1032,0,0,1
axios/axios,6196,1,2,2,589.5527777777778,286,0,1,2
axios/axios,6194,1,3,0,638.5147222222222,294,0,1,2
axios/axios,6191,1,1,1,704.8466666666667,47,0,2,2
axios/axios,6186,1,0,3,251.88777777777779,123,0,1,2
axios/axios,6178,1,2,0,982.2641666666667,24,0,0,1
axios/axios,6168,2,8,8,120.96222222222222,7595,0,0,1
axios/axios,6167,2,24,0,19.351666666666667,0,0,1,2
axios/axios,6163,3,10,10,34.0925,149,0,7,7
axios/axios,6133,1,47,11,2219.7275,40,0,0,1
axios/axios,6132,2,17,2,306.025,54,0,4,4
axios/axios,6092,1,2,2,1594.8052777777777,649,0,0,1
axios/axios,6091,7,96,25,1508.5755555555556,503,0,0,1
axios/axios,6088,1,2,2,69.66555555555556,649,0,0,1
axios/axios,6084,1,3,0,986.8588888888889,0,0,0,1
axios/axios,6073,2,4,4,81.45416666666667,235,0,0,1
axios/axios,6048,1,2,2,337.01222222222225,158,0,0,1
axios/axios,6046,8,118,55,355.0227777777778,1120,0,0,1
axios/axios,6040,1,279,80,8.045555555555556,671,0,0,1
axios/axios,6039,1,35,0,31.844722222222224,676,0,0,1
axios/axios,6038,1,19,0,31.909166666666668,695,0,0,1
axios/axios,6037,1,28,0,32.128055555555555,677,0,0,1
axios/axios,6036,1,36,0,32.32944444444445,697,0,0,1
axios/axios,6031,17,214,38,1.1966666666666668,1823,0,1,2
axios/axios,6028,2,4,4,28.022777777777776,228,0,4,5
axios/axios,6025,1,22,0,199.0375,134,0,0,1
axios/axios,6024,1,30,0,17.705833333333334,134,0,2,2
axios/axios,6018,1,1,11,22.651666666666667,84,0,0,1
axios/axios,6011,5,90,21,88.9,0,0,1,2
axios/axios,6002,1,1,1,51.54055555555556,561,0,0,1
axios/axios,5987,2,91,8,2646.6725,332,0,7,3
axios/axios,5983,1,448,0,6911.408333333334,197,0,0,1
axios/axios,5982,1,22,20,124.85722222222222,875,0,0,1
axios/axios,5972,1,3,1,2.7444444444444445,85,0,0,1
axios/axios,5966,1,2,2,569.2086111111112,102,0,0,1
axios/axios,5964,1,74,28,3154.99,814,0,0,1
axios/axios,5960,1,1,1,1968.57,324,0,0,1
axios/axios,5958,1,4,0,2877.599166666667,118,0,0,1
axios/axios,5940,1,2,2,2652.5847222222224,0,0,1,2
axios/axios,5939,1,2,2,2652.7013888888887,47,0,0,1
axios/axios,5932,1,255,0,22.936944444444446,0,0,0,1
axios/axios,5925,6,59,3,203.35861111111112,37,0,0,1
axios/axios,5918,1,7,7,8079.490555555555,25,0,0,1
