repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
binary-husky/gpt_academic,2011,1,120,117,1.1783333333333332,0,0,0,1
binary-husky/gpt_academic,1994,5,260,25,145.30444444444444,355,0,0,1
binary-husky/gpt_academic,1992,2,4,5,224.70694444444445,1418,0,0,1
binary-husky/gpt_academic,1983,3,145,53,506.33194444444445,70,0,1,2
binary-husky/gpt_academic,1975,5,572,6,173.33638888888888,244,0,1,1
binary-husky/gpt_academic,1972,4,207,89,406.43583333333333,613,0,0,1
binary-husky/gpt_academic,1942,1,1,0,120.655,0,0,0,1
binary-husky/gpt_academic,1937,3,32,22,175.37527777777777,11,0,0,1
binary-husky/gpt_academic,1936,1,1,1,11.362222222222222,0,0,0,1
binary-husky/gpt_academic,1926,4,86,33,101.78527777777778,803,0,0,1
binary-husky/gpt_academic,1924,4,100,29,15.753333333333334,1011,0,0,1
binary-husky/gpt_academic,1907,2,12,2,216.20805555555555,88,0,0,1
binary-husky/gpt_academic,1905,1,33,8,468.475,69,0,0,1
binary-husky/gpt_academic,1904,2,11,2,50.76444444444444,17,0,1,2
binary-husky/gpt_academic,1900,5,87,2,24.436666666666667,117,0,0,1
binary-husky/gpt_academic,1879,1,8,1,3.0555555555555554,440,0,0,1
binary-husky/gpt_academic,1875,3,14,1,31.384722222222223,23,0,0,1
binary-husky/gpt_academic,1874,3,244,23,585.1091666666666,1041,0,0,1
binary-husky/gpt_academic,1863,7,132,35,163.125,0,0,0,1
binary-husky/gpt_academic,1859,1,2,2,27.114166666666666,0,0,1,2
binary-husky/gpt_academic,1854,1,1,1,3.9411111111111112,8,0,0,1
binary-husky/gpt_academic,1852,2,33,0,75.84138888888889,34,0,0,1
binary-husky/gpt_academic,1849,1,10,2,131.51805555555555,337,0,0,1
binary-husky/gpt_academic,1839,2,265,124,22.326944444444443,141,0,0,1
binary-husky/gpt_academic,1825,0,0,0,1748.8005555555555,97,0,0,1
binary-husky/gpt_academic,1821,2,5,2,29.85861111111111,190,0,0,1
binary-husky/gpt_academic,1807,9,22,2,15.670833333333333,211,0,0,1
binary-husky/gpt_academic,1792,4,25,4,3.693611111111111,99,0,0,1
binary-husky/gpt_academic,1782,5,516,295,32.9725,636,0,0,1
binary-husky/gpt_academic,1766,1,17,0,128.2563888888889,169,0,0,1
binary-husky/gpt_academic,1760,3,27,3,211.33805555555554,452,0,0,1
binary-husky/gpt_academic,1753,1,2,1,12.185555555555556,26,0,0,1
binary-husky/gpt_academic,1752,3,3,3,313.86305555555555,0,0,0,1
binary-husky/gpt_academic,1740,3,304,5,25.274166666666666,453,0,0,1
binary-husky/gpt_academic,1727,14,764,46,241.66333333333333,0,0,0,1
binary-husky/gpt_academic,1708,2,37,7,801.2013888888889,96,0,0,1
binary-husky/gpt_academic,1702,19,1162,66,453.67861111111114,0,0,0,1
binary-husky/gpt_academic,1701,2,20,2,2.348888888888889,0,0,0,1
binary-husky/gpt_academic,1700,4,20,2,1.941111111111111,189,0,0,1
binary-husky/gpt_academic,1699,1,20,17,8.58,143,0,0,1
binary-husky/gpt_academic,1698,2,20,1,27.871388888888887,0,0,0,1
binary-husky/gpt_academic,1693,1,3,1,24.2275,172,0,0,1
binary-husky/gpt_academic,1688,1,54,26,77.32277777777777,119,0,0,1
binary-husky/gpt_academic,1687,3,48,5,12.4125,1312,0,0,1
binary-husky/gpt_academic,1681,1,6,3,1.2902777777777779,136,0,0,1
binary-husky/gpt_academic,1648,1,10,7,90.04694444444445,8,0,0,1
binary-husky/gpt_academic,1641,4,476,100,24.12611111111111,92,0,0,1
binary-husky/gpt_academic,1635,3,334,19,5.810277777777777,12,0,0,1
binary-husky/gpt_academic,1626,3,15,5,509.3613888888889,50,0,0,1
binary-husky/gpt_academic,1623,4,224,13,1402.9794444444444,631,0,0,1
binary-husky/gpt_academic,1621,28,871,256,666.0222222222222,0,0,0,1
binary-husky/gpt_academic,1606,5,154,83,44.68222222222222,216,0,0,1
binary-husky/gpt_academic,1603,4,53,20,5.081111111111111,0,0,0,1
binary-husky/gpt_academic,1602,2,142,38,5.960555555555556,65,0,0,1
binary-husky/gpt_academic,1598,3,44,13,39.95194444444444,0,0,0,1
binary-husky/gpt_academic,1597,3,223,1,7.479722222222223,109,0,0,1
binary-husky/gpt_academic,1596,5,117,38,771.4177777777778,0,0,0,1
binary-husky/gpt_academic,1594,1,10,1,24.77888888888889,0,0,0,1
binary-husky/gpt_academic,1570,3,121,1,83.74694444444444,46,0,0,1
binary-husky/gpt_academic,1560,3,11,7,410.08722222222224,0,0,0,1
binary-husky/gpt_academic,1537,2,5,5,515.9783333333334,346,0,0,1
binary-husky/gpt_academic,1530,1,140,14,25.285833333333333,26,0,0,1
binary-husky/gpt_academic,1520,8,161,57,34.89472222222222,53,0,0,1
binary-husky/gpt_academic,1506,2,55,16,17.053055555555556,34,0,0,1
binary-husky/gpt_academic,1503,2,44,22,16.511111111111113,63,0,0,1
binary-husky/gpt_academic,1502,5,126,96,165.71583333333334,129,0,0,1
binary-husky/gpt_academic,1500,2,23,4,15.05,17,0,0,1
binary-husky/gpt_academic,1497,2,232,0,9.137777777777778,218,0,0,1
binary-husky/gpt_academic,1476,2,5,0,5.445833333333334,0,0,0,1
binary-husky/gpt_academic,1473,7,32,26,96.97305555555556,239,0,0,1
binary-husky/gpt_academic,1472,1,0,16,6.0275,701,0,1,2
binary-husky/gpt_academic,1468,3,263,69,446.09194444444444,46,0,0,1
binary-husky/gpt_academic,1451,1,5,2,189.34,0,0,0,1
binary-husky/gpt_academic,1442,1,2,2,6.4622222222222225,0,0,0,1
binary-husky/gpt_academic,1419,5,506,165,120.27333333333333,770,0,0,1
binary-husky/gpt_academic,1398,16,511,154,105.19583333333334,392,0,0,1
binary-husky/gpt_academic,1396,2,145,48,47.65222222222222,0,0,0,1
binary-husky/gpt_academic,1356,11,391,83,42.19,923,0,0,1
binary-husky/gpt_academic,1352,11,422,67,125.17083333333333,118,0,0,1
binary-husky/gpt_academic,1350,6,122,40,536.975,87,0,0,1
binary-husky/gpt_academic,1348,4,28,21,72.34916666666666,247,0,0,1
binary-husky/gpt_academic,1347,8,377,69,73.33361111111111,48,0,0,1
binary-husky/gpt_academic,1342,2,108,5,110.73944444444444,130,0,0,1
binary-husky/gpt_academic,1337,6,98,33,35.65555555555556,119,0,0,1
binary-husky/gpt_academic,1317,1,2,0,15.6725,0,0,0,1
binary-husky/gpt_academic,1315,1,1,1,1.1369444444444445,38,0,0,1
binary-husky/gpt_academic,1293,1,12,11,4.229166666666667,70,0,0,1
binary-husky/gpt_academic,1285,6,123,39,372.5397222222222,404,0,0,1
binary-husky/gpt_academic,1282,3,120,34,173.62916666666666,267,0,0,1
binary-husky/gpt_academic,1279,5,47,39,13.549166666666666,34,0,0,1
binary-husky/gpt_academic,1276,3,38,30,20.945833333333333,222,0,0,1
binary-husky/gpt_academic,1274,2,29,22,1.5455555555555556,148,0,0,1
binary-husky/gpt_academic,1261,2,20,2,2.495277777777778,0,0,0,1
binary-husky/gpt_academic,1257,0,0,0,26.274166666666666,46,0,0,1
binary-husky/gpt_academic,1255,2,24,15,17.900833333333335,259,0,0,1
binary-husky/gpt_academic,1244,1,3,3,68.9,75,0,0,1
binary-husky/gpt_academic,1241,6,40,8,70.4425,37,0,0,1
binary-husky/gpt_academic,1238,4,24,4,74.865,0,0,0,1
binary-husky/gpt_academic,1223,2,16,4,3704.626111111111,66,0,0,1
binary-husky/gpt_academic,1222,1,1,1,6.331111111111111,26,0,0,1
