repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
bitcoin/bitcoin,31148,1,2,2,1.9413888888888888,457,0,1,2
bitcoin/bitcoin,31147,1,0,8,3.42,642,0,2,3
bitcoin/bitcoin,31141,1,4,4,13.8125,174,0,3,4
bitcoin/bitcoin,31135,2,19,6,51.71861111111111,244,0,4,4
bitcoin/bitcoin,31124,3,3,45,82.25777777777778,392,0,5,5
bitcoin/bitcoin,31121,1,1,0,22.6975,59,0,4,4
bitcoin/bitcoin,31118,3,4,4,125.22055555555555,927,0,7,5
bitcoin/bitcoin,31114,7,87,72,23.281944444444445,68,0,1,2
bitcoin/bitcoin,31105,2,3,3,113.62027777777777,624,0,3,4
bitcoin/bitcoin,31102,12,309,92,144.25166666666667,1311,0,1,2
bitcoin/bitcoin,31101,8,23,23,144.83555555555554,17,0,1,2
bitcoin/bitcoin,31100,2,4,22,18.53388888888889,70,0,3,4
bitcoin/bitcoin,31097,4,24,2,124.18861111111111,390,0,9,7
bitcoin/bitcoin,31089,5,23,4,7.335277777777778,617,0,0,1
bitcoin/bitcoin,31084,1,1,1,22.598333333333333,534,0,4,4
bitcoin/bitcoin,31083,1,17,0,49.95777777777778,147,0,1,2
bitcoin/bitcoin,31078,1,4,8,278.29083333333335,407,0,4,4
bitcoin/bitcoin,31074,30,245,210,6.309722222222222,2423,0,0,1
bitcoin/bitcoin,31067,1,11,14,141.36638888888888,309,0,4,5
bitcoin/bitcoin,31065,5,69,3,318.6136111111111,607,0,8,4
bitcoin/bitcoin,31063,1,7,7,281.68361111111113,366,0,1,2
bitcoin/bitcoin,31058,1,1,2,17.648333333333333,812,0,2,3
bitcoin/bitcoin,31056,1,1,1,5.704166666666667,206,0,1,2
bitcoin/bitcoin,31051,1,0,1,22.791666666666668,810,0,1,2
bitcoin/bitcoin,31048,6,5,7,213.68444444444444,325,0,9,5
bitcoin/bitcoin,31046,3,27,21,395.7416666666667,343,0,7,4
bitcoin/bitcoin,31045,2,3,4,28.093611111111112,294,0,1,2
bitcoin/bitcoin,31038,1,1,1,64.37972222222223,1128,0,3,3
bitcoin/bitcoin,31035,1,371,0,15.833333333333334,41,0,1,2
bitcoin/bitcoin,31034,1,108,96,15.852222222222222,149,0,2,3
bitcoin/bitcoin,31031,1,9,5,107.79472222222222,2268,0,0,1
bitcoin/bitcoin,31026,1,1,1,95.64416666666666,1080,0,9,7
bitcoin/bitcoin,31025,1,147,76,2.996111111111111,382,0,0,1
bitcoin/bitcoin,31023,7,18,3,166.41444444444446,519,0,0,1
bitcoin/bitcoin,31018,1,7,4,144.865,379,0,2,3
bitcoin/bitcoin,31016,1,1,0,12.051388888888889,499,0,2,3
bitcoin/bitcoin,31013,1,3,0,164.5536111111111,561,0,3,3
bitcoin/bitcoin,31012,3,15,53,330.1747222222222,491,0,11,4
bitcoin/bitcoin,31011,9,17,14,33.325,418,0,4,5
bitcoin/bitcoin,31010,2,13,13,140.14638888888888,141,0,6,2
bitcoin/bitcoin,31008,1,1,0,166.95222222222222,1069,0,3,4
bitcoin/bitcoin,31007,2,5,2,22.460555555555555,92,0,4,4
bitcoin/bitcoin,30999,2,123,103,37.35888888888889,310,0,9,2
bitcoin/bitcoin,30996,1,3,4,429.0397222222222,203,0,6,4
bitcoin/bitcoin,30993,1,11,0,129.99972222222223,0,0,6,4
bitcoin/bitcoin,30992,1,1,1,290.7733333333333,2348,0,11,7
bitcoin/bitcoin,30989,1,0,2,72.17472222222223,5128,0,2,3
bitcoin/bitcoin,30984,4,15,4,17.81222222222222,604,0,1,2
bitcoin/bitcoin,30982,1,7,0,169.43083333333334,471,0,10,7
bitcoin/bitcoin,30981,1,1,0,1.3586111111111112,224,0,2,3
bitcoin/bitcoin,30980,1,7,7,155.33305555555555,328,0,7,6
bitcoin/bitcoin,30979,1,2,2,19.00777777777778,220,0,2,3
bitcoin/bitcoin,30974,1,6,8,23.640555555555554,236,0,1,2
bitcoin/bitcoin,30973,1,1,1,1.6991666666666667,172,0,2,3
bitcoin/bitcoin,30970,1,1,0,380.3355555555556,369,0,2,3
bitcoin/bitcoin,30968,1,137,124,127.74833333333333,1125,0,9,7
bitcoin/bitcoin,30967,20,87,114,319.12194444444447,189,0,30,5
bitcoin/bitcoin,30966,4,13,11,2.2475,40,0,1,2
bitcoin/bitcoin,30963,1,5,7,13.799722222222222,156,0,1,2
bitcoin/bitcoin,30962,1,2,1,24.189722222222223,166,0,2,3
bitcoin/bitcoin,30961,1,1,0,40.876666666666665,478,0,0,1
bitcoin/bitcoin,30959,10,381,22,169.81722222222223,80,0,3,4
bitcoin/bitcoin,30955,6,162,106,376.40805555555556,1390,0,5,5
bitcoin/bitcoin,30953,5,8,8,208.12916666666666,404,0,0,1
bitcoin/bitcoin,30952,1,1,1,22.552222222222223,117,0,1,2
bitcoin/bitcoin,30949,1,1,1,1.6622222222222223,218,0,0,1
bitcoin/bitcoin,30948,4,17,16,79.75888888888889,258,0,9,4
bitcoin/bitcoin,30946,1,3,4,64.24666666666667,166,0,5,3
bitcoin/bitcoin,30945,1,1,1,2.0391666666666666,224,0,3,2
bitcoin/bitcoin,30940,3,4,1,141.86888888888888,2346,0,2,3
bitcoin/bitcoin,30937,30,30,30,481.3386111111111,291,0,7,5
bitcoin/bitcoin,30935,2,15,3,773.9158333333334,869,0,1,2
bitcoin/bitcoin,30932,1,6,1,9.616944444444444,293,0,0,1
bitcoin/bitcoin,30929,9,18,238,320.19666666666666,1211,0,23,6
bitcoin/bitcoin,30927,4,9,19,4.225,137,0,13,6
bitcoin/bitcoin,30925,1,6,6,8.228055555555555,272,0,3,3
bitcoin/bitcoin,30921,2,5,8,214.24388888888888,365,0,10,3
bitcoin/bitcoin,30920,2,7,21,488.2397222222222,897,0,2,3
bitcoin/bitcoin,30918,2,26,9,73.23361111111112,595,0,2,2
bitcoin/bitcoin,30915,2,2,1,21.04083333333333,331,0,3,4
bitcoin/bitcoin,30913,2,3,4,6.485833333333333,160,0,5,3
bitcoin/bitcoin,30912,2,2,2,1.8294444444444444,411,0,0,1
bitcoin/bitcoin,30908,1,0,65,41.17888888888889,345,0,1,2
bitcoin/bitcoin,30905,3,15,124,879.5127777777777,253,0,0,1
bitcoin/bitcoin,30902,5,5,5,74.00944444444444,155,0,3,3
bitcoin/bitcoin,30899,8,559,38,64.54083333333334,339,0,1,2
bitcoin/bitcoin,30898,1,1,1,89.17,403,0,0,1
bitcoin/bitcoin,30896,4,4,6,10.50388888888889,214,0,6,5
bitcoin/bitcoin,30892,1,18,9,22.82777777777778,407,0,7,4
bitcoin/bitcoin,30890,1,31,17,21.029722222222222,179,0,6,4
bitcoin/bitcoin,30889,7,19,34,160.66861111111112,1177,0,26,6
bitcoin/bitcoin,30888,2,29,37,116.41055555555556,1188,0,15,4
bitcoin/bitcoin,30885,3,13,13,631.1475,299,0,5,5
bitcoin/bitcoin,30884,12,75,49,107.20027777777777,203,0,16,6
bitcoin/bitcoin,30880,1,3,3,4.558611111111111,978,0,3,3
bitcoin/bitcoin,30879,1,3,3,356.24916666666667,249,0,0,1
bitcoin/bitcoin,30877,1,6,6,27.04388888888889,618,0,4,4
bitcoin/bitcoin,30875,13,36,41,161.70166666666665,240,0,30,7
bitcoin/bitcoin,30872,1,12,11,20.486944444444443,1499,0,5,3
bitcoin/bitcoin,30871,2,64,10,20.013055555555557,399,0,7,6
