repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
bradtraversy/design-resources-for-developers,1450,1,1,0,43.2,226,0,1,2
bradtraversy/design-resources-for-developers,1448,1,1,0,42.0275,285,0,1,2
bradtraversy/design-resources-for-developers,1447,1,1,0,1.3275,204,0,1,2
bradtraversy/design-resources-for-developers,1445,1,1,0,1.3191666666666666,235,0,1,2
bradtraversy/design-resources-for-developers,1443,1,1,0,24.934166666666666,453,0,1,2
bradtraversy/design-resources-for-developers,1441,1,2,0,91.58333333333333,996,0,1,2
bradtraversy/design-resources-for-developers,1440,1,1,1,112.91972222222222,223,0,0,1
bradtraversy/design-resources-for-developers,1439,1,1,1,3.408333333333333,228,0,1,2
bradtraversy/design-resources-for-developers,1438,1,1,1,163.1725,241,0,1,2
bradtraversy/design-resources-for-developers,1437,1,1,1,20.066944444444445,328,0,1,2
bradtraversy/design-resources-for-developers,1435,1,1,0,90.06972222222223,440,0,0,1
bradtraversy/design-resources-for-developers,1434,1,1,1,10.374166666666667,230,0,0,1
bradtraversy/design-resources-for-developers,1433,1,2,2,14.564166666666667,148,0,1,2
bradtraversy/design-resources-for-developers,1432,1,1,0,86.48388888888888,238,0,1,2
bradtraversy/design-resources-for-developers,1431,1,1,0,20.38361111111111,293,0,1,2
bradtraversy/design-resources-for-developers,1430,1,1,0,15.947777777777778,310,0,0,1
bradtraversy/design-resources-for-developers,1429,1,1,0,16.149444444444445,273,0,1,2
bradtraversy/design-resources-for-developers,1428,1,1,0,20.803055555555556,444,0,0,1
bradtraversy/design-resources-for-developers,1427,1,1,0,28.499166666666667,438,0,0,1
bradtraversy/design-resources-for-developers,1421,1,1,0,23.02111111111111,250,0,1,2
bradtraversy/design-resources-for-developers,1420,1,1,0,13.66,303,0,1,2
bradtraversy/design-resources-for-developers,1419,1,0,2,151.25333333333333,182,0,1,2
bradtraversy/design-resources-for-developers,1418,1,1,0,66.44722222222222,302,0,0,1
bradtraversy/design-resources-for-developers,1417,1,1,0,69.97472222222223,219,0,0,1
bradtraversy/design-resources-for-developers,1414,1,1,0,19.537222222222223,283,0,0,1
bradtraversy/design-resources-for-developers,1413,1,1,0,293.99694444444447,322,0,3,3
bradtraversy/design-resources-for-developers,1412,1,3,1,284.35777777777776,284,0,0,1
bradtraversy/design-resources-for-developers,1411,1,1,0,454.95972222222224,343,0,0,1
bradtraversy/design-resources-for-developers,1410,1,2,0,343.0733333333333,281,0,0,1
bradtraversy/design-resources-for-developers,1409,1,1,0,343.21527777777777,206,0,0,1
bradtraversy/design-resources-for-developers,1407,1,1,0,20.5775,303,0,0,1
bradtraversy/design-resources-for-developers,1406,1,0,1,23.221944444444443,81,0,0,1
bradtraversy/design-resources-for-developers,1405,1,9,6,6.286111111111111,359,0,0,1
bradtraversy/design-resources-for-developers,1404,1,1,1,21.571666666666665,393,0,0,1
bradtraversy/design-resources-for-developers,1403,1,5,2,94.09833333333333,318,0,5,2
bradtraversy/design-resources-for-developers,1402,1,2,1,94.27944444444445,293,0,5,2
bradtraversy/design-resources-for-developers,1400,1,0,4,3.121111111111111,20,0,1,2
bradtraversy/design-resources-for-developers,1399,1,0,1,3.314722222222222,41,0,1,2
bradtraversy/design-resources-for-developers,1398,1,2,0,53.110277777777775,169,0,0,1
bradtraversy/design-resources-for-developers,1396,1,1,0,408.96305555555557,309,0,0,1
bradtraversy/design-resources-for-developers,1395,1,1,0,409.045,722,0,0,1
bradtraversy/design-resources-for-developers,1394,1,1,0,499.83916666666664,346,0,0,1
bradtraversy/design-resources-for-developers,1393,1,1,1,581.6625,213,0,2,2
bradtraversy/design-resources-for-developers,1392,1,2,0,25.66888888888889,618,0,1,2
bradtraversy/design-resources-for-developers,1391,1,0,1,28.178055555555556,393,0,0,1
bradtraversy/design-resources-for-developers,1389,1,1,0,37.305277777777775,256,0,1,2
bradtraversy/design-resources-for-developers,1388,1,2,0,22.05388888888889,318,0,0,1
bradtraversy/design-resources-for-developers,1387,1,1,0,20.113888888888887,327,0,1,2
bradtraversy/design-resources-for-developers,1386,1,1,1,24.461666666666666,27,0,1,2
bradtraversy/design-resources-for-developers,1385,1,1,0,33.36277777777778,393,0,0,1
bradtraversy/design-resources-for-developers,1384,1,1,0,9.02361111111111,368,0,1,2
bradtraversy/design-resources-for-developers,1383,1,0,1,9.122222222222222,267,0,0,1
