repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
bregman-arie/devops-exercises,10468,1,11,1,374.6175,91,0,2,3
bregman-arie/devops-exercises,10324,1,1,1,1037.441111111111,260,0,1,2
bregman-arie/devops-exercises,10323,3,74,44,1078.9108333333334,163,0,0,1
bregman-arie/devops-exercises,10322,11,125,4069,1218.0113888888889,0,0,0,1
bregman-arie/devops-exercises,10311,1,14,0,1233.09,147,0,0,1
bregman-arie/devops-exercises,10300,1,3,1,1259.0522222222223,60,0,0,1
bregman-arie/devops-exercises,10296,1,39,0,190.09944444444446,0,0,2,1
bregman-arie/devops-exercises,10279,1,2,1,364.8688888888889,66,0,1,2
bregman-arie/devops-exercises,10278,1,1,0,666.5847222222222,0,0,0,1
bregman-arie/devops-exercises,10275,6,8,8,606.6008333333333,40,0,0,1
bregman-arie/devops-exercises,10270,1,1,0,1047.9758333333334,0,0,1,2
bregman-arie/devops-exercises,10268,13,137,0,12.460277777777778,518,0,0,1
bregman-arie/devops-exercises,10267,4,37,0,1098.5202777777777,0,0,0,1
bregman-arie/devops-exercises,10263,1,27,19,1491.4980555555555,63,0,0,1
bregman-arie/devops-exercises,10261,1,1,0,1533.6366666666668,28,0,0,1
bregman-arie/devops-exercises,10260,1,55,0,2402.1055555555554,617,0,0,1
bregman-arie/devops-exercises,10259,1,1,1,2448.8127777777777,29,0,0,1
bregman-arie/devops-exercises,10256,1,5,0,2655.8658333333333,100,0,0,1
bregman-arie/devops-exercises,10255,5,162,0,2951.1702777777778,133,0,0,1
bregman-arie/devops-exercises,10248,1,16,7,120.82083333333334,40,0,1,2
bregman-arie/devops-exercises,10244,3,6,7,1453.8136111111112,45,0,1,2
bregman-arie/devops-exercises,10243,1,2,3,1454.1888888888889,160,0,1,2
bregman-arie/devops-exercises,10242,1,20,0,1487.9555555555555,45,0,1,2
bregman-arie/devops-exercises,10241,1,10,0,1621.7316666666666,95,0,1,2
bregman-arie/devops-exercises,10240,3,63,0,1777.2658333333334,0,0,0,1
bregman-arie/devops-exercises,10238,1,1,15,2092.4372222222223,151,0,1,2
bregman-arie/devops-exercises,10237,1,4,1,2394.4905555555556,185,0,1,2
bregman-arie/devops-exercises,10235,1,1,0,1095.4516666666666,0,0,0,1
bregman-arie/devops-exercises,10233,1,1,0,1331.5327777777777,0,0,1,2
bregman-arie/devops-exercises,10232,1,1,0,1403.7611111111112,30,0,0,1
bregman-arie/devops-exercises,10231,1,2,0,1403.8436111111112,0,0,0,1
bregman-arie/devops-exercises,10229,1,5,0,1499.8361111111112,0,0,0,1
bregman-arie/devops-exercises,10228,1,32,4,3078.472222222222,49,0,0,1
bregman-arie/devops-exercises,10225,1,3,0,1569.888611111111,0,0,0,1
bregman-arie/devops-exercises,10224,1,14,14,6261.275,28,0,0,1
bregman-arie/devops-exercises,10222,1,1,0,1598.658888888889,0,0,0,1
bregman-arie/devops-exercises,10221,1,18,0,1666.2883333333334,0,0,0,1
bregman-arie/devops-exercises,10220,1,22,1,6406.713333333333,247,0,1,2
bregman-arie/devops-exercises,10219,1,6,0,1738.4563888888888,36,0,0,1
bregman-arie/devops-exercises,10218,1,9,0,1738.7280555555556,0,0,0,1
bregman-arie/devops-exercises,10215,1,3,1,6765.372222222222,14,0,2,2
bregman-arie/devops-exercises,10211,1,553,2477,6986.141944444445,0,0,1,2
bregman-arie/devops-exercises,10210,1,664,33,6978.020555555556,92,0,1,2
bregman-arie/devops-exercises,10209,1,6,0,54.8625,47,0,1,2
bregman-arie/devops-exercises,10208,1,5,0,73.09666666666666,103,0,1,2
bregman-arie/devops-exercises,10207,2,2,2,107.74222222222222,22,0,0,1
bregman-arie/devops-exercises,10206,1,3,2,4028.9105555555557,91,0,1,2
bregman-arie/devops-exercises,10205,1,3,0,222.81666666666666,167,0,0,1
bregman-arie/devops-exercises,10203,1,3,1,255.3636111111111,108,0,4,3
bregman-arie/devops-exercises,10202,1,132,7,298.6791666666667,0,0,1,2
bregman-arie/devops-exercises,10201,1,2,0,4214.783333333334,0,0,1,2
bregman-arie/devops-exercises,10199,1,24,0,377.47305555555556,37,0,2,3
bregman-arie/devops-exercises,9077,1,66,4,4317.723055555555,72,0,0,1
bregman-arie/devops-exercises,418,1,2,3,502.9322222222222,0,0,1,2
bregman-arie/devops-exercises,417,1,2,0,506.8611111111111,0,0,0,1
bregman-arie/devops-exercises,416,1,0,0,509.57972222222224,0,0,1,2
bregman-arie/devops-exercises,411,29,77,77,545.6658333333334,42,0,2,3
