repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
caddyserver/caddy,6660,3,205,0,15.165833333333333,0,0,0,1
caddyserver/caddy,6658,1,42,39,4.980277777777777,321,0,0,1
caddyserver/caddy,6656,2,22,8,2.5919444444444446,201,0,2,3
caddyserver/caddy,6655,3,4,2,10.426666666666666,901,0,1,2
caddyserver/caddy,6654,2,3,3,13.778611111111111,121,0,2,3
caddyserver/caddy,6646,2,11,4,55.8225,10962,0,1,2
caddyserver/caddy,6645,1,4,0,4.332777777777777,222,0,1,2
caddyserver/caddy,6633,1,11,0,2.7488888888888887,1184,0,0,1
caddyserver/caddy,6627,3,5,5,3.9830555555555556,153,0,1,2
caddyserver/caddy,6624,3,24,1,168.11027777777778,196,0,1,2
caddyserver/caddy,6622,3,31,41,209.885,1228,0,1,2
caddyserver/caddy,6621,2,26,0,1.7080555555555557,553,0,2,2
caddyserver/caddy,6616,2,13,4,19.143055555555556,1089,0,2,2
caddyserver/caddy,6611,7,7,89,10.197222222222223,116,0,1,2
caddyserver/caddy,6606,8,102,13,310.5519444444444,224,0,2,3
caddyserver/caddy,6598,1,3,4,14.953055555555556,45,0,1,2
caddyserver/caddy,6594,11,276,58,122.21861111111112,2285,0,5,3
caddyserver/caddy,6591,3,24,0,4.018888888888889,1016,0,1,2
caddyserver/caddy,6590,1,5,3,46.875277777777775,1248,0,1,2
caddyserver/caddy,6585,21,141,267,109.96666666666667,128,0,2,3
caddyserver/caddy,6582,2,6,6,6.352777777777778,145,0,1,2
caddyserver/caddy,6581,4,155,2,13.171944444444444,184,0,2,3
caddyserver/caddy,6573,21,925,343,372.56888888888886,1065,0,3,2
caddyserver/caddy,6569,2,199,2,5.765,385,0,1,2
caddyserver/caddy,6566,1,2,8,504.2075,75,0,2,2
caddyserver/caddy,6565,1,6,2,581.4963888888889,61,0,1,2
caddyserver/caddy,6560,30,599,282,211.24305555555554,1777,0,5,3
caddyserver/caddy,6558,1,3,0,22.829444444444444,53,0,1,2
caddyserver/caddy,6553,1,4,0,29.606666666666666,1894,0,3,2
caddyserver/caddy,6543,22,885,368,455.65277777777777,1241,0,7,2
caddyserver/caddy,6542,4,19,25,24.88,573,0,5,4
caddyserver/caddy,6541,1,7,1,89.26916666666666,1380,0,4,2
caddyserver/caddy,6533,4,97,61,8.266388888888889,498,0,4,2
