repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
chartjs/Chart.js,11938,2,50,0,3.2544444444444443,838,0,2,3
chartjs/Chart.js,11930,1,1,1,3.028888888888889,0,0,2,3
chartjs/Chart.js,11927,2,46,2,12.95138888888889,58,0,1,2
chartjs/Chart.js,11907,1,1,1,437.8877777777778,770,0,2,3
chartjs/Chart.js,11886,2,353,235,245.90944444444443,6669,0,0,1
chartjs/Chart.js,11875,1,26,12,138.7747222222222,10626,0,1,2
chartjs/Chart.js,11873,1,1,1,3.4433333333333334,58,0,1,2
chartjs/Chart.js,11867,1,4,1,3.563888888888889,496,0,3,3
chartjs/Chart.js,11863,3,14,1,23.66,62,0,1,2
chartjs/Chart.js,11862,1,2,0,8.35388888888889,163,0,2,3
chartjs/Chart.js,11858,2,24,1,14.323055555555555,340,0,2,3
chartjs/Chart.js,11851,1,2,1,72.58833333333334,331,0,2,3
chartjs/Chart.js,11844,2,89,1,199.72861111111112,289,0,7,3
chartjs/Chart.js,11834,1,7,0,2428.621111111111,94,0,0,1
chartjs/Chart.js,11823,1,3,3,18.11111111111111,1045,0,2,3
chartjs/Chart.js,11817,1,0,5,42.01888888888889,146,0,2,2
chartjs/Chart.js,11796,1,1,0,17.679166666666667,1204,0,2,3
chartjs/Chart.js,11794,1,29,0,703.715,394,0,0,1
chartjs/Chart.js,11788,3,36,1,6.216666666666667,58,0,2,2
chartjs/Chart.js,11781,3,3,3,8.130833333333333,394,0,2,3
chartjs/Chart.js,11780,1,2,2,11.310277777777777,719,0,2,3
chartjs/Chart.js,11773,4,5,5,9.74611111111111,4062,0,2,3
chartjs/Chart.js,11764,2,20,1,230.14666666666668,879,0,9,3
chartjs/Chart.js,11762,1,1,1,58.94638888888889,431,0,2,3
chartjs/Chart.js,11761,2,7,2,1218.5355555555554,493,0,0,1
chartjs/Chart.js,11755,1,1,1,5.836111111111111,394,0,2,3
chartjs/Chart.js,11754,1,1,1,5.9927777777777775,394,0,2,3
chartjs/Chart.js,11734,1,6,1,85.99222222222222,77,0,0,1
chartjs/Chart.js,11720,1,3,3,1038.0244444444445,3303,0,2,3
chartjs/Chart.js,11707,2,2,2,82.45805555555556,1771,0,2,3
chartjs/Chart.js,11690,3,29,4,1445.4577777777777,122,0,2,3
chartjs/Chart.js,11688,4,44,0,1453.4155555555556,409,0,0,1
chartjs/Chart.js,11685,1,6,2,23.017222222222223,1404,0,2,3
chartjs/Chart.js,11682,3,47,2,4.573333333333333,104,0,2,3
chartjs/Chart.js,11674,1,2,2,26.319166666666668,142,0,2,3
chartjs/Chart.js,11669,4,14,14,159.90055555555554,204,0,0,1
chartjs/Chart.js,11664,4,5,5,11.362222222222222,3603,0,2,3
chartjs/Chart.js,11662,1,1,1,53.82944444444445,397,0,2,3
chartjs/Chart.js,11657,1,1,1,37.02388888888889,5812,0,1,2
chartjs/Chart.js,11650,1,1,1,160.60916666666665,11941,0,2,3
chartjs/Chart.js,11636,1,3,3,1.9436111111111112,6787,0,1,2
chartjs/Chart.js,11635,1,3,3,1.9416666666666667,4228,0,1,2
chartjs/Chart.js,11633,2,2817,3475,19.59722222222222,180,0,2,2
chartjs/Chart.js,11616,2,61,3,165.23111111111112,582,0,2,3
chartjs/Chart.js,11600,1,4,4,1330.4491666666668,0,0,0,1
chartjs/Chart.js,11599,4,47,427,15.55888888888889,58,0,1,2
chartjs/Chart.js,11596,2,90,1,41.98777777777778,1359,0,2,3
chartjs/Chart.js,11589,2,13,11,1889.1683333333333,461,0,0,1
chartjs/Chart.js,11588,1,4,2,3.8633333333333333,557,0,2,3
chartjs/Chart.js,11581,1,12,9,409.5805555555556,590,0,0,1
chartjs/Chart.js,11576,1,20,6,483.42944444444447,66,0,1,2
chartjs/Chart.js,11572,1,1,0,68.25611111111111,145,0,2,3
chartjs/Chart.js,11570,1,1,1,50.24,698,0,2,3
chartjs/Chart.js,11569,1,33,33,75.49388888888889,65,0,2,3
chartjs/Chart.js,11560,3,4,4,9.124722222222223,8742,0,2,3
chartjs/Chart.js,11520,1,96,0,1.1641666666666666,394,0,0,1
chartjs/Chart.js,11519,1,70,0,1.2402777777777778,467,0,0,1
chartjs/Chart.js,11518,1,56,9,4.741944444444444,178,0,0,1
chartjs/Chart.js,11516,3,12122,4002,184.21916666666667,394,0,1,2
chartjs/Chart.js,11492,4,6,6,83.07861111111112,12370,0,2,3
chartjs/Chart.js,11490,1,1,1,93.87444444444445,441,0,2,3
chartjs/Chart.js,11488,1,1,1,5.6075,14,0,2,3
chartjs/Chart.js,11483,1,1,1,42.19777777777778,217,0,2,3
chartjs/Chart.js,11461,1,1,1,22.287777777777777,394,0,1,2
chartjs/Chart.js,11448,30,37492,325,3.285833333333333,394,0,0,1
chartjs/Chart.js,11439,30,132,132,2.6702777777777778,13,0,1,2
chartjs/Chart.js,11435,1,1,1,79.97444444444444,288,0,3,4
chartjs/Chart.js,11433,1,1,1,1.366111111111111,0,0,1,2
chartjs/Chart.js,11427,4,6,6,10.135277777777778,4764,0,2,3
chartjs/Chart.js,11422,7,17,34,5.273611111111111,32,0,2,2
chartjs/Chart.js,11419,2,18,2,20.336666666666666,880,0,4,3
chartjs/Chart.js,11411,1,1,1,464.1525,260,0,0,1
chartjs/Chart.js,11404,8,249,6,605.8605555555556,12,0,2,3
chartjs/Chart.js,11403,7,34,17,275.6458333333333,507,0,6,3
chartjs/Chart.js,11396,2,2,2,12.037777777777778,408,0,2,3
chartjs/Chart.js,11388,8,70,4,222.15694444444443,313,0,14,4
chartjs/Chart.js,11387,1,1,1,16.64138888888889,26,0,0,1
chartjs/Chart.js,11383,1,4,0,13.13888888888889,16,0,1,2
chartjs/Chart.js,11377,6,72,2,606.3930555555555,10,0,4,4
chartjs/Chart.js,11364,1,1,1,1113.2791666666667,411,0,2,3
chartjs/Chart.js,11352,2,2,2,120.57638888888889,550,0,2,3
chartjs/Chart.js,11350,1,6,0,128.01888888888888,404,0,2,3
chartjs/Chart.js,11348,1,4,2,1319.2211111111112,619,0,4,3
chartjs/Chart.js,11346,1,2,0,4.757777777777778,103,0,1,2
chartjs/Chart.js,11334,3,42,0,5.666388888888889,406,0,2,3
chartjs/Chart.js,11330,1,1,0,26.014722222222222,475,0,2,3
chartjs/Chart.js,11324,27,60,60,42.05916666666667,279,0,2,3
chartjs/Chart.js,11322,1,1,1,55.42111111111111,93,0,2,3
chartjs/Chart.js,11309,2,5,1,17.060277777777777,383,0,2,3
chartjs/Chart.js,11302,1,1,1,2.0633333333333335,6,0,1,2
chartjs/Chart.js,11301,6,8,8,2.721111111111111,72,0,2,2
chartjs/Chart.js,11300,1,1,1,2.346111111111111,57,0,1,2
chartjs/Chart.js,11284,1,4,1,178.76805555555555,459,0,2,3
chartjs/Chart.js,11257,1,1,1,6.9302777777777775,0,0,1,2
chartjs/Chart.js,11244,1,1,1,3.27,251,0,3,4
chartjs/Chart.js,11241,1,2,1,16.46638888888889,72,0,1,2
chartjs/Chart.js,11240,1,4,4,16.620555555555555,229,0,1,2
chartjs/Chart.js,11238,1,7,1,7.142777777777778,308,0,3,3
chartjs/Chart.js,11220,4,4,4,13.558333333333334,438,0,2,3
chartjs/Chart.js,11217,3,49,1,680.57,12,0,4,3
