repo,pr_number,duration_hours,description_length,num_comments,num_participants
chrislgarry/Apollo-11,915,2.256388888888889,36,0,1
chrislgarry/Apollo-11,911,116.14416666666666,22,0,1
chrislgarry/Apollo-11,910,0.19,3027,0,1
chrislgarry/Apollo-11,908,0.0030555555555555557,323,0,1
chrislgarry/Apollo-11,907,1.8502777777777777,323,0,1
chrislgarry/Apollo-11,906,3486.093611111111,348,0,1
chrislgarry/Apollo-11,905,3870.905,0,0,1
chrislgarry/Apollo-11,904,10.202777777777778,323,0,1
chrislgarry/Apollo-11,903,902.6583333333333,56,0,1
chrislgarry/Apollo-11,902,0.4008333333333333,56,0,1
chrislgarry/Apollo-11,901,0.06166666666666667,56,0,1
chrislgarry/Apollo-11,899,1268.7044444444443,637,0,1
chrislgarry/Apollo-11,898,3.341388888888889,199,0,1
chrislgarry/Apollo-11,894,2140.3069444444445,323,0,1
chrislgarry/Apollo-11,892,1.4316666666666666,52,0,1
chrislgarry/Apollo-11,891,217.16722222222222,281,0,1
chrislgarry/Apollo-11,890,228.675,506,0,1
chrislgarry/Apollo-11,889,214.86166666666668,444,0,1
chrislgarry/Apollo-11,888,16.112222222222222,338,0,1
chrislgarry/Apollo-11,887,1.6447222222222222,64,0,1
chrislgarry/Apollo-11,886,23.47277777777778,428,0,1
chrislgarry/Apollo-11,885,101.03888888888889,43,0,1
chrislgarry/Apollo-11,884,0.04527777777777778,265,0,1
chrislgarry/Apollo-11,883,19.5375,323,0,1
chrislgarry/Apollo-11,882,506.4277777777778,323,0,1
chrislgarry/Apollo-11,881,67.26361111111112,54,0,1
chrislgarry/Apollo-11,880,419.4761111111111,0,0,1
chrislgarry/Apollo-11,879,101.14555555555556,41,0,1
chrislgarry/Apollo-11,878,24.165555555555557,76,0,1
chrislgarry/Apollo-11,877,44.39416666666666,69,0,1
chrislgarry/Apollo-11,876,239.43527777777777,26,0,1
chrislgarry/Apollo-11,875,50.833333333333336,29,0,1
chrislgarry/Apollo-11,874,51.37111111111111,383,0,1
chrislgarry/Apollo-11,873,10523.4925,124,0,1
