repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
coder/code-server,7026,30,335,369,335.4033333333333,195,0,1,2
coder/code-server,7022,1,4,4,36.467777777777776,5404,0,1,2
coder/code-server,7021,1,3,3,36.620555555555555,8194,0,1,2
coder/code-server,7020,1,8,8,36.695277777777775,2262,0,1,2
coder/code-server,7019,1,3,3,36.555277777777775,4293,0,1,2
coder/code-server,7012,1,1,1,493.38916666666665,120,0,0,1
coder/code-server,7001,1,1,3,87.29083333333334,112,0,0,1
coder/code-server,6996,2,167,107,896.6966666666667,16693,0,0,1
coder/code-server,6984,22,72,72,308.54305555555555,54,0,1,2
coder/code-server,6975,1,8,8,54.49861111111111,2260,0,0,1
coder/code-server,6974,1,3,3,54.50972222222222,6934,0,1,2
coder/code-server,6973,2,8,17,54.496944444444445,4757,0,1,2
coder/code-server,6972,1,4,4,55.05305555555555,19176,0,1,2
coder/code-server,6968,2,8,8,112.90027777777777,578,0,1,2
coder/code-server,6963,1,7,7,189.25611111111112,7443,0,2,2
coder/code-server,6958,6,43,4,33.07944444444445,545,0,1,2
coder/code-server,6941,29,352,804,175.36416666666668,1156,0,0,1
coder/code-server,6927,1,8,8,609.7833333333333,5881,0,1,2
coder/code-server,6926,1,3,3,609.7902777777778,6748,0,1,2
coder/code-server,6925,1,6,6,611.3108333333333,3339,0,1,2
coder/code-server,6900,2,3,3,27.655,0,0,1,2
coder/code-server,6894,2,2,2,2.4947222222222223,5690,0,1,2
coder/code-server,6889,1,3,0,1155.203611111111,208,0,0,1
coder/code-server,6887,1,1,1,28.863611111111112,78,0,1,2
coder/code-server,6885,9,33,25,3.1547222222222224,55,0,0,1
coder/code-server,6878,1,3,3,226.01944444444445,7250,0,1,2
coder/code-server,6877,2,2,2,223.53166666666667,4706,0,0,1
coder/code-server,6876,1,1,1,224.29444444444445,9815,0,1,2
coder/code-server,6875,1,3,3,226.00916666666666,8032,0,1,2
coder/code-server,6874,2,28,20,226.05333333333334,7272,0,0,1
coder/code-server,6873,1,3,3,226.0261111111111,9018,0,1,2
coder/code-server,6853,1,1,1,17.148333333333333,0,0,1,2
coder/code-server,6851,1,3,3,186.91555555555556,4994,0,1,2
coder/code-server,6845,1,3,3,205.54638888888888,4637,0,1,2
coder/code-server,6844,1,8,8,24.584722222222222,4364,0,1,2
coder/code-server,6843,1,8,8,251.57305555555556,4641,0,1,2
coder/code-server,6840,1,1,1,11.734166666666667,16,0,1,2
coder/code-server,6833,5,9,3,10.207222222222223,101,0,0,1
coder/code-server,6831,1,0,5,1.6947222222222222,63,0,0,1
coder/code-server,6830,1,1,0,3.734166666666667,297,0,0,1
coder/code-server,6824,23,82,69,14.026944444444444,106,0,3,2
coder/code-server,6819,2,2,2,54.867222222222225,8594,0,1,2
coder/code-server,6818,2,57,22,55.05111111111111,7726,0,1,2
coder/code-server,6817,2,20,244,2208.1975,4185,0,0,1
coder/code-server,6812,1,12,0,12.087222222222222,45,0,1,2
coder/code-server,6807,2,137,0,1.1063888888888889,566,0,1,2
coder/code-server,6804,28,760,0,10.373333333333333,208,0,0,1
coder/code-server,6803,2,5,1,38.933055555555555,213,0,3,2
coder/code-server,6796,2,2,2,11.596666666666666,16,0,1,2
coder/code-server,6789,3,7,7,758.0797222222222,47,0,0,1
coder/code-server,6783,7,13,13,84.60833333333333,54,0,1,2
coder/code-server,6780,1,1,1,130.7488888888889,5639,0,1,2
coder/code-server,6779,1,3,3,130.75583333333333,9089,0,1,2
coder/code-server,6778,1,3,3,130.88055555555556,5750,0,1,2
coder/code-server,6777,1,6,6,130.89,14738,0,1,2
coder/code-server,6776,1,25,25,130.8972222222222,24980,0,1,2
coder/code-server,6775,1,6,6,130.90694444444443,5552,0,1,2
coder/code-server,6774,2,20,244,744.2997222222223,4168,0,1,2
coder/code-server,6764,2,11,31,3.6305555555555555,303,0,0,1
coder/code-server,6754,2,6,1,101.22527777777778,16,0,1,2
coder/code-server,6753,1,3,3,108.41694444444444,2781,0,1,2
coder/code-server,6752,1,9,4,122.86638888888889,8441,0,1,2
coder/code-server,6745,17,80,84,9.7125,54,0,1,2
coder/code-server,6742,1,0,0,15.863611111111112,218,0,0,1
coder/code-server,6741,1,4,4,106.41416666666667,15910,0,1,2
coder/code-server,6740,1,4,4,106.42222222222222,5067,0,1,2
coder/code-server,6739,2,2,2,106.46472222222222,3248,0,1,2
coder/code-server,6738,1,3,3,106.92666666666666,6179,0,1,2
coder/code-server,6737,2,86,16,349.02194444444444,8393,0,0,1
coder/code-server,6736,1,3,3,106.96166666666667,8583,0,1,2
coder/code-server,6729,2,147,171,508.8152777777778,16789,0,0,1
coder/code-server,6725,1,3,3,479.395,3304,0,1,2
coder/code-server,6714,1,1,1,85.63194444444444,16,0,1,2
coder/code-server,6710,1,38,0,39.585,966,0,0,1
coder/code-server,6706,2,2,2,150.61,20105,0,1,2
coder/code-server,6705,2,2,2,150.6836111111111,6399,0,1,2
coder/code-server,6704,1,3,3,151.20472222222222,7107,0,1,2
coder/code-server,6703,1,41,41,150.9625,11887,0,1,2
coder/code-server,6702,1,13,13,151.73416666666665,4409,0,1,2
coder/code-server,6701,1,20,55,151.74972222222223,10446,0,1,2
coder/code-server,6700,2,5,5,150.99055555555555,5696,0,1,2
coder/code-server,6697,8,23,23,12.933333333333334,56,0,1,2
coder/code-server,6683,1,12,0,1052.0658333333333,646,0,0,1
coder/code-server,6682,1,3,3,12.003055555555555,3822,0,1,2
coder/code-server,6681,1,6,6,23.285,2629,0,1,2
coder/code-server,6677,2,2,2,6.523055555555556,16,0,1,2
coder/code-server,6676,1,1,1,1218.5283333333334,209,0,0,1
coder/code-server,6671,1,6,0,29.182222222222222,222,0,1,2
coder/code-server,6670,1,1,1,17.7825,290,0,1,2
coder/code-server,6669,5,164,1,1.8525,72,0,2,2
coder/code-server,6668,2,4,4,5.972222222222222,16,0,1,2
coder/code-server,6655,11,33,33,10.731944444444444,54,0,1,2
coder/code-server,6654,1,4,4,13.475,14231,0,1,2
coder/code-server,6653,2,5,5,13.484722222222222,17461,0,1,2
coder/code-server,6652,2,2,2,13.488611111111112,20068,0,0,1
coder/code-server,6651,1,2,2,13.494444444444444,8336,0,1,2
coder/code-server,6650,1,7,7,13.50388888888889,11862,0,1,2
coder/code-server,6649,1,18,236,13.561388888888889,12511,0,1,2
coder/code-server,6648,1,3,3,14.160277777777777,4931,0,1,2
coder/code-server,6647,1,3,3,13.57,6844,0,1,2
