repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
d3/d3,3941,2,2,1,1.7719444444444445,155,0,1,2
d3/d3,3940,1,1,1,9.974444444444444,117,0,1,2
d3/d3,3932,6,942,480,4.335833333333333,70,0,2,2
d3/d3,3919,1,5,0,1.4122222222222223,6,0,0,1
d3/d3,3917,1,5,0,5.610555555555556,0,0,0,1
d3/d3,3896,1,2,2,63.77527777777778,186,0,2,3
d3/d3,3892,1,1,1,25.391666666666666,0,0,1,2
d3/d3,3888,1,4,4,40.47805555555556,203,0,1,2
d3/d3,3887,1,12,4,103.19444444444444,795,0,0,1
d3/d3,3886,2,68,68,166.8136111111111,508,0,1,2
d3/d3,3844,1,1,1,8.901388888888889,74,0,1,2
d3/d3,3831,1,1,1,1778.871111111111,0,0,1,2
d3/d3,3816,1,4,4,5.5311111111111115,215,0,1,2
d3/d3,3811,1,1,1,3615.1525,0,0,1,2
d3/d3,3804,5,832,675,2454.840277777778,282,0,0,1
d3/d3,3803,1,1,1,2717.6144444444444,55,0,1,2
d3/d3,3785,1,1,1,2.9294444444444445,100,0,1,2
d3/d3,3782,2,3,3,37.3575,0,0,4,3
d3/d3,3781,3,4,4,1.3733333333333333,120,0,1,2
d3/d3,3780,1,1,1,457.24944444444446,465,0,0,1
d3/d3,3776,3,3,1537,1.2555555555555555,36,0,1,2
d3/d3,3774,1,0,2,2.3422222222222224,0,0,1,2
d3/d3,3773,1,16,0,2.7019444444444445,213,0,1,2
d3/d3,3758,1,2,2,1.2516666666666667,0,0,2,2
d3/d3,3755,2,20,2,1.5080555555555555,12,0,1,2
d3/d3,3752,1,2,0,197.76111111111112,129,0,0,1
d3/d3,3750,1,3,3,294.31694444444446,118,0,1,2
d3/d3,3745,2,8,0,574.6197222222222,12,0,0,1
d3/d3,3698,18,25,25,585.5222222222222,29,0,1,2
d3/d3,3695,1,1,1,4.945,0,0,1,2
d3/d3,3694,1,1,1,1.955,0,0,0,1
d3/d3,3680,2,81,30,38.12444444444444,118,0,2,2
d3/d3,3679,1,3,3,1.7663888888888888,67,0,1,2
d3/d3,3677,1,14,7,2.3825,0,0,1,2
d3/d3,3676,1,1,1,4.421111111111111,479,0,3,3
d3/d3,3673,5,155,79,31.3475,264,0,1,2
d3/d3,3672,2,2,2,5.404166666666667,163,0,1,2
d3/d3,3670,2,83,6,94.64972222222222,188,0,1,2
d3/d3,3669,3,67,24,94.00777777777778,71,0,1,2
d3/d3,3668,1,1,1,13.979166666666666,21,0,0,1
d3/d3,3666,2,4,4,1.2561111111111112,0,0,2,2
d3/d3,3662,10,61,79,7.113888888888889,0,0,1,2
d3/d3,3661,15,19,19,1.6702777777777778,100,0,2,2
d3/d3,3660,30,218,258,9.117777777777778,0,0,2,2
d3/d3,3659,1,48,0,1.1494444444444445,607,0,5,2
d3/d3,3654,30,3762,30,528.5033333333333,12,0,3,3
d3/d3,3548,1,2,2,3.0716666666666668,0,0,0,1
d3/d3,3540,1,4,4,2.1819444444444445,75,0,0,1
d3/d3,3511,1,10,2,219.47805555555556,71,0,0,1
d3/d3,3495,1,1,1,1.6188888888888888,0,0,0,1
d3/d3,3483,1,1,1,1.525,0,0,0,1
d3/d3,3477,5,948,6,2087.573888888889,426,0,1,2
d3/d3,3454,3,62,29,3921.426111111111,88,0,1,2
d3/d3,3439,2,4,1,69.18055555555556,0,0,1,2
d3/d3,3438,7,1751,1623,724.8319444444444,441,0,3,3
d3/d3,3432,1,1,1,5.6738888888888885,0,0,0,1
d3/d3,3366,2,15,0,12007.945555555556,1115,0,0,1
d3/d3,3363,1,32,0,1.1847222222222222,0,0,0,1
d3/d3,3360,1,1,1,280.34555555555556,15,0,0,1
d3/d3,3348,1,3,3,6.508055555555556,94,0,2,2
d3/d3,3343,2,0,0,169.7747222222222,430,0,0,1
