repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
danielmiessler/SecLists,1082,2,12,0,435.2761111111111,0,0,0,1
danielmiessler/SecLists,1081,2,10,0,435.35555555555555,0,0,0,1
danielmiessler/SecLists,1080,2,10,0,435.36861111111114,0,0,0,1
danielmiessler/SecLists,1079,2,12,0,435.56388888888887,0,0,0,1
danielmiessler/SecLists,1078,2,6,0,435.71805555555557,0,0,0,1
danielmiessler/SecLists,1077,1,6,0,435.8725,0,0,0,1
danielmiessler/SecLists,1076,1,5,0,436.0966666666667,0,0,0,1
danielmiessler/SecLists,1068,1,1,0,150.36,70,0,1,2
danielmiessler/SecLists,1066,2,6547,0,1499.1261111111112,23,0,0,1
danielmiessler/SecLists,1065,1,4,1,251.33777777777777,461,0,4,2
danielmiessler/SecLists,1064,2,68,43,321.43861111111113,137,0,0,1
danielmiessler/SecLists,1063,0,0,0,119.09361111111112,31,0,0,1
danielmiessler/SecLists,1055,3,526680,0,640.7069444444444,30,0,0,1
danielmiessler/SecLists,1054,1,7,0,661.5247222222222,42,0,0,1
danielmiessler/SecLists,1053,1,0,0,661.7363888888889,19,0,0,1
danielmiessler/SecLists,1052,1,1,0,677.5177777777777,58,0,1,2
danielmiessler/SecLists,1050,1,1,0,869.9080555555555,221,0,1,2
danielmiessler/SecLists,1049,1,26,0,949.3830555555555,538,0,0,1
danielmiessler/SecLists,1046,1,3,1,772.6819444444444,97,0,9,2
danielmiessler/SecLists,1045,1,2,0,1087.1294444444445,157,0,0,1
danielmiessler/SecLists,1044,1,76,2,1163.9627777777778,1019,0,0,1
danielmiessler/SecLists,1043,3,410,0,523.1994444444445,799,0,0,1
danielmiessler/SecLists,1040,1,5,1,1326.8138888888889,418,0,0,1
danielmiessler/SecLists,1039,1,4,0,21.142222222222223,55,0,0,1
danielmiessler/SecLists,1038,1,1419,0,1403.3619444444444,1057,0,1,2
danielmiessler/SecLists,1036,1,1,0,17.424166666666668,301,0,1,2
danielmiessler/SecLists,1035,1,1,0,17.453333333333333,331,0,1,2
danielmiessler/SecLists,1034,1,1,0,16.64027777777778,331,0,1,2
danielmiessler/SecLists,1032,1,1,0,68.36833333333334,301,0,1,2
danielmiessler/SecLists,1031,1,1,0,51.8325,218,0,0,1
danielmiessler/SecLists,1030,2,69,0,234.78,228,0,2,2
danielmiessler/SecLists,1029,1,7,0,285.58722222222224,263,0,0,1
danielmiessler/SecLists,1026,1,5,0,648.8425,0,0,0,1
danielmiessler/SecLists,1025,1,4,0,723.8252777777777,283,0,0,1
danielmiessler/SecLists,1021,1,2,1,1008.4597222222222,0,0,1,2
danielmiessler/SecLists,1020,3,66885,66876,1036.5205555555556,724,0,1,2
danielmiessler/SecLists,1019,2,144735,144736,1037.1875,72,0,0,1
danielmiessler/SecLists,1018,2,66880,66873,1037.3369444444445,291,0,0,1
danielmiessler/SecLists,1017,29,67915,67878,1078.805,260,0,0,1
danielmiessler/SecLists,1016,1,2,0,1175.0805555555555,826,0,1,2
danielmiessler/SecLists,1015,6,39,35,1181.4352777777779,929,0,0,1
danielmiessler/SecLists,1013,1,1,0,1181.2222222222222,57,0,1,2
danielmiessler/SecLists,1010,1,1,2,1519.1769444444444,0,0,1,2
danielmiessler/SecLists,1009,2,1,2,1.3833333333333333,0,0,0,1
danielmiessler/SecLists,1008,2,74,61,1541.9327777777778,177,0,0,1
danielmiessler/SecLists,1007,2,74,61,1.8122222222222222,177,0,0,1
danielmiessler/SecLists,1005,9,102147,1456,1595.3344444444444,212,0,0,1
danielmiessler/SecLists,1004,30,0,0,3.602222222222222,74,0,0,1
danielmiessler/SecLists,1003,19,1089394,1089394,3.8722222222222222,147,0,0,1
danielmiessler/SecLists,1002,1,11,1,4.010833333333333,114,0,0,1
danielmiessler/SecLists,1001,2,2,2,4.146388888888889,228,0,0,1
danielmiessler/SecLists,1000,8,102048,1454,62.95194444444444,306,0,0,1
danielmiessler/SecLists,999,30,67101,66873,7.6947222222222225,3446,0,1,2
danielmiessler/SecLists,997,1,3,3,13.934166666666666,148,0,2,2
danielmiessler/SecLists,996,2,498,0,1623.2272222222223,100,0,1,2
danielmiessler/SecLists,995,1,1,1,58.69,0,0,1,2
danielmiessler/SecLists,994,2,50,2,141.87916666666666,643,0,2,3
danielmiessler/SecLists,992,1,2,2,1858.9086111111112,269,0,3,3
danielmiessler/SecLists,990,1,1,0,259.5966666666667,468,0,0,1
danielmiessler/SecLists,985,0,0,0,500.00444444444446,55,0,0,1
danielmiessler/SecLists,982,1,215,0,744.3047222222223,177,0,6,3
danielmiessler/SecLists,981,1,5,0,2510.186111111111,0,0,0,1
danielmiessler/SecLists,979,30,114863,0,1111.2083333333333,139,0,0,1
danielmiessler/SecLists,977,30,65,57,1116.6583333333333,303,0,0,1
danielmiessler/SecLists,975,9,600,0,2758.6719444444443,635,0,3,2
danielmiessler/SecLists,974,8,523,67,9.858333333333333,150,0,0,1
danielmiessler/SecLists,973,1,6,4,10.185277777777777,96,0,0,1
danielmiessler/SecLists,969,30,1479,25,9.245277777777778,432,0,0,1
danielmiessler/SecLists,968,15,3332,2,50.61388888888889,289,0,0,1
danielmiessler/SecLists,967,1,3,0,2914.6655555555553,66,0,0,1
danielmiessler/SecLists,966,2,17,1,268.17861111111114,1159,0,0,1
danielmiessler/SecLists,965,1,6,0,424.3619444444444,0,0,0,1
danielmiessler/SecLists,963,2,133,146,682.5197222222222,58,0,0,1
danielmiessler/SecLists,962,1,4224,0,88.56888888888889,0,0,0,1
danielmiessler/SecLists,961,1,7,0,3744.014722222222,19,0,0,1
danielmiessler/SecLists,960,1,25,0,992.1444444444444,35,0,0,1
danielmiessler/SecLists,957,4,67920,0,995.2425,577,0,0,1
