repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
donnemartin/system-design-primer,892,1,2,2,97.80611111111111,571,0,0,1
donnemartin/system-design-primer,890,1,1,1,56.41222222222222,848,0,0,1
donnemartin/system-design-primer,872,1,2,2,128.12444444444444,201,0,1,2
donnemartin/system-design-primer,867,1,1838,0,713.8138888888889,1019,0,3,4
donnemartin/system-design-primer,855,4,8,8,1549.1863888888888,0,0,2,3
donnemartin/system-design-primer,842,2,10,0,2984.851388888889,571,0,1,2
donnemartin/system-design-primer,835,1,1,1,2013.4552777777778,666,0,0,1
donnemartin/system-design-primer,833,1,1,0,1487.3255555555556,19,0,0,1
donnemartin/system-design-primer,823,1,1,1,3264.369166666667,128,0,2,3
donnemartin/system-design-primer,817,2,5,0,956.0158333333334,571,0,0,1
donnemartin/system-design-primer,815,1,1,1,19.05027777777778,11,0,0,1
donnemartin/system-design-primer,813,1,11,13,6523.2225,1332,0,0,1
donnemartin/system-design-primer,781,1,0,0,1705.9722222222222,0,0,0,1
donnemartin/system-design-primer,750,1,5,5,179.93,636,0,1,2
donnemartin/system-design-primer,746,1,5,5,1152.3338888888889,99,0,0,1
donnemartin/system-design-primer,745,1,1,0,1212.3377777777778,641,0,0,1
donnemartin/system-design-primer,740,1,2,2,8523.843055555555,152,0,0,1
donnemartin/system-design-primer,739,1,1,1,1068.3344444444444,59,0,0,1
donnemartin/system-design-primer,717,1,1,1,512.6225,571,0,2,3
donnemartin/system-design-primer,716,1,1,1,171.035,571,0,1,2
donnemartin/system-design-primer,705,1,2,0,15251.514166666666,571,0,1,2
donnemartin/system-design-primer,704,1,1,1,15370.613333333333,571,0,1,2
donnemartin/system-design-primer,703,1,1,0,71.06833333333333,571,0,0,1
donnemartin/system-design-primer,701,1,1,0,8997.188055555556,166,0,1,2
donnemartin/system-design-primer,694,1,1,1,19.683611111111112,10,0,1,2
donnemartin/system-design-primer,680,8,8,8,2.1305555555555555,640,0,0,1
donnemartin/system-design-primer,667,3,5,5,16234.997222222222,114,0,0,1
donnemartin/system-design-primer,661,3,3,3,141.21333333333334,0,0,1,2
donnemartin/system-design-primer,651,1,1,1,651.8033333333333,571,0,1,2
donnemartin/system-design-primer,641,1,3,0,2230.883333333333,1904,0,0,1
donnemartin/system-design-primer,634,30,0,0,10008.531111111111,214,0,4,4
donnemartin/system-design-primer,633,1,758,741,23781.831666666665,571,0,0,1
donnemartin/system-design-primer,631,4,4,4,1237.4655555555555,129,0,1,2
donnemartin/system-design-primer,611,1,2,0,2088.2680555555557,134,0,0,1
donnemartin/system-design-primer,594,4,4,4,910.3177777777778,671,0,1,2
donnemartin/system-design-primer,585,1,2,1,7344.435,571,0,0,1
donnemartin/system-design-primer,583,1,1,1,23432.240555555556,648,0,0,1
donnemartin/system-design-primer,577,1,1853,0,20096.549444444445,571,0,2,3
donnemartin/system-design-primer,570,1,0,1,9.567777777777778,691,0,0,1
donnemartin/system-design-primer,557,1,18,0,20164.744444444445,436,0,2,2
donnemartin/system-design-primer,538,1,2,0,17086.44861111111,65,0,0,1
donnemartin/system-design-primer,511,1,1,1,1815.2416666666666,143,0,2,3
donnemartin/system-design-primer,505,1,1,1,320.4869444444444,114,0,1,2
donnemartin/system-design-primer,504,1,322,0,6189.495,571,0,0,1
donnemartin/system-design-primer,500,4,4,4,544.7072222222222,753,0,1,2
donnemartin/system-design-primer,488,1,1836,0,1958.0380555555555,44,0,0,1
donnemartin/system-design-primer,486,1,1,1,1167.0816666666667,28,0,1,2
donnemartin/system-design-primer,484,0,0,0,31986.01388888889,586,0,1,2
donnemartin/system-design-primer,483,1,1,1,7345.433055555555,118,0,0,1
donnemartin/system-design-primer,481,1,2,2,486.21416666666664,325,0,1,2
donnemartin/system-design-primer,468,1,145,145,13960.365,449,0,0,1
donnemartin/system-design-primer,458,0,0,0,358.9066666666667,637,0,0,1
donnemartin/system-design-primer,451,1,1,1,173.09527777777777,36,0,1,2
donnemartin/system-design-primer,447,1,0,0,409.7913888888889,507,0,2,2
donnemartin/system-design-primer,444,1,4,0,6396.355555555556,507,0,0,1
donnemartin/system-design-primer,441,1,1,0,132.11416666666668,70,0,1,2
donnemartin/system-design-primer,440,1,2,1,3504.180277777778,355,0,0,1
donnemartin/system-design-primer,439,1,1,1,11.857222222222223,28,0,1,2
donnemartin/system-design-primer,438,2,3,3,22.30666666666667,74,0,1,2
donnemartin/system-design-primer,433,1,1,0,114.95916666666666,0,0,2,2
donnemartin/system-design-primer,428,4,4,4,359.4222222222222,63,0,1,2
donnemartin/system-design-primer,425,1,1,1,582.3344444444444,226,0,10,2
donnemartin/system-design-primer,418,1,1,1,994.2130555555556,164,0,1,2
donnemartin/system-design-primer,414,1,1,0,1147.8908333333334,85,0,1,2
donnemartin/system-design-primer,411,1,4,4,398.76666666666665,148,0,1,2
donnemartin/system-design-primer,409,1,8,8,1493.2486111111111,0,0,1,2
donnemartin/system-design-primer,408,1,4,0,1740.9161111111111,97,0,4,3
donnemartin/system-design-primer,406,1,15,1,1674.0833333333333,105,0,2,3
donnemartin/system-design-primer,405,1,1,1,1853.8291666666667,150,0,1,2
donnemartin/system-design-primer,400,1,1,0,2047.9316666666666,114,0,1,2
donnemartin/system-design-primer,399,1,1,1,1904.3555555555556,0,0,2,3
donnemartin/system-design-primer,398,1,2,2,2005.6716666666666,39,0,2,3
donnemartin/system-design-primer,396,1,1,1,2231.9383333333335,0,0,1,2
donnemartin/system-design-primer,395,1,1,1,9071.47138888889,19,0,1,2
donnemartin/system-design-primer,394,1,1,1,2329.587777777778,22,0,0,1
donnemartin/system-design-primer,393,1,0,0,2708.686111111111,0,0,1,2
donnemartin/system-design-primer,392,9,2525,10,473.31055555555554,13,0,1,2
donnemartin/system-design-primer,374,9,1458,1466,272.4225,0,0,1,2
donnemartin/system-design-primer,356,1,1,1,3856.3127777777777,207,0,0,1
donnemartin/system-design-primer,355,1,1,1,44.89805555555556,41,0,1,2
donnemartin/system-design-primer,351,1,2,2,60.923611111111114,266,0,1,2
donnemartin/system-design-primer,350,1,1,1,4258.0841666666665,156,0,2,3
donnemartin/system-design-primer,348,1,1,1,966.1188888888889,0,0,1,2
donnemartin/system-design-primer,345,1,1,1,17.099444444444444,282,0,1,2
donnemartin/system-design-primer,340,4,4,4,5101.093055555555,184,0,2,3
donnemartin/system-design-primer,336,1,2,2,5660.237777777777,101,0,2,3
donnemartin/system-design-primer,333,0,0,0,97.5736111111111,4,0,1,2
donnemartin/system-design-primer,332,1,4,4,217.38888888888889,0,0,1,2
donnemartin/system-design-primer,328,1,1,0,559.1580555555555,142,0,0,1
donnemartin/system-design-primer,321,1,2,3,7260.325277777778,0,0,5,4
donnemartin/system-design-primer,320,1,1,1,1848.985,181,0,0,1
donnemartin/system-design-primer,319,1,2,2,7314.820833333333,107,0,1,2
donnemartin/system-design-primer,318,1,1,1,2378.512222222222,66,0,2,3
donnemartin/system-design-primer,317,1,1,1,7300.89,0,0,1,2
donnemartin/system-design-primer,314,1,4,1,7973.514166666667,47,0,0,1
donnemartin/system-design-primer,310,1,1,1,8334.63,131,0,3,4
donnemartin/system-design-primer,308,1,1,1,511.6622222222222,267,0,2,3
donnemartin/system-design-primer,307,1,1,1,511.67583333333334,216,0,2,3
donnemartin/system-design-primer,306,1,1,1,511.68416666666667,122,0,2,3
donnemartin/system-design-primer,305,1,11,11,3443.7125,56,0,3,3
