repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
elastic/elasticsearch,115608,1,2,2,1.0286111111111111,219,0,0,1
elastic/elasticsearch,115603,2,15,7,1.0908333333333333,102,0,0,1
elastic/elasticsearch,115602,2,85,410,1.0347222222222223,125,0,0,1
elastic/elasticsearch,115599,1,7,0,1.1155555555555556,558,0,0,1
elastic/elasticsearch,115598,2,2,3,1.1894444444444445,187,0,1,2
elastic/elasticsearch,115591,5,195,25,1.0680555555555555,347,0,0,1
elastic/elasticsearch,115586,1,2,0,1.7844444444444445,233,0,1,2
elastic/elasticsearch,115582,1,0,3,1.0616666666666668,53,0,0,1
elastic/elasticsearch,115572,13,12,56,1.0219444444444445,99,0,0,1
elastic/elasticsearch,115571,2,15,5,1.076111111111111,112,0,0,1
elastic/elasticsearch,115569,2,15,5,1.0163888888888888,113,0,0,1
elastic/elasticsearch,115567,2,4,20,1.0894444444444444,49,0,0,1
elastic/elasticsearch,115561,2,10,1,1.0638888888888889,123,0,0,1
elastic/elasticsearch,115559,2,7,3,1.0630555555555556,466,0,1,2
elastic/elasticsearch,115558,8,130,99,4.527777777777778,779,0,0,1
elastic/elasticsearch,115556,3,90,0,1.0291666666666666,324,0,0,1
elastic/elasticsearch,115550,4,39,7,1.1002777777777777,98,0,0,1
elastic/elasticsearch,115549,4,39,7,2.2308333333333334,99,0,0,1
elastic/elasticsearch,115548,3,31,2,1.1330555555555555,96,0,0,1
elastic/elasticsearch,115547,3,31,2,1.4469444444444444,97,0,0,1
elastic/elasticsearch,115526,8,27,28,1.1147222222222222,736,0,0,1
elastic/elasticsearch,115520,8,122,119,4.8213888888888885,355,0,0,1
elastic/elasticsearch,115519,8,122,119,1.008888888888889,354,0,0,1
elastic/elasticsearch,115518,1,2,2,2.799166666666667,158,0,1,2
elastic/elasticsearch,115517,2,15,7,10.375277777777777,443,0,2,2
elastic/elasticsearch,115516,2,3,3,2.8225,327,0,1,2
elastic/elasticsearch,115515,2,3,3,1.0286111111111111,327,0,0,1
elastic/elasticsearch,115514,17,594,38,5.360277777777778,121,0,0,1
elastic/elasticsearch,115513,17,594,38,2.0091666666666668,122,0,0,1
elastic/elasticsearch,115507,21,197,146,1.1019444444444444,116,0,0,1
elastic/elasticsearch,115502,2,8,5,1.0547222222222221,17,0,0,1
elastic/elasticsearch,115501,2,4,20,5.953611111111111,256,0,1,2
elastic/elasticsearch,115495,6,159,20,1.021111111111111,374,0,0,1
elastic/elasticsearch,115489,1,9,13,17.419166666666666,182,0,1,2
elastic/elasticsearch,115487,2,85,410,20.067222222222224,694,0,8,3
elastic/elasticsearch,115480,1,1,1,14.954444444444444,287,0,1,2
elastic/elasticsearch,115474,3,45,1,1.0805555555555555,89,0,0,1
elastic/elasticsearch,115469,1,11,11,12.054444444444444,129,0,0,1
elastic/elasticsearch,115468,1,11,11,1.0802777777777777,129,0,0,1
elastic/elasticsearch,115467,6,131,19,3.767777777777778,362,0,0,1
elastic/elasticsearch,115466,1,4,0,1.106111111111111,130,0,0,1
