repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
electron/electron,44392,3,4,4,1.8802777777777777,1022,0,2,3
electron/electron,44389,1,58,103,4.731944444444444,1136,0,1,2
electron/electron,44382,5,49,25,6.426944444444445,60,0,1,2
electron/electron,44381,5,49,25,6.429444444444444,60,0,1,2
electron/electron,44380,4,45,38,18.105,301,0,1,2
electron/electron,44379,3,14,9,2.0183333333333335,301,0,1,2
electron/electron,44378,3,14,9,2.024722222222222,301,0,1,2
electron/electron,44373,1,1,1,7.1325,275,0,1,2
electron/electron,44362,2,2,2,1.9572222222222222,58,0,1,2
electron/electron,44357,3,164,0,8.467777777777778,133,0,1,2
electron/electron,44356,3,164,0,8.766388888888889,133,0,1,2
electron/electron,44355,20,1469,1,13.529444444444444,660,0,1,2
electron/electron,44354,1,1,1,10.020833333333334,2278,0,0,1
electron/electron,44353,2,8,25,10.075555555555555,2274,0,0,1
electron/electron,44352,2,32,0,3.555,178,0,2,3
electron/electron,44351,2,32,0,1.7425,178,0,2,3
electron/electron,44350,2,32,0,1.8102777777777779,178,0,2,3
electron/electron,44349,3,14,9,45.94305555555555,1536,0,3,2
electron/electron,44348,5,49,25,48.2225,709,0,4,2
electron/electron,44346,4,66,1,22.9125,113,0,1,2
electron/electron,44345,1,5,7,3.1266666666666665,59,0,1,2
electron/electron,44344,1,5,7,3.141111111111111,59,0,1,2
electron/electron,44343,1,5,7,3.4175,59,0,2,3
electron/electron,44342,1,5,7,3.1605555555555553,59,0,1,2
electron/electron,44341,4,66,1,1.7225,176,0,3,4
electron/electron,44340,1,5,7,2.4625,846,0,1,2
electron/electron,44339,1,13,1,26.400277777777777,693,0,3,4
electron/electron,44337,1,1,1,1.803611111111111,268,0,1,2
electron/electron,44334,2,2,2,30.513055555555557,84,0,1,2
electron/electron,44333,1,4,1,21.484166666666667,1270,0,1,2
electron/electron,44331,1,1,1,4.858055555555556,268,0,1,2
electron/electron,44329,27,104,104,35.02916666666667,268,0,1,2
electron/electron,44328,27,104,104,49.83,268,0,2,3
electron/electron,44325,2,21,0,1.8219444444444444,161,0,2,3
electron/electron,44324,2,21,0,2.831111111111111,161,0,2,3
electron/electron,44323,2,21,0,1.8163888888888888,161,0,2,3
electron/electron,44322,2,21,0,1.8208333333333333,161,0,2,3
electron/electron,44319,16,49,69,1.8708333333333333,87,0,1,2
electron/electron,44318,2,32,0,79.31305555555555,3194,0,3,3
electron/electron,44317,3,2,22,2.5952777777777776,58,0,1,2
electron/electron,44314,1,1,1,4.287222222222222,268,0,1,2
electron/electron,44312,5,243,1,4.8725,206,0,1,2
electron/electron,44311,2,2,2,7.266388888888889,84,0,1,2
electron/electron,44310,5,6,19,13.731111111111112,299,0,1,2
electron/electron,44309,2,5,5,56.30694444444445,5106,0,1,2
electron/electron,44308,30,92,112,13.677777777777777,87,0,1,2
electron/electron,44307,16,49,49,16.0875,268,0,1,2
electron/electron,44306,5,6,19,10.799722222222222,303,0,1,2
electron/electron,44304,5,6,19,22.204166666666666,303,0,1,2
