repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
excalidraw/excalidraw,8701,1,11,0,2.0308333333333333,522,0,2,2
excalidraw/excalidraw,8699,4,64,14,21.676666666666666,0,0,1,2
excalidraw/excalidraw,8649,3,325,8,119.75083333333333,728,0,3,3
excalidraw/excalidraw,8641,30,12513,36,148.0775,1560,0,6,2
excalidraw/excalidraw,8631,30,710,329,1.2716666666666667,0,0,0,1
excalidraw/excalidraw,8624,1,6,3,169.72694444444446,255,0,1,2
excalidraw/excalidraw,8613,30,2140,90,316.53555555555556,3276,0,9,2
excalidraw/excalidraw,8609,1,47,15,15.821111111111112,447,0,0,1
excalidraw/excalidraw,8590,2,99,42,22.110277777777778,12095,0,0,1
excalidraw/excalidraw,8588,1,11,3,113.62555555555555,412,0,0,1
excalidraw/excalidraw,8576,1,2,2,18.04722222222222,66,0,3,3
excalidraw/excalidraw,8544,1,1,1,21.748333333333335,132,0,0,1
excalidraw/excalidraw,8540,18,48,201,19.884722222222223,97,0,1,2
excalidraw/excalidraw,8531,4,15,0,635.2594444444444,169,0,0,1
excalidraw/excalidraw,8530,30,1588,613,657.4616666666667,3783,0,1,2
excalidraw/excalidraw,8525,3,223,69,2.2108333333333334,170,0,1,2
excalidraw/excalidraw,8517,4,98,74,153.8713888888889,361,0,2,2
excalidraw/excalidraw,8515,1,10,0,2.1469444444444443,525,0,0,1
excalidraw/excalidraw,8513,3,8,163,47.87555555555556,15724,0,0,1
excalidraw/excalidraw,8501,4,4,4,1.9494444444444445,387,0,0,1
excalidraw/excalidraw,8497,9,65,85,1.3383333333333334,0,0,0,1
excalidraw/excalidraw,8494,1,1,1,21.60388888888889,98,0,1,2
excalidraw/excalidraw,8492,1,1,0,30.376944444444444,701,0,1,2
excalidraw/excalidraw,8491,8,164,98,17.710833333333333,262,0,3,2
excalidraw/excalidraw,8490,1,4,3,9.275833333333333,119,0,1,2
excalidraw/excalidraw,8486,1,6,1,13.42361111111111,401,0,0,1
excalidraw/excalidraw,8481,1,1,1,89.06472222222222,12,0,1,2
excalidraw/excalidraw,8474,2,15,5,146.405,16,0,3,2
excalidraw/excalidraw,8471,1,13,9,62.63527777777778,985,0,1,2
excalidraw/excalidraw,8459,6,903,398,76.8313888888889,1197,0,1,2
excalidraw/excalidraw,8458,1,41,22,59.62694444444445,5370,0,1,2
excalidraw/excalidraw,8457,2,0,4,11.533888888888889,0,0,1,2
excalidraw/excalidraw,8456,2,2,2,5.594166666666666,15,0,2,2
excalidraw/excalidraw,8454,1,1,1,14.74388888888889,60,0,1,2
excalidraw/excalidraw,8452,1,6,8,3.09,31,0,1,2
excalidraw/excalidraw,8450,1,3,3,50.179722222222225,4851,0,1,2
excalidraw/excalidraw,8448,2,55,13,427.92305555555555,218,0,1,2
excalidraw/excalidraw,8441,1,18,3,3.475,0,0,0,1
excalidraw/excalidraw,8440,5,56,34,473.6761111111111,74,0,1,2
excalidraw/excalidraw,8438,30,1249,39,294.6016666666667,464,0,3,2
excalidraw/excalidraw,8437,4,67,25,14.139722222222222,0,0,0,1
excalidraw/excalidraw,8426,12,159,283,34.004444444444445,114,0,1,2
excalidraw/excalidraw,8425,18,4721,90,634.9744444444444,0,0,0,1
excalidraw/excalidraw,8420,1,1,1,55.63611111111111,290,0,1,2
excalidraw/excalidraw,8392,1,31,11,193.13777777777779,395,0,10,3
excalidraw/excalidraw,8389,30,891,757,389.64666666666665,909,0,10,3
excalidraw/excalidraw,8386,1,48,24,224.7875,12,0,1,2
excalidraw/excalidraw,8384,19,4741,91,339.9536111111111,2049,0,2,3
excalidraw/excalidraw,8367,4,131,74,4.452222222222222,74,0,1,2
excalidraw/excalidraw,8364,30,736,277,67.34861111111111,1402,0,1,2
excalidraw/excalidraw,8361,12,351,326,6.351666666666667,153,0,0,1
excalidraw/excalidraw,8360,4,1485,2126,8.116111111111111,300,0,0,1
excalidraw/excalidraw,8358,1,1,1,176.04222222222222,207,0,0,1
excalidraw/excalidraw,8355,1,0,1,2.4755555555555557,101,0,1,2
excalidraw/excalidraw,8353,1,72,65,2.193611111111111,92,0,0,1
excalidraw/excalidraw,8352,2,37,11,1.1783333333333332,0,0,1,2
excalidraw/excalidraw,8345,6,136,62,284.82416666666666,2116,0,2,1
excalidraw/excalidraw,8344,7,555,21,460.5475,1140,0,2,2
excalidraw/excalidraw,8342,18,115,156,2.505,947,0,6,2
excalidraw/excalidraw,8340,30,731,473,370.5975,1426,0,6,2
excalidraw/excalidraw,8336,2,12,2,70.15694444444445,256,0,1,2
excalidraw/excalidraw,8333,3,7,10,1.3522222222222222,257,0,1,2
excalidraw/excalidraw,8329,21,1431,19,56.555277777777775,586,0,6,3
excalidraw/excalidraw,8328,3,832,309,545.7883333333333,12,0,3,2
excalidraw/excalidraw,8325,1,3,3,1.7047222222222222,60,0,1,2
excalidraw/excalidraw,8324,17,290,85,1070.3530555555556,90,0,5,3
excalidraw/excalidraw,8323,1,4,1,13.596944444444444,306,0,1,2
excalidraw/excalidraw,8322,30,607,551,41.16027777777778,1828,0,9,2
excalidraw/excalidraw,8314,2,36,14,154.1538888888889,478,0,1,2
excalidraw/excalidraw,8312,5,10,10,96.13972222222222,666,0,5,2
excalidraw/excalidraw,8306,4,71,40,21.899444444444445,241,0,1,2
excalidraw/excalidraw,8303,1,7,2,12.738333333333333,74,0,1,2
excalidraw/excalidraw,8302,3,6,35,13.18138888888889,118,0,1,2
excalidraw/excalidraw,8299,30,1450,213,46.058055555555555,183,0,20,3
excalidraw/excalidraw,8298,4,73,20,2.361388888888889,12,0,8,2
excalidraw/excalidraw,8294,17,549,679,186.87333333333333,540,0,27,3
excalidraw/excalidraw,8291,3,1,1,44.85166666666667,738,0,1,2
excalidraw/excalidraw,8286,11,293,127,87.41333333333333,1225,0,1,2
excalidraw/excalidraw,8285,4,42,38,43.901666666666664,709,0,1,2
excalidraw/excalidraw,8276,1,1,1,451.6558333333333,193,0,0,1
excalidraw/excalidraw,8269,19,279,561,701.8286111111111,0,0,0,1
excalidraw/excalidraw,8268,2,4,4,24.020833333333332,277,0,1,2
excalidraw/excalidraw,8267,1,93,72,21.410833333333333,1086,0,1,2
excalidraw/excalidraw,8266,1,1,1,1.416111111111111,133,0,0,1
excalidraw/excalidraw,8265,4,173,158,1021.4711111111111,132,0,0,1
excalidraw/excalidraw,8250,1,9,0,2042.9147222222223,98,0,0,1
excalidraw/excalidraw,8238,1,1,10,2.1658333333333335,735,0,1,2
excalidraw/excalidraw,8235,5,122,10,424.8825,108,0,1,2
excalidraw/excalidraw,8226,4,10,22,5.040555555555556,441,0,1,2
excalidraw/excalidraw,8201,1,1,2,23.214444444444446,198,0,1,2
excalidraw/excalidraw,8198,1,2,1,2.9316666666666666,0,0,1,2
excalidraw/excalidraw,8191,2,10,8,25.146944444444443,56,0,0,1
excalidraw/excalidraw,8187,5,215,150,15.405277777777778,0,0,0,1
excalidraw/excalidraw,8185,2,54,2,19.364444444444445,379,0,2,2
excalidraw/excalidraw,8183,12,327,162,109.9888888888889,76,0,3,2
excalidraw/excalidraw,8177,14,901,717,23.516111111111112,1453,0,0,1
excalidraw/excalidraw,8168,1,2,2,322.5961111111111,12,0,3,3
excalidraw/excalidraw,8152,2,8,2,13.705833333333333,12,0,1,2
excalidraw/excalidraw,8145,2,37,10,242.8763888888889,303,0,1,2
excalidraw/excalidraw,8135,3,10,2,251.42666666666668,322,0,1,2
