repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
expressjs/express,6083,1,1,0,1.6575,0,0,0,1
expressjs/express,6082,3,29,0,1.6936111111111112,4,0,0,1
expressjs/express,6081,3,13,10,35.54833333333333,253,0,3,3
expressjs/express,6075,1,1,1,41.615,0,0,1,2
expressjs/express,6069,0,0,0,3.2830555555555554,0,0,0,1
expressjs/express,6065,1,4,0,91.95111111111112,74,0,1,2
expressjs/express,6064,1,4,0,92.05888888888889,135,0,1,2
expressjs/express,6060,1,1,1,5.081388888888889,0,0,0,1
expressjs/express,6058,1,2,2,121.35888888888888,87,0,3,4
expressjs/express,6055,1,1,1,4.980833333333333,0,0,0,1
expressjs/express,6052,1,1,1,15.6325,0,0,1,2
expressjs/express,6050,1,5,0,25.91,219,0,0,1
expressjs/express,6049,1,135,79,100.20111111111112,444,0,0,1
expressjs/express,6044,1,2,0,19.59777777777778,0,0,0,1
expressjs/express,6041,3,3,0,3.622777777777778,37,0,0,1
expressjs/express,6040,2,3,2,7.532777777777778,11,0,0,1
expressjs/express,6037,1,1,1,2.9052777777777776,15,0,0,1
expressjs/express,6032,2,3,3,9.198055555555555,76,0,1,2
expressjs/express,6031,2,3,3,8.283611111111112,73,0,1,2
expressjs/express,6029,2,6,1,16.282777777777778,88,0,3,3
expressjs/express,6027,1,17,17,53.58222222222222,96,0,3,4
expressjs/express,6024,2,6,7,50.54666666666667,95,0,0,1
expressjs/express,6021,1,1,1,1.4205555555555556,0,0,0,1
expressjs/express,6017,2,6,1,84.64611111111111,547,0,11,7
expressjs/express,6013,1,62,62,71.11583333333333,202,0,1,2
expressjs/express,6012,1,2,1,4.985277777777778,0,0,0,1
expressjs/express,6011,1,1,1,1.3183333333333334,0,0,0,1
expressjs/express,6009,1,1,0,115.26027777777777,112,0,4,3
expressjs/express,6006,1,1,1,2.54,4,0,0,1
expressjs/express,6004,1,431,447,143.9986111111111,457,0,0,1
expressjs/express,6000,1,1,0,1.6666666666666667,0,0,0,1
expressjs/express,5996,1,1,1,8.0475,0,0,0,1
expressjs/express,5994,1,42,38,527.1569444444444,272,0,3,4
expressjs/express,5991,2,1,1,4.685277777777777,0,0,0,1
expressjs/express,5989,1,1,0,1.273611111111111,0,0,0,1
expressjs/express,5982,1,1,1,4.041388888888889,0,0,0,1
expressjs/express,5981,1,2,0,9.1225,0,0,0,1
expressjs/express,5978,1,1,1,1.0947222222222222,2,0,0,1
expressjs/express,5974,1,1,1,2.3541666666666665,0,0,0,1
expressjs/express,5964,1,1,0,11.065833333333334,10,0,0,1
expressjs/express,5963,1,2,0,1.0975,0,0,0,1
expressjs/express,5962,1,1,1,381.8175,617,0,1,2
expressjs/express,5956,2,9,2,911.8158333333333,99,0,2,3
expressjs/express,5954,2,2,1,2.441388888888889,0,0,0,1
expressjs/express,5951,2,3,1,5.092222222222222,0,0,1,2
expressjs/express,5949,1,10,0,1.1088888888888888,347,0,0,1
expressjs/express,5946,2,2,1,20.263055555555557,0,0,1,2
expressjs/express,5935,2,6,0,39.81472222222222,144,0,3,4
expressjs/express,5920,1,1,1,1025.2497222222223,52,0,3,4
expressjs/express,5917,1,1,1,1.3941666666666668,0,0,0,1
expressjs/express,5916,4,24,3,70.02416666666667,24,0,2,2
expressjs/express,5915,2,74,0,9.292222222222222,461,0,0,1
expressjs/express,5908,1,1,1,2.3136111111111113,0,0,1,2
expressjs/express,5903,1,1,0,7.125277777777778,0,0,0,1
expressjs/express,5902,2,3,2,144.07638888888889,19,0,4,4
expressjs/express,5885,7,35,35,175.05805555555557,47,0,1,2
expressjs/express,5879,1,1,0,2.2866666666666666,0,0,0,1
expressjs/express,5873,1,27,7,303.5486111111111,0,0,1,2
expressjs/express,5872,1,18,15,303.8572222222222,0,0,0,1
expressjs/express,5871,1,12,13,303.9502777777778,0,0,0,1
expressjs/express,5870,1,27,6,304.12083333333334,956,0,0,1
expressjs/express,5868,1,304,207,25.07638888888889,1829,0,0,1
expressjs/express,5864,1,5,63,316.9472222222222,95,0,2,3
expressjs/express,5847,2,2,1,15.3525,73,0,2,3
expressjs/express,5838,1,1,1,10.5125,0,0,0,1
expressjs/express,5836,1,1,0,26.629166666666666,298,0,4,5
expressjs/express,5835,1,9,2,96.22416666666666,72,0,3,4
expressjs/express,5833,2,2,1,148.7836111111111,336,0,3,2
expressjs/express,5830,3,3,2,32.844166666666666,70,0,1,2
expressjs/express,5829,2,2,1,33.18416666666667,73,0,0,1
expressjs/express,5826,1,1,1,1.906388888888889,0,0,0,1
expressjs/express,5825,1,1,1,2.9383333333333335,0,0,0,1
expressjs/express,5824,1,1,1,14.665833333333333,0,0,0,1
expressjs/express,5823,1,1,2,35.29055555555556,0,0,0,1
expressjs/express,5821,1,4,0,73.76027777777777,0,0,0,1
expressjs/express,5820,1,2,1,3.5652777777777778,20,0,0,1
expressjs/express,5819,1,50,0,1741.2783333333334,0,0,4,3
expressjs/express,5818,2,2,3,1414.3708333333334,176,0,0,1
expressjs/express,5814,1,2,2,256.4716666666667,142,0,4,3
expressjs/express,5811,1,1,1,7.4688888888888885,0,0,0,1
expressjs/express,5809,1,1,1,7.535833333333334,0,0,0,1
expressjs/express,5803,1,1,1,3.3833333333333333,36,0,1,2
