repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
facebook/react,31336,1,1,1,23.300555555555555,2115,0,2,2
facebook/react,31332,4,12,12,3.1880555555555556,315,0,1,2
facebook/react,31329,3,20,3,8.464722222222223,283,0,2,3
facebook/react,31326,1,0,6,3.910277777777778,689,0,0,1
facebook/react,31317,30,264,262,2.4055555555555554,1748,0,0,1
facebook/react,31315,1,8,8,5.706944444444445,2513,0,0,1
facebook/react,31309,18,927,88,16.69361111111111,2012,0,0,1
facebook/react,31300,12,239,12,1.6472222222222221,434,0,1,2
facebook/react,31299,20,106,100,2.9505555555555554,96,0,2,3
facebook/react,31298,8,49,39,8.985,1166,0,1,2
facebook/react,31286,4,197,184,1.0458333333333334,142,0,1,2
facebook/react,31282,3,83,34,24.5525,349,0,2,2
facebook/react,31280,1,70,57,12.285277777777777,1804,0,0,1
facebook/react,31278,2,34,28,25.090555555555557,258,0,1,2
facebook/react,31277,1,10,10,3.156388888888889,69,0,1,2
facebook/react,31274,1,3,1,1.281388888888889,102,0,1,2
facebook/react,31271,1,1,1,14.738888888888889,349,0,0,1
facebook/react,31270,2,29,7,17.6275,271,0,1,2
facebook/react,31268,6,278,126,2.6580555555555554,1119,0,1,2
facebook/react,31261,2,11,5,1.716388888888889,521,0,1,2
facebook/react,31258,1,40,35,6.2652777777777775,1698,0,0,1
facebook/react,31241,3,120,1,60.358333333333334,282,0,2,2
facebook/react,31238,2,21,12,2.6141666666666667,624,0,1,2
facebook/react,31209,2,13,4,1.1847222222222222,19,0,3,2
facebook/react,31208,1,28,0,51.467777777777776,425,0,1,2
facebook/react,31206,1,163,0,21.035555555555554,1748,0,0,1
facebook/react,31196,1,2,0,87.45944444444444,261,0,4,3
facebook/react,31188,19,628,26,5.48,1033,0,1,2
facebook/react,31186,1,13,13,3.85,5363,0,0,1
facebook/react,31185,1,1,6,3.8472222222222223,5597,0,0,1
facebook/react,31181,1,6,18,17.03611111111111,3823,0,0,1
facebook/react,31178,1,4,42,31.394444444444446,419,0,1,2
facebook/react,31177,1,7,7,95.13972222222222,144,0,0,1
facebook/react,31176,1,15,1,20.838333333333335,258,0,2,3
facebook/react,31175,2,2,4,96.76555555555555,0,0,1,2
facebook/react,31171,20,103,99,13.9675,570,0,2,2
facebook/react,31169,2,70,15,8.827222222222222,538,0,1,2
