repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
fatedier/frp,4490,1,2,0,20.729444444444443,0,0,1,2
fatedier/frp,4475,3,85,9,93.11416666666666,529,0,2,2
fatedier/frp,4468,1,28,0,59.793055555555554,40,0,0,1
fatedier/frp,4457,3,40,4,677.7363888888889,677,0,0,1
fatedier/frp,4431,4,7,6,732.6155555555556,104,0,7,2
fatedier/frp,4426,1,0,1,11.295555555555556,40,0,0,1
fatedier/frp,4422,4,51,0,690.8069444444444,303,0,0,1
fatedier/frp,4416,1,1,1,92.06722222222223,40,0,1,2
fatedier/frp,4388,7,124,2,52.095555555555556,743,0,0,1
fatedier/frp,4367,4,5,4,62.27611111111111,2492,0,0,1
fatedier/frp,4359,11,62,55,1.0125,0,0,0,1
fatedier/frp,4354,2,11,8,25.741944444444446,196,0,0,1
fatedier/frp,4341,17,187,56,214.14333333333335,0,0,0,1
fatedier/frp,4329,1,1,1,706.8294444444444,76,0,1,2
fatedier/frp,4323,6,81,13,16.925833333333333,9,0,0,1
fatedier/frp,4311,3,14,3,736.3408333333333,1462,0,0,1
fatedier/frp,4306,1,1,1,693.3727777777777,178,0,0,1
fatedier/frp,4305,6,55,20,681.4633333333334,315,0,0,1
fatedier/frp,4275,5,186,8,6.1819444444444445,812,0,0,1
fatedier/frp,4256,5,77,0,730.2788888888889,315,0,0,1
fatedier/frp,4235,3,14,1,1.9791666666666667,20,0,0,1
fatedier/frp,4197,24,159,0,809.1936111111111,272,0,0,1
fatedier/frp,4191,1,2,1,14.288611111111111,193,0,0,1
fatedier/frp,4190,1,1,1,11.507777777777777,40,0,1,2
fatedier/frp,4176,1,1,1,1.6341666666666668,513,0,1,2
fatedier/frp,4161,21,852,0,195.2447222222222,131,0,0,1
fatedier/frp,4153,1,0,1,6.238888888888889,40,0,1,2
fatedier/frp,4149,2,3,3,1.4769444444444444,414,0,0,1
fatedier/frp,4144,12,157,1,2.214166666666667,0,0,0,1
fatedier/frp,4133,2,10,3,689.9225,707,0,0,1
fatedier/frp,4119,1,19,1,682.9477777777778,97,0,0,1
fatedier/frp,4110,10,244,3,810.2519444444445,679,0,0,1
fatedier/frp,4107,1,1,1,728.1786111111111,97,0,0,1
fatedier/frp,4087,7,26,11,23.029166666666665,219,0,0,1
fatedier/frp,4085,4,22,2,20.524444444444445,57,0,3,2
fatedier/frp,4084,4,28,2,1.818888888888889,57,0,0,1
fatedier/frp,4081,3,22,3,1.7963888888888888,0,0,0,1
fatedier/frp,4065,2,4,4,711.9413888888889,40,0,0,1
fatedier/frp,4054,30,274,290,2.0355555555555553,0,0,0,1
fatedier/frp,4043,1,1,1,688.7405555555556,30,0,0,1
fatedier/frp,4038,1,1,1,26.49861111111111,253,0,1,2
fatedier/frp,4020,5,16,25,642.7155555555555,0,0,0,1
fatedier/frp,3999,1,2,2,30.298333333333332,86,0,1,2
fatedier/frp,3996,1,3,0,72.64944444444444,143,0,1,2
fatedier/frp,3979,2,2,2,978.5491666666667,961,0,0,1
fatedier/frp,3976,1,50,0,1098.9294444444445,469,0,0,1
fatedier/frp,3971,1,2,0,42.24305555555556,159,0,1,2
fatedier/frp,3963,30,1106,1534,14.37888888888889,10,0,1,2
fatedier/frp,3962,2,12,3,460.57444444444445,704,0,0,1
fatedier/frp,3958,1,0,0,677.4925,40,0,0,1
fatedier/frp,3942,1,9,4,683.2233333333334,191,0,0,1
fatedier/frp,3904,1,1,1,744.5458333333333,62,0,0,1
fatedier/frp,3900,1,1,1,862.7947222222223,120,0,0,1
fatedier/frp,3898,7,23,9,15.523333333333333,0,0,1,2
fatedier/frp,3896,2,60,0,1.081388888888889,437,0,0,1
fatedier/frp,3887,1,2,2,73.54444444444445,774,0,0,1
fatedier/frp,3875,3,17,19,3.741388888888889,96,0,5,2
fatedier/frp,3873,2,24,5,3.1744444444444446,224,0,0,1
fatedier/frp,3869,0,0,0,13.599722222222223,468,0,0,1
fatedier/frp,3848,2,4,3,974.6866666666666,520,0,0,1
fatedier/frp,3841,3,211,0,28.308611111111112,0,0,1,2
fatedier/frp,3816,1,1,3,9.995833333333334,36,0,0,1
fatedier/frp,3805,4,300,18,1.9741666666666666,496,0,1,2
fatedier/frp,3802,1,40,0,1.0022222222222221,465,0,0,1
fatedier/frp,3784,30,862,1107,18.939166666666665,0,0,0,1
fatedier/frp,3783,19,32,32,115.57527777777777,444,0,1,2
fatedier/frp,3773,11,119,47,19.758333333333333,943,0,1,2
fatedier/frp,3767,5,49,0,899.6608333333334,430,0,0,1
fatedier/frp,3757,5,79,5,186.92194444444445,846,0,0,1
fatedier/frp,3745,11,690,529,65.08222222222223,452,0,1,2
fatedier/frp,3738,2,12,12,1.7869444444444444,413,0,1,2
