repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
florinpop17/app-ideas,886,1,5,0,13.466388888888888,18,0,0,1
florinpop17/app-ideas,873,1,40,0,234.44861111111112,363,0,0,1
florinpop17/app-ideas,851,1,32,0,187.3961111111111,133,0,0,1
florinpop17/app-ideas,812,1,1,1,2208.9908333333333,27,0,0,1
florinpop17/app-ideas,800,1,56,0,2910.3033333333333,0,0,0,1
florinpop17/app-ideas,797,2,31,0,173.48388888888888,89,0,0,1
florinpop17/app-ideas,796,1,36,0,177.34722222222223,0,0,0,1
florinpop17/app-ideas,792,1,1,0,375.0052777777778,0,0,0,1
florinpop17/app-ideas,784,2,35,0,7219.912777777778,475,0,0,1
florinpop17/app-ideas,769,1,35,0,323.1791666666667,166,0,0,1
florinpop17/app-ideas,764,2,46,0,1127.5647222222221,0,0,0,1
florinpop17/app-ideas,763,1,23,0,115.72611111111111,0,0,0,1
florinpop17/app-ideas,762,1,28,0,478.9811111111111,19,0,0,1
florinpop17/app-ideas,758,1,32,0,320.3797222222222,190,0,0,1
florinpop17/app-ideas,747,1,74,0,1.1230555555555555,0,0,0,1
florinpop17/app-ideas,732,1,2,2,8284.825,388,0,0,1
florinpop17/app-ideas,730,1,61,0,2394.213333333333,93,0,0,1
florinpop17/app-ideas,729,1,25,0,4417.751388888889,0,0,0,1
florinpop17/app-ideas,711,1,42,0,6733.877777777778,479,0,0,1
florinpop17/app-ideas,708,1,36,0,4.404722222222222,353,0,0,1
florinpop17/app-ideas,707,1,47,0,23.090833333333332,428,0,0,1
florinpop17/app-ideas,705,2,67,0,1784.7855555555554,306,0,0,1
florinpop17/app-ideas,704,2,28,3,184.82805555555555,81,0,0,1
florinpop17/app-ideas,703,1,3,3,185.69361111111112,196,0,0,1
florinpop17/app-ideas,702,1,37,0,1.0991666666666666,80,0,0,1
florinpop17/app-ideas,701,1,29,0,117.31083333333333,0,0,0,1
florinpop17/app-ideas,698,1,3,0,834.8547222222222,65,0,0,1
florinpop17/app-ideas,697,1,25,0,216.0588888888889,58,0,0,1
florinpop17/app-ideas,696,2,26,0,126.02416666666667,54,0,0,1
florinpop17/app-ideas,683,2,25,0,20.184444444444445,156,0,0,1
florinpop17/app-ideas,681,1,1,0,3793.299722222222,0,0,0,1
florinpop17/app-ideas,679,1,32,0,2856.057222222222,0,0,0,1
florinpop17/app-ideas,678,1,29,0,2859.5830555555553,0,0,0,1
florinpop17/app-ideas,668,1,1,0,634.3413888888889,0,0,0,1
florinpop17/app-ideas,667,1,1,0,14668.195833333333,243,0,0,1
florinpop17/app-ideas,663,1,26,0,14549.738055555556,0,0,0,1
florinpop17/app-ideas,652,1,33,0,10597.100277777778,102,0,0,1
florinpop17/app-ideas,648,1,28,0,10031.163888888888,1059,0,0,1
florinpop17/app-ideas,647,1,1,0,316.4486111111111,57,0,0,1
florinpop17/app-ideas,642,1,1,0,2807.6491666666666,0,0,0,1
florinpop17/app-ideas,639,1,60,0,36.42916666666667,65,0,0,1
florinpop17/app-ideas,628,2,27,0,3.1822222222222223,0,0,0,1
florinpop17/app-ideas,627,1,95,0,2307.1194444444445,1524,0,0,1
florinpop17/app-ideas,626,1,1,1,276.25916666666666,19,0,0,1
florinpop17/app-ideas,625,1,32,0,439.35027777777776,54,0,0,1
florinpop17/app-ideas,623,1,33,0,19.08,117,0,0,1
florinpop17/app-ideas,621,1,1,1,59.60027777777778,53,0,0,1
florinpop17/app-ideas,620,2,5,0,959.8880555555555,144,0,0,1
florinpop17/app-ideas,615,1,25,0,760.3736111111111,81,0,0,1
florinpop17/app-ideas,603,1,52,0,251.61416666666668,133,0,0,1
florinpop17/app-ideas,598,1,29,0,1572.5375,49,0,0,1
florinpop17/app-ideas,597,1,30,0,1059.6263888888889,0,0,0,1
florinpop17/app-ideas,593,1,1,1,4666.655,0,0,0,1
