repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
flutter/flutter,157553,2,2,2,2.2316666666666665,897,0,1,2
flutter/flutter,157548,1,3,3,2.2891666666666666,358,0,2,3
flutter/flutter,157544,1,1,1,1.4883333333333333,892,0,1,2
flutter/flutter,157539,1,1,1,1.0483333333333333,1939,0,1,2
flutter/flutter,157527,3,24,3,3.67,278,0,3,3
flutter/flutter,157516,3,0,187,5.892777777777778,167,0,1,2
flutter/flutter,157512,1,1,1,2.448611111111111,1939,0,1,2
flutter/flutter,157504,1,1,1,2.8216666666666668,915,0,1,2
flutter/flutter,157501,1,1,1,2.382222222222222,915,0,1,2
flutter/flutter,157493,1,1,1,3.265277777777778,789,0,1,2
flutter/flutter,157488,1,1,1,1.105,831,0,1,2
flutter/flutter,157486,1,1,1,1.4505555555555556,1288,0,1,2
flutter/flutter,157482,1,96,0,19.580555555555556,261,0,3,3
flutter/flutter,157478,1,1,1,3.2144444444444447,1322,0,1,2
flutter/flutter,157469,1,1,1,1.298888888888889,922,0,1,2
flutter/flutter,157466,2,2,4,2.8716666666666666,2231,0,1,2
flutter/flutter,157443,1,25,0,18.94388888888889,1994,0,1,2
flutter/flutter,157420,1,0,1,8.169166666666667,419,0,1,2
flutter/flutter,157419,1,0,1,14.102777777777778,413,0,1,2
flutter/flutter,157418,0,0,0,12.6425,367,0,1,2
flutter/flutter,157417,0,0,0,12.325555555555555,367,0,1,2
flutter/flutter,157416,1,0,1,12.646666666666667,367,0,1,2
flutter/flutter,157415,0,0,0,12.671666666666667,367,0,1,2
flutter/flutter,157414,1,0,1,12.67361111111111,367,0,1,2
flutter/flutter,157412,1,0,1,8.515277777777778,411,0,1,2
flutter/flutter,157411,1,0,1,12.760555555555555,405,0,1,2
flutter/flutter,157410,1,0,1,8.114444444444445,415,0,1,2
flutter/flutter,157409,1,0,1,12.697777777777778,409,0,1,2
flutter/flutter,157401,2,230,1,22.494444444444444,1812,0,2,2
flutter/flutter,157399,2,50,1,10.47,843,0,1,2
flutter/flutter,157394,3,19,7,24.05611111111111,1038,0,6,2
flutter/flutter,157393,3,2,8,41.132222222222225,317,0,7,3
flutter/flutter,157390,4,85,2,1.093888888888889,84,0,9,2
flutter/flutter,157389,1,1,1,17.3975,1016,0,1,2
flutter/flutter,157388,1,4,0,43.01777777777778,304,0,8,2
flutter/flutter,157380,2,0,72,1.0241666666666667,228,0,1,2
flutter/flutter,157369,30,90,90,5.790277777777778,0,0,1,2
flutter/flutter,157348,1,1,1,1.268888888888889,1028,0,1,2
flutter/flutter,157343,1,1,1,2.648888888888889,1028,0,1,2
flutter/flutter,157335,1,1,1,1.7805555555555554,912,0,1,2
flutter/flutter,157331,2,6,2,10.620833333333334,544,0,1,2
flutter/flutter,157330,2,78,1,18.1725,1836,0,1,2
flutter/flutter,157328,2,124,1,23.392777777777777,1824,0,1,2
flutter/flutter,157320,1,1,1,1.6827777777777777,778,0,1,2
flutter/flutter,157318,1,13,1,16.495277777777776,2142,0,2,3
flutter/flutter,157309,7,380,45,43.581944444444446,436,0,13,2
flutter/flutter,157304,1,1,1,1.748888888888889,942,0,1,2
flutter/flutter,157299,1,0,2,23.38083333333333,148,0,1,2
flutter/flutter,157294,3,12,4,1.3847222222222222,0,0,2,2
flutter/flutter,157293,1,1,4,1.7505555555555556,141,0,1,2
flutter/flutter,157291,1,2,2,3.193888888888889,902,0,1,2
flutter/flutter,157271,1,1,1,1.0316666666666667,1455,0,1,2
flutter/flutter,157268,4,7,3,23.760555555555555,1005,0,1,2
flutter/flutter,157258,3,55,1,22.205555555555556,1824,0,4,2
flutter/flutter,157253,30,82,66,68.7136111111111,2377,0,0,1
flutter/flutter,157251,1,2,6,19.188333333333333,85,0,1,2
flutter/flutter,157250,2,2,3,18.836944444444445,0,0,1,2
flutter/flutter,157248,25,44,44,20.8325,0,0,1,2
flutter/flutter,157246,1,1,1,20.355,761,0,1,2
flutter/flutter,157238,2,50,10,67.59361111111112,1882,0,0,1
flutter/flutter,157236,2,2,2,2.7822222222222224,904,0,1,2
flutter/flutter,157235,2,2,2,2.7655555555555558,904,0,1,2
flutter/flutter,157233,1,6,3,43.53805555555556,0,0,1,2
flutter/flutter,157230,1,16,0,77.09305555555555,0,0,4,2
flutter/flutter,157228,1,28,7,122.26805555555555,0,0,10,3
flutter/flutter,157227,1,11,0,77.9011111111111,0,0,4,2
flutter/flutter,157222,2,65,1,67.43277777777777,1839,0,1,2
flutter/flutter,157221,1,13,15,59.54694444444444,2258,0,8,3
flutter/flutter,157215,2,2,2,1.468611111111111,2702,0,1,2
flutter/flutter,157213,2,2,2,1.015,2579,0,1,2
flutter/flutter,157212,2,254,0,71.07972222222222,325,0,3,2
flutter/flutter,157197,1,1,1,4.151111111111111,1562,0,1,2
flutter/flutter,157196,1,6,2,66.09722222222223,2269,0,3,3
flutter/flutter,157195,20,162,131,92.09722222222223,778,0,3,3
flutter/flutter,157192,30,284,284,97.30111111111111,67,0,1,2
flutter/flutter,157191,23,103,43,1.8325,383,0,1,2
flutter/flutter,157190,7,349,0,99.05055555555556,495,0,2,2
flutter/flutter,157189,4,84,2,93.43888888888888,932,0,1,2
flutter/flutter,157187,1,0,3,66.21027777777778,1979,0,1,2
flutter/flutter,157186,5,35,42,67.55472222222222,470,0,1,2
flutter/flutter,157178,1,1,1,3.9644444444444447,778,0,1,2
flutter/flutter,157176,1,33,32,71.36555555555556,186,0,1,2
flutter/flutter,157171,1,1,1,1.0594444444444444,1214,0,1,2
flutter/flutter,157170,4,0,20,69.86138888888888,2326,0,1,2
flutter/flutter,157163,1,1,1,1.5333333333333334,845,0,1,2
flutter/flutter,157162,1,1,1,1.6119444444444444,1068,0,1,2
flutter/flutter,157147,1,1,1,1.6052777777777778,944,0,1,2
flutter/flutter,157143,1,1,1,1.013611111111111,1142,0,1,2
flutter/flutter,157139,1,1,1,2.5325,1009,0,1,2
flutter/flutter,157138,2,17,2,22.825833333333332,516,0,4,3
flutter/flutter,157137,1,1,1,1.1655555555555555,787,0,1,2
flutter/flutter,157136,1,13,1,17.923055555555557,472,0,4,3
flutter/flutter,157135,1,13,1,117.01027777777777,472,0,0,1
flutter/flutter,157132,2,87,7,20.13722222222222,6057,0,8,3
flutter/flutter,157131,6,84,1,91.20972222222223,341,0,0,1
flutter/flutter,157130,1,1,1,1.045,782,0,1,2
flutter/flutter,157119,1,1,1,1.0716666666666668,1467,0,1,2
flutter/flutter,157118,1,1,1,1.3494444444444444,1047,0,1,2
flutter/flutter,157107,3,103,56,95.01222222222222,1826,0,4,2
flutter/flutter,157101,1,1,1,2.2825,789,0,1,2
