repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
freeCodeCamp/freeCodeCamp,56820,2,0,310,6.799166666666666,811,0,2,3
freeCodeCamp/freeCodeCamp,56811,1,1,1,2.9722222222222223,1041,0,2,3
freeCodeCamp/freeCodeCamp,56809,5,5,2,12.423333333333334,841,0,2,3
freeCodeCamp/freeCodeCamp,56807,1,1,1,13.983611111111111,2164,0,1,2
freeCodeCamp/freeCodeCamp,56803,1,1,1,1.63,750,0,2,3
freeCodeCamp/freeCodeCamp,56798,30,30,30,6.632777777777778,752,0,2,3
freeCodeCamp/freeCodeCamp,56797,1,1,1,28.983333333333334,47,0,2,3
freeCodeCamp/freeCodeCamp,56794,10,91,61,5.6775,45,0,2,3
freeCodeCamp/freeCodeCamp,56793,5,1,7,24.82111111111111,921,0,2,3
freeCodeCamp/freeCodeCamp,56792,2,3,8,1.1427777777777777,750,0,1,1
freeCodeCamp/freeCodeCamp,56791,30,30,30,5.073611111111111,751,0,0,1
freeCodeCamp/freeCodeCamp,56789,1,16,7,3.1375,1156,0,3,3
freeCodeCamp/freeCodeCamp,56778,1,1,1,4.0575,47,0,2,3
freeCodeCamp/freeCodeCamp,56773,25,1432,11,44.335277777777776,898,0,5,3
freeCodeCamp/freeCodeCamp,56772,1,1,1,1.548888888888889,1030,0,4,4
freeCodeCamp/freeCodeCamp,56771,4,1234,382,39.2575,893,0,3,3
freeCodeCamp/freeCodeCamp,56769,15,21,20,21.02888888888889,1005,0,8,4
freeCodeCamp/freeCodeCamp,56768,1,1,1,2.9588888888888887,47,0,2,3
freeCodeCamp/freeCodeCamp,56763,8,9,9,1.5647222222222221,750,0,3,4
freeCodeCamp/freeCodeCamp,56761,1,100,100,68.68583333333333,750,0,6,4
freeCodeCamp/freeCodeCamp,56760,30,143,143,72.82,933,0,0,1
freeCodeCamp/freeCodeCamp,56758,1,98,104,3.5280555555555555,411,0,0,1
freeCodeCamp/freeCodeCamp,56755,1,1,1,13.448888888888888,771,0,2,3
freeCodeCamp/freeCodeCamp,56754,1,117,100,124.57,860,0,17,5
freeCodeCamp/freeCodeCamp,56753,1,2,0,23.915555555555557,890,0,2,3
freeCodeCamp/freeCodeCamp,56752,4,58,382,142.43805555555556,1239,0,2,3
freeCodeCamp/freeCodeCamp,56751,0,0,0,3.9694444444444446,735,0,0,1
freeCodeCamp/freeCodeCamp,56749,5,15,25,6.858611111111111,858,0,3,3
freeCodeCamp/freeCodeCamp,56748,30,2778,1,73.93722222222222,806,0,4,3
freeCodeCamp/freeCodeCamp,56747,30,141,166,103.68777777777778,750,0,3,2
freeCodeCamp/freeCodeCamp,56746,2,4,4,1.021388888888889,750,0,2,3
freeCodeCamp/freeCodeCamp,56741,2,3,3,99.00138888888888,839,0,2,3
freeCodeCamp/freeCodeCamp,56740,30,3625,1,5.933333333333334,806,0,2,3
freeCodeCamp/freeCodeCamp,56738,1,3,1,73.61916666666667,1099,0,2,3
freeCodeCamp/freeCodeCamp,56736,30,267,105,143.32333333333332,1379,0,2,3
freeCodeCamp/freeCodeCamp,56735,30,159,239,92.05111111111111,792,0,6,4
freeCodeCamp/freeCodeCamp,56734,30,2932,1,40.566944444444445,806,0,7,3
