repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ggerganov/llama.cpp,10032,1,3,2,2.7177777777777776,679,0,1,2
ggerganov/llama.cpp,10023,5,468,348,22.523611111111112,1785,0,1,2
ggerganov/llama.cpp,10021,4,73,29,14.444722222222222,726,0,3,2
ggerganov/llama.cpp,10019,1,7,11,2.363888888888889,439,0,2,3
ggerganov/llama.cpp,10016,4,34,13,1.6119444444444444,0,0,0,1
ggerganov/llama.cpp,10001,3,3,5,1.8352777777777778,437,0,3,2
ggerganov/llama.cpp,9995,1,127,41,28.850277777777777,198,0,10,2
ggerganov/llama.cpp,9994,2,4,4,1.6658333333333333,379,0,1,2
ggerganov/llama.cpp,9990,1,0,0,11.271666666666667,198,0,0,1
ggerganov/llama.cpp,9987,1,7,0,1.4269444444444443,317,0,0,1
ggerganov/llama.cpp,9985,1,1,1,1.403888888888889,402,0,1,2
ggerganov/llama.cpp,9972,1,1,0,10.2825,224,0,1,2
ggerganov/llama.cpp,9971,3,8,4,7.274444444444445,57,0,1,2
ggerganov/llama.cpp,9970,4,267,149,28.793055555555554,853,0,5,3
ggerganov/llama.cpp,9968,4,16,0,32.86888888888889,572,0,5,3
ggerganov/llama.cpp,9966,1,67,61,40.764722222222225,382,0,3,3
ggerganov/llama.cpp,9963,1,8,3,13.94138888888889,244,0,1,2
ggerganov/llama.cpp,9959,1,3,14,27.178055555555556,215,0,1,2
ggerganov/llama.cpp,9955,1,3,3,73.08472222222223,833,0,1,2
ggerganov/llama.cpp,9953,1,75,0,109.49555555555555,412,0,0,1
ggerganov/llama.cpp,9951,1,1,0,29.058888888888887,263,0,1,2
ggerganov/llama.cpp,9950,1,109,109,80.68305555555555,621,0,1,2
ggerganov/llama.cpp,9948,1,3,0,85.47888888888889,600,0,1,2
ggerganov/llama.cpp,9943,3,299,19,114.7388888888889,37060,0,8,2
ggerganov/llama.cpp,9942,1,1,0,48.73361111111111,362,0,1,2
