repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
github/gitignore,4504,1,173,0,363.74,690,0,0,1
github/gitignore,4503,1,1,3,57.047222222222224,344,0,1,2
github/gitignore,4493,1,2,0,1532.5866666666666,664,0,0,1
github/gitignore,4488,1,6,0,1030.506388888889,705,0,3,4
github/gitignore,4487,1,3,0,173.6538888888889,370,0,0,1
github/gitignore,4486,1,173,0,1247.6308333333334,832,0,1,2
github/gitignore,4485,1,14,0,1094.0558333333333,447,0,5,2
github/gitignore,4484,1,5,0,1108.161111111111,419,0,1,2
github/gitignore,4475,1,3,0,836.0469444444444,251,0,0,1
github/gitignore,4468,1,7,0,499.14694444444444,648,0,0,1
github/gitignore,4467,1,3,0,317.5113888888889,474,0,0,1
github/gitignore,4463,1,1,0,1757.0294444444444,43,0,0,1
github/gitignore,4459,1,37,0,1293.845,333,0,0,1
github/gitignore,4456,1,0,3,3.4944444444444445,466,0,1,2
github/gitignore,4454,1,47,0,81.27722222222222,107,0,1,2
github/gitignore,4452,1,9,0,26.0075,38,0,1,2
github/gitignore,4451,1,3,0,8.314166666666667,644,0,1,2
github/gitignore,4450,1,2,0,2531.3955555555553,38,0,4,3
github/gitignore,4449,1,3,0,2327.336111111111,617,0,2,2
github/gitignore,4448,1,11,0,188.53222222222223,1210,0,1,2
github/gitignore,4447,1,3,0,266.10583333333335,647,0,3,2
github/gitignore,4446,1,1,0,274.85277777777776,156,0,0,1
github/gitignore,4445,1,3,0,2624.597777777778,611,0,0,1
github/gitignore,4444,3,0,38,393.5827777777778,838,0,2,3
github/gitignore,4443,1,7,0,417.5111111111111,368,0,1,2
github/gitignore,4441,1,3,0,563.1055555555556,507,0,1,2
github/gitignore,4440,1,13,0,581.9613888888889,0,0,0,1
github/gitignore,4438,1,1,1,220.80166666666668,939,0,0,1
github/gitignore,4437,1,3,0,762.9541666666667,527,0,0,1
github/gitignore,4436,1,2,2,680.6358333333334,728,0,1,2
github/gitignore,4435,1,2,0,783.4761111111111,466,0,1,2
github/gitignore,4434,1,3,0,880.2497222222222,123,0,1,2
github/gitignore,4431,1,11,0,1197.2744444444445,777,0,3,2
github/gitignore,4430,1,149,0,3729.889166666667,167,0,0,1
github/gitignore,4429,1,2,0,1325.6058333333333,609,0,1,2
github/gitignore,4428,1,3,0,1415.5311111111112,377,0,3,3
github/gitignore,4421,1,27,0,1771.815,132,0,0,1
github/gitignore,4415,1,26,26,1826.5152777777778,147,0,0,1
github/gitignore,4413,1,15,2,392.1761111111111,84,0,0,1
github/gitignore,4411,1,1,1,145.33916666666667,271,0,0,1
github/gitignore,4409,1,7,7,16.04138888888889,304,0,0,1
github/gitignore,4408,1,6,0,6044.542777777778,1814,0,0,1
github/gitignore,4403,1,3,0,2870.9069444444444,95,0,1,2
github/gitignore,4401,1,3,0,800.2477777777777,1731,0,0,1
github/gitignore,4392,1,1,0,3467.7066666666665,1163,0,0,1
github/gitignore,4389,1,3,0,1475.64,120,0,0,1
github/gitignore,4388,1,2,0,6772.570555555556,884,0,1,2
github/gitignore,4382,1,3,0,4173.9141666666665,867,0,0,1
github/gitignore,4376,1,1,0,1267.9122222222222,612,0,0,1
github/gitignore,4373,1,5,0,5618.571944444445,288,0,0,1
github/gitignore,4354,1,3,0,8525.107777777777,431,0,4,4
github/gitignore,4348,1,3,0,1423.7677777777778,36,0,1,2
github/gitignore,4334,1,477,0,1957.8766666666668,328,0,1,2
github/gitignore,4324,1,0,4,7832.387222222223,561,0,3,4
github/gitignore,4321,3,15,2,7989.866944444444,418,0,1,2
github/gitignore,4313,1,1,0,240.24,111,0,1,2
github/gitignore,4310,1,2,2,3954.311388888889,1622,0,0,1
github/gitignore,4294,1,2,0,11649.657222222222,0,0,1,2
github/gitignore,4290,1,1,0,8932.434444444445,270,0,0,1
github/gitignore,4286,1,28,0,10346.134722222223,444,0,0,1
github/gitignore,4283,1,1,0,456.04055555555556,340,0,1,2
github/gitignore,4279,1,3,1,9486.16888888889,543,0,8,6
github/gitignore,4276,0,0,0,18.215833333333332,704,0,0,1
github/gitignore,4275,1,3,0,251.82472222222222,266,0,1,2
github/gitignore,4263,1,7,1,10873.413888888888,620,0,0,1
github/gitignore,4261,1,6,0,547.8938888888889,39,0,0,1
github/gitignore,4242,1,2,0,6915.231944444445,1363,0,0,1
github/gitignore,4239,1,3,0,5917.389166666667,519,0,1,2
github/gitignore,4232,1,1,0,2692.593611111111,300,0,0,1
github/gitignore,4230,1,39,33,11717.030833333334,514,0,0,1
github/gitignore,4225,1,29,26,10540.179722222223,609,0,0,1
github/gitignore,4220,1,12,0,12413.82888888889,244,0,1,2
github/gitignore,4219,1,21,0,12456.136666666667,415,0,0,1
github/gitignore,4214,1,4,0,1577.471388888889,866,0,0,1
github/gitignore,4213,1,2,2,5469.668333333333,222,0,0,1
github/gitignore,4206,1,3,0,12900.369166666667,709,0,0,1
github/gitignore,4205,1,5,0,12946.61611111111,620,0,0,1
github/gitignore,4202,1,4,0,12987.361666666666,482,0,1,2
github/gitignore,4200,2,2,0,4990.958611111111,299,0,0,1
github/gitignore,4198,1,7,7,15077.134444444444,375,0,0,1
github/gitignore,4197,1,1,0,1372.3997222222222,304,0,0,1
github/gitignore,4193,1,3,1,3873.6025,211,0,0,1
github/gitignore,4190,1,4,0,4434.4125,328,0,0,1
github/gitignore,4184,1,3,0,6281.235555555556,461,0,0,1
github/gitignore,4174,1,4,4,1970.0247222222222,957,0,0,1
github/gitignore,4168,1,17,0,5067.174166666667,725,0,0,1
github/gitignore,4166,1,3,0,856.8258333333333,304,0,0,1
github/gitignore,4160,1,126,0,3925.712777777778,644,0,0,1
github/gitignore,4154,1,70,0,9241.369444444445,566,0,0,1
github/gitignore,4152,1,10,0,14529.1125,397,0,0,1
github/gitignore,4140,1,30,0,9959.95638888889,323,0,4,2
github/gitignore,4137,1,269,0,2183.8866666666668,304,0,0,1
github/gitignore,4136,1,4,0,5738.209444444445,323,0,2,3
github/gitignore,4131,1,3,0,15572.822222222223,138,0,0,1
github/gitignore,4129,1,3,0,9043.88,697,0,0,1
github/gitignore,4127,1,6,1,14057.076666666666,240,0,0,1
github/gitignore,4122,1,3,0,1515.7805555555556,345,0,2,3
github/gitignore,4120,1,1,0,8879.663611111111,604,0,0,1
github/gitignore,4112,1,0,0,27.969444444444445,326,0,0,1
github/gitignore,4110,1,2,1,16517.424444444445,102,0,0,1
