repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
godotengine/godot,98490,2,7,3,5.813055555555556,95,0,3,3
godotengine/godot,98484,3,5,2,6.8675,590,0,0,1
godotengine/godot,98479,1,1,1,17.245555555555555,497,0,1,2
godotengine/godot,98473,1,1,0,21.049166666666668,1102,0,5,5
godotengine/godot,98468,8,414,204,19.849444444444444,636,0,0,1
godotengine/godot,98458,1,1,1,29.086666666666666,12,0,3,3
godotengine/godot,98455,2,8,1,30.9675,245,0,23,6
godotengine/godot,98451,2,26,2,34.388333333333335,47,0,2,3
godotengine/godot,98442,1,2,2,23.476666666666667,422,0,2,3
godotengine/godot,98438,2,3,3,44.92111111111111,884,0,5,5
godotengine/godot,98431,1,14,2,46.576388888888886,961,0,2,2
godotengine/godot,98427,2,4,1,48.89861111111111,243,0,1,2
godotengine/godot,98405,1,4,1,43.464166666666664,294,0,3,4
godotengine/godot,98404,3,5,13,1.4097222222222223,597,0,0,1
godotengine/godot,98391,3,8,0,25.219444444444445,13,0,2,3
godotengine/godot,98388,4,63,11,7.057777777777778,742,0,1,2
godotengine/godot,98380,2,2,4,78.87638888888888,466,0,3,3
godotengine/godot,98352,30,213,89,69.155,447,0,0,1
godotengine/godot,98351,7,108,18,21.89611111111111,497,0,0,1
godotengine/godot,98340,3,3,3,54.06027777777778,213,0,1,2
godotengine/godot,98336,1,4,1,66.41583333333334,266,0,4,4
godotengine/godot,98329,1,4,22,133.94972222222222,961,0,2,3
godotengine/godot,98316,1,14,2,40.08833333333333,676,0,0,1
godotengine/godot,98304,1,2,1,145.47972222222222,325,0,2,3
godotengine/godot,98299,1,1,1,78.9925,161,0,1,2
godotengine/godot,98294,4,71,63,81.29722222222222,761,0,1,2
godotengine/godot,98283,1,1,0,90.82972222222222,234,0,1,2
godotengine/godot,98271,6,48,12,25.7125,630,0,2,3
godotengine/godot,98267,2,31,12,103.20222222222222,306,0,1,2
godotengine/godot,98266,1,4,0,172.10333333333332,1404,0,5,3
godotengine/godot,98258,1,10,0,110.75888888888889,2098,0,1,2
godotengine/godot,98255,1,4,0,25.872222222222224,240,0,1,2
godotengine/godot,98254,1,2,2,26.47222222222222,0,0,2,3
godotengine/godot,98247,3,18,1,190.23111111111112,2981,0,6,2
godotengine/godot,98238,1,2,2,3.948888888888889,268,0,5,4
godotengine/godot,98237,25,23,4,128.36944444444444,1522,0,2,3
godotengine/godot,98236,2,24,13,128.8661111111111,23,0,1,2
godotengine/godot,98234,2,29,13,19.4675,449,0,2,3
godotengine/godot,98230,1,3,3,41.65638888888889,662,0,1,2
godotengine/godot,98226,1,1,0,132.1175,859,0,1,2
godotengine/godot,98222,4,13,16,39.10722222222222,1663,0,2,3
godotengine/godot,98212,3,146,43,145.50083333333333,590,0,3,3
godotengine/godot,98210,1,0,1,23.763333333333332,698,0,2,3
godotengine/godot,98203,6,63,13,153.77527777777777,415,0,4,3
