repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
gohugoio/hugo,12981,12,143,84,3.914722222222222,71,0,0,1
gohugoio/hugo,12979,2,58,58,23.445,20273,0,0,1
gohugoio/hugo,12978,2,20,3,6.889444444444444,12,0,0,1
gohugoio/hugo,12975,1,2,2,5.664722222222222,368,0,0,1
gohugoio/hugo,12972,4,32,4,1.313611111111111,37,0,0,1
gohugoio/hugo,12959,2,14,30,3.4480555555555554,400,0,0,1
gohugoio/hugo,12953,2,58,58,167.92111111111112,20661,0,0,1
gohugoio/hugo,12952,2,3,3,23.780555555555555,4223,0,0,1
gohugoio/hugo,12951,2,37,38,1.1122222222222222,13,0,0,1
gohugoio/hugo,12947,2,34,1,2.0058333333333334,12,0,0,1
gohugoio/hugo,12942,2,58,58,24.18861111111111,21235,0,0,1
gohugoio/hugo,12938,2,41,8,21.338333333333335,261,0,2,2
gohugoio/hugo,12936,2,3,3,5.18,6603,0,0,1
gohugoio/hugo,12935,2,6,6,4.181666666666667,5955,0,0,1
gohugoio/hugo,12934,2,3,3,4.161388888888889,2376,0,0,1
gohugoio/hugo,12933,2,3,3,4.1497222222222225,2664,0,0,1
gohugoio/hugo,12932,2,3,3,23.754166666666666,4173,0,0,1
gohugoio/hugo,12931,16,27,26,28.07,100,0,7,3
gohugoio/hugo,12930,1,3,3,9.373888888888889,565,0,0,1
gohugoio/hugo,12928,2,21,5,36.573055555555555,13,0,0,1
gohugoio/hugo,12927,2,17,0,48.14194444444445,49,0,2,2
gohugoio/hugo,12924,2,15,15,29.246111111111112,4019,0,0,1
gohugoio/hugo,12923,2,6,6,29.255277777777778,3998,0,0,1
gohugoio/hugo,12921,5,125,101,105.24111111111111,1513,0,0,1
gohugoio/hugo,12919,2,15,15,53.49611111111111,4040,0,0,1
gohugoio/hugo,12914,2,15,15,23.198888888888888,3824,0,0,1
gohugoio/hugo,12909,2,15,15,24.2875,3802,0,0,1
gohugoio/hugo,12908,1,2,2,1.5433333333333332,0,0,0,1
gohugoio/hugo,12905,2,55,2,12.2725,81,0,0,1
gohugoio/hugo,12904,2,15,15,71.77694444444444,3803,0,0,1
gohugoio/hugo,12903,1,1,1,138.98888888888888,249,0,0,1
gohugoio/hugo,12901,3,6,6,243.23444444444445,412,0,1,2
gohugoio/hugo,12896,2,3,3,215.59722222222223,3879,0,0,1
gohugoio/hugo,12895,2,3,3,268.78805555555556,9057,0,0,1
gohugoio/hugo,12894,2,3,3,268.7341666666667,13090,0,0,1
gohugoio/hugo,12893,2,3,3,215.7186111111111,5527,0,0,1
gohugoio/hugo,12892,2,15,15,96.0725,3976,0,0,1
gohugoio/hugo,12889,3,14,6,11.106944444444444,88,0,0,1
gohugoio/hugo,12888,2,29,84,231.23527777777778,678,0,2,2
gohugoio/hugo,12887,18,71,82,11.508055555555556,1359,0,0,1
gohugoio/hugo,12882,2,61,61,25.82027777777778,19393,0,0,1
gohugoio/hugo,12881,3,25,10,4.878611111111111,87,0,1,2
