repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
goldbergyoni/nodebestpractices,1298,2,35,4,496.4580555555556,608,0,0,1
goldbergyoni/nodebestpractices,1296,1,1,1,34.37138888888889,211,0,0,1
goldbergyoni/nodebestpractices,1293,1,16,1,17.86611111111111,0,0,0,1
goldbergyoni/nodebestpractices,1287,1,2,4,2782.385277777778,19,0,0,1
goldbergyoni/nodebestpractices,1273,1,7,7,153.825,9,0,1,2
goldbergyoni/nodebestpractices,1267,2,10,7,498.47194444444443,75,0,1,2
goldbergyoni/nodebestpractices,1263,1,1925,0,51.46111111111111,175,0,1,2
goldbergyoni/nodebestpractices,1262,1,1,1,24.01638888888889,13,0,1,2
goldbergyoni/nodebestpractices,1261,30,2391,2812,646.2925,65,0,0,1
goldbergyoni/nodebestpractices,1260,1,16,16,126.54527777777778,0,0,1,2
goldbergyoni/nodebestpractices,1259,1,1,1,16.33361111111111,26,0,1,2
goldbergyoni/nodebestpractices,1258,2,5,4,38.31444444444445,34,0,1,2
goldbergyoni/nodebestpractices,1256,1,2,1,9105.789444444445,94,0,0,1
goldbergyoni/nodebestpractices,1252,1,2,1,2456.325,0,0,1,2
goldbergyoni/nodebestpractices,1251,1,2,1,3413.053611111111,46,0,0,1
goldbergyoni/nodebestpractices,1246,5,176,186,617.2791666666667,124,0,0,1
goldbergyoni/nodebestpractices,1240,13,420,243,21.68777777777778,44,0,5,3
goldbergyoni/nodebestpractices,1238,1,31,3,193.27833333333334,0,0,1,2
goldbergyoni/nodebestpractices,1237,1,15,3,193.4686111111111,0,0,1,2
goldbergyoni/nodebestpractices,1235,1,0,0,83.56194444444445,106,0,1,2
goldbergyoni/nodebestpractices,1234,1,1,1,149.2125,16,0,2,2
goldbergyoni/nodebestpractices,1233,10,2,1290,265.3888888888889,160,0,1,2
goldbergyoni/nodebestpractices,1232,1,1,1,265.64194444444445,0,0,1,2
goldbergyoni/nodebestpractices,1229,1,2,2,172.57194444444445,55,0,1,2
goldbergyoni/nodebestpractices,1227,1,1,1,36.95666666666666,0,0,3,3
goldbergyoni/nodebestpractices,1226,7,1163,1147,43.84222222222222,188,0,1,2
goldbergyoni/nodebestpractices,1224,2,2,2,33.088055555555556,0,0,1,2
goldbergyoni/nodebestpractices,1222,1,1,1,10767.9675,0,0,0,1
goldbergyoni/nodebestpractices,1218,3,7,7,2212.0280555555555,0,0,2,3
goldbergyoni/nodebestpractices,1216,1,1,1,23.309722222222224,0,0,1,2
goldbergyoni/nodebestpractices,1215,1,1,1,814.9394444444445,0,0,3,4
goldbergyoni/nodebestpractices,1208,9,9,9,347.4927777777778,102,0,1,2
goldbergyoni/nodebestpractices,1207,1,1,1,9213.097777777777,0,0,0,1
goldbergyoni/nodebestpractices,1205,1,2,2,863.5938888888888,166,0,1,2
goldbergyoni/nodebestpractices,1204,7,1505,1477,1663.2033333333334,192,0,2,3
goldbergyoni/nodebestpractices,1203,12,89,121,18.27638888888889,17990,0,1,2
goldbergyoni/nodebestpractices,1201,7,1503,1476,921.0166666666667,185,0,1,2
goldbergyoni/nodebestpractices,1200,1,1,1,1064.068888888889,197,0,0,1
goldbergyoni/nodebestpractices,1199,1,1,4,1064.5691666666667,198,0,1,2
goldbergyoni/nodebestpractices,1198,1,1,1,1067.1541666666667,187,0,1,2
goldbergyoni/nodebestpractices,1197,2,1,1,22.266944444444444,114,0,1,2
goldbergyoni/nodebestpractices,1192,4,122,122,13324.912777777778,68,0,3,4
goldbergyoni/nodebestpractices,1191,1,0,1,11.109444444444444,342,0,1,2
goldbergyoni/nodebestpractices,1190,7,27,0,11.323055555555555,185,0,1,2
goldbergyoni/nodebestpractices,1187,1,1,1,2856.1369444444445,0,0,2,2
goldbergyoni/nodebestpractices,1186,1,78,29,344.81111111111113,0,0,1,2
goldbergyoni/nodebestpractices,1185,2,31,0,200.06527777777777,24,0,5,2
goldbergyoni/nodebestpractices,1183,1,3,2,8.398333333333333,91,0,1,2
goldbergyoni/nodebestpractices,1179,7,16,0,249.99416666666667,188,0,2,2
goldbergyoni/nodebestpractices,1176,1,1,1,250.2097222222222,0,0,1,2
goldbergyoni/nodebestpractices,1174,1,1,1,298.3675,0,0,0,1
goldbergyoni/nodebestpractices,1173,1,1,1,19.569444444444443,0,0,1,2
goldbergyoni/nodebestpractices,1172,30,1,5,612.4441666666667,0,0,1,2
goldbergyoni/nodebestpractices,1170,1,4,3,860.9330555555556,41,0,4,2
goldbergyoni/nodebestpractices,1167,7,15,0,233.03222222222223,178,0,1,2
goldbergyoni/nodebestpractices,1166,1,1,1,233.07833333333335,0,0,1,2
goldbergyoni/nodebestpractices,1165,8,10,10,11.469166666666666,33,0,1,2
goldbergyoni/nodebestpractices,1164,1,1,1,268.6897222222222,0,0,1,2
goldbergyoni/nodebestpractices,1163,9,302,302,6.980833333333333,495,0,1,2
goldbergyoni/nodebestpractices,1162,7,1167,956,456.0838888888889,184,0,1,2
goldbergyoni/nodebestpractices,1161,1,1,1,456.15222222222224,0,0,0,1
goldbergyoni/nodebestpractices,1160,1,1,1,19.538611111111113,24,0,2,3
goldbergyoni/nodebestpractices,1156,1,1,1,16.1925,0,0,1,2
goldbergyoni/nodebestpractices,1155,2,12,0,1.031111111111111,183,0,0,1
goldbergyoni/nodebestpractices,1152,4,85,12,40.46805555555556,202,0,1,2
goldbergyoni/nodebestpractices,1150,1,1,3,4.801388888888889,0,0,1,2
goldbergyoni/nodebestpractices,1149,2,10,0,2.161111111111111,181,0,1,2
goldbergyoni/nodebestpractices,1148,1,3,3,3.4691666666666667,110,0,1,2
goldbergyoni/nodebestpractices,1147,1,13,3,98.38027777777778,17,0,2,2
goldbergyoni/nodebestpractices,1144,8,86,17,618.7113888888889,897,0,8,4
goldbergyoni/nodebestpractices,1143,1,2,1,614.2122222222222,35,0,1,2
goldbergyoni/nodebestpractices,1141,1,1,1,312.8433333333333,0,0,1,2
goldbergyoni/nodebestpractices,1140,1,14,3,10.753055555555555,18,0,1,2
goldbergyoni/nodebestpractices,1139,3,46,49,3237.2833333333333,0,0,1,2
goldbergyoni/nodebestpractices,1135,1,1,1,8.119444444444444,0,0,1,2
goldbergyoni/nodebestpractices,1133,3,14,16,287.27222222222224,0,0,1,2
goldbergyoni/nodebestpractices,1129,1,1,1,34.54638888888889,50,0,1,2
goldbergyoni/nodebestpractices,1127,1,1,1,1182.7675,98,0,1,2
goldbergyoni/nodebestpractices,1125,10,777,101,1832.3280555555555,0,0,7,2
goldbergyoni/nodebestpractices,1124,1,0,2,1920.5408333333332,0,0,1,2
goldbergyoni/nodebestpractices,1123,1,6,0,1920.6352777777777,0,0,1,2
goldbergyoni/nodebestpractices,1115,1,1,1,6.770277777777777,0,0,1,2
goldbergyoni/nodebestpractices,1114,18,591,92,4713.6475,42,0,9,2
goldbergyoni/nodebestpractices,1113,30,9735,1880,16.524444444444445,43,0,0,1
goldbergyoni/nodebestpractices,1107,1,1,1,15.501388888888888,0,0,1,2
goldbergyoni/nodebestpractices,1106,2,10,0,1.248888888888889,179,0,0,1
goldbergyoni/nodebestpractices,1104,1,1,1,37.312222222222225,0,0,1,2
goldbergyoni/nodebestpractices,1102,1,0,1,5.229722222222223,0,0,1,2
goldbergyoni/nodebestpractices,1099,1,1,1,52.25361111111111,50,0,1,2
goldbergyoni/nodebestpractices,1098,1,1,1,21.42,334,0,2,3
goldbergyoni/nodebestpractices,1097,25,652,318,4067.2644444444445,0,0,1,2
goldbergyoni/nodebestpractices,1096,1,1,1,243.10805555555555,20,0,1,2
goldbergyoni/nodebestpractices,1095,20,757,169,2486.466388888889,54,0,12,3
goldbergyoni/nodebestpractices,1094,1,56,54,8.384722222222223,23,0,1,2
goldbergyoni/nodebestpractices,1091,30,9727,1891,116.22472222222223,0,0,0,1
goldbergyoni/nodebestpractices,1088,2,13,11,114.17166666666667,13,0,0,1
goldbergyoni/nodebestpractices,1086,2,15,15,413.74833333333333,0,0,11,2
goldbergyoni/nodebestpractices,1085,10,447,49,413.02694444444444,104,0,4,2
goldbergyoni/nodebestpractices,1083,1,171,15,671.6194444444444,313,0,5,3
goldbergyoni/nodebestpractices,1081,1,32,0,2229.643611111111,0,0,0,1
