repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
gothinkster/realworld,1597,2,21,13,215.86416666666668,13704,0,0,1
gothinkster/realworld,1596,1,202,40,215.86222222222221,17029,0,0,1
gothinkster/realworld,1595,1,8,15,215.86166666666668,5482,0,0,1
gothinkster/realworld,1589,1,27,16,300.2361111111111,14070,0,0,1
gothinkster/realworld,1588,1,139,33,326.7575,9439,0,0,1
gothinkster/realworld,1587,1,3,6,326.7627777777778,3614,0,0,1
gothinkster/realworld,1586,1,22,21,542.6266666666667,12409,0,0,1
gothinkster/realworld,1582,1,2,2,340.12444444444446,148,0,0,1
gothinkster/realworld,1581,1,1,1,340.3088888888889,142,0,0,1
gothinkster/realworld,1580,1,54,2,379.105,1226,0,0,1
gothinkster/realworld,1575,1,82,34,167.99083333333334,13897,0,0,1
gothinkster/realworld,1574,2,12,12,494.755,13906,0,0,1
gothinkster/realworld,1573,1,1,1,487.81083333333333,230,0,0,1
gothinkster/realworld,1568,1,49,9,168.03527777777776,15428,0,0,1
gothinkster/realworld,1567,1,21,21,336.0205555555556,10731,0,0,1
gothinkster/realworld,1566,1,2,1,168.04055555555556,8121,0,0,1
gothinkster/realworld,1565,1,1,1,651.8855555555556,182,0,0,1
gothinkster/realworld,1563,1,21,21,167.48888888888888,10763,0,0,1
gothinkster/realworld,1560,1,1,4,167.5036111111111,15817,0,0,1
gothinkster/realworld,1549,1,18,17,46.4025,182,0,0,1
gothinkster/realworld,1534,2,548,35,5052.134166666667,8078,0,0,1
gothinkster/realworld,1533,2,9,9,5052.1875,23877,0,0,1
gothinkster/realworld,1532,2,10,10,5052.250277777778,23840,0,0,1
gothinkster/realworld,1531,2,669,14,5052.313055555555,14156,0,0,1
gothinkster/realworld,1530,2,481,31,5052.681666666666,14093,0,0,1
gothinkster/realworld,1529,2,7,7,5052.755,23618,0,0,1
gothinkster/realworld,1528,2,9,9,5052.966666666666,11862,0,0,1
gothinkster/realworld,1527,2,5,5,5114.503055555556,4382,0,0,1
gothinkster/realworld,1526,2,10,10,168.36638888888888,18470,0,0,1
gothinkster/realworld,1525,1,3,3,5348.277777777777,4233,0,0,1
gothinkster/realworld,1524,2,669,14,336.66027777777776,14696,0,0,1
gothinkster/realworld,1523,2,482,37,5389.624444444445,7957,0,0,1
gothinkster/realworld,1519,21,143,173,1.168611111111111,182,0,2,3
gothinkster/realworld,1518,2,392,74,5556.661388888889,7743,0,0,1
gothinkster/realworld,1517,2,608,20,5556.735833333333,5602,0,0,1
gothinkster/realworld,1516,2,427,33,5556.971388888889,7936,0,0,1
gothinkster/realworld,1515,2,481,31,504.37333333333333,13322,0,0,1
gothinkster/realworld,1514,2,641,53,5557.2461111111115,6571,0,0,1
gothinkster/realworld,1511,2,641,53,167.71833333333333,7014,0,0,1
gothinkster/realworld,1510,2,660,14,336.1213888888889,13466,0,0,1
gothinkster/realworld,1509,2,392,74,168.5338888888889,8186,0,0,1
gothinkster/realworld,1508,2,515,31,168.25972222222222,12072,0,0,1
gothinkster/realworld,1507,2,608,20,168.67138888888888,6045,0,0,1
gothinkster/realworld,1506,2,9,9,673.2925,20970,0,0,1
gothinkster/realworld,1505,2,10,10,504.91055555555556,20332,0,0,1
gothinkster/realworld,1504,2,548,35,673.4175,8509,0,0,1
gothinkster/realworld,1503,2,7,7,672.8513888888889,20853,0,0,1
gothinkster/realworld,1502,2,392,74,168.04555555555555,9068,0,0,1
gothinkster/realworld,1501,2,608,20,167.9911111111111,6927,0,0,1
gothinkster/realworld,1500,2,4,4,5893.722222222223,13828,0,0,1
gothinkster/realworld,1499,2,7,7,335.0775,21698,0,0,1
gothinkster/realworld,1498,2,515,31,335.55,13469,0,0,1
gothinkster/realworld,1497,2,641,53,335.9347222222222,10343,0,0,1
gothinkster/realworld,1496,2,608,20,167.58833333333334,9374,0,0,1
gothinkster/realworld,1495,2,482,37,671.5325,11617,0,0,1
gothinkster/realworld,1494,2,9,9,335.69694444444445,22019,0,0,1
gothinkster/realworld,1493,2,427,33,504.2127777777778,11708,0,0,1
gothinkster/realworld,1492,2,392,74,168.0675,11671,0,0,1
gothinkster/realworld,1491,2,5,5,1083.4208333333333,3604,0,0,1
gothinkster/realworld,1490,2,10,10,503.3338888888889,21601,0,0,1
gothinkster/realworld,1489,2,479,37,167.71194444444444,9816,0,0,1
gothinkster/realworld,1488,2,9,9,167.8213888888889,22297,0,0,1
gothinkster/realworld,1487,2,515,31,168.28083333333333,15038,0,0,1
gothinkster/realworld,1486,2,7,7,168.58527777777778,22063,0,0,1
gothinkster/realworld,1485,1,1,1,6229.420555555555,2188,0,0,1
gothinkster/realworld,1484,1,3,3,6311.559722222222,2819,0,0,1
gothinkster/realworld,1483,2,425,30,334.8886111111111,9239,0,0,1
gothinkster/realworld,1482,2,390,71,334.81,8408,0,0,1
gothinkster/realworld,1481,2,541,31,670.7027777777778,9442,0,0,1
gothinkster/realworld,1480,2,605,20,335.30944444444447,7389,0,0,1
gothinkster/realworld,1479,2,9,9,167.4413888888889,19378,0,0,1
gothinkster/realworld,1478,2,633,48,335.75444444444446,7893,0,0,1
gothinkster/realworld,1477,2,10,10,335.4,1969,0,0,1
gothinkster/realworld,1476,2,9,9,168.2097222222222,17936,0,0,1
gothinkster/realworld,1475,2,7,7,335.50333333333333,17764,0,0,1
gothinkster/realworld,1474,2,633,48,335.6736111111111,1943,0,0,1
gothinkster/realworld,1473,2,425,30,336.2680555555556,1942,0,0,1
gothinkster/realworld,1472,2,541,31,336.095,1945,0,0,1
gothinkster/realworld,1471,2,476,34,503.6136111111111,1943,0,0,1
gothinkster/realworld,1470,2,9,9,167.8975,1961,0,0,1
gothinkster/realworld,1469,2,390,71,336.59305555555557,8580,0,0,1
gothinkster/realworld,1468,2,7,7,167.96583333333334,16057,0,0,1
gothinkster/realworld,1467,2,10,10,168.5847222222222,15579,0,0,1
gothinkster/realworld,1466,2,605,20,336.585,7561,0,0,1
gothinkster/realworld,1465,2,425,30,168.6352777777778,8526,0,0,1
gothinkster/realworld,1464,2,527,30,168.6375,8261,0,0,1
gothinkster/realworld,1463,2,6,6,168.28916666666666,12802,0,0,1
gothinkster/realworld,1462,2,510,14,672.0316666666666,5865,0,0,1
gothinkster/realworld,1461,2,8,8,168.67055555555555,12914,0,0,1
gothinkster/realworld,1460,2,390,71,168.56583333333333,8639,0,0,1
gothinkster/realworld,1459,2,9,9,168.50611111111112,13026,0,0,1
gothinkster/realworld,1458,2,592,20,168.4988888888889,8020,0,0,1
