repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
grafana/grafana,95362,3,43,43,1.0375,2273,0,1,2
grafana/grafana,95352,1,8,0,1.3419444444444444,893,0,1,2
grafana/grafana,95351,3,91,47,5.896111111111111,2182,0,1,2
grafana/grafana,95334,5,100,5,5.294444444444444,675,0,1,2
grafana/grafana,95331,1,1,1,3.631111111111111,391,0,1,2
grafana/grafana,95311,1,20,7,2.395,633,0,2,3
grafana/grafana,95310,1,2,1,14.455555555555556,197,0,0,1
grafana/grafana,95293,1,4,0,1.9833333333333334,876,0,2,3
grafana/grafana,95277,6,87,28,17.54888888888889,530,0,2,2
grafana/grafana,95257,10,27,1,24.40388888888889,692,0,5,3
grafana/grafana,95253,1,170,0,25.75777777777778,2537,0,5,2
grafana/grafana,95250,7,9,10,3.136388888888889,70,0,1,2
grafana/grafana,95240,21,44,44,2.8183333333333334,1932,0,0,1
grafana/grafana,95239,3,166,26,27.61888888888889,284,0,2,2
grafana/grafana,95238,6,28,0,1.4722222222222223,178,0,1,2
grafana/grafana,95235,6,10,9,25.934722222222224,195,0,2,3
grafana/grafana,95224,5,0,15,3.2552777777777777,675,0,1,2
grafana/grafana,95218,1,1,1,30.6075,2201,0,1,2
grafana/grafana,95217,2,4,2,3.3025,0,0,1,2
grafana/grafana,95215,11,357,634,16.79138888888889,269,0,1,2
grafana/grafana,95213,1,26,10,8.172222222222222,221,0,1,2
grafana/grafana,95212,30,107,175,40.45055555555555,2225,0,2,3
grafana/grafana,95211,2,38,6,17.87638888888889,207,0,0,1
grafana/grafana,95203,1,12,0,44.55222222222222,864,0,1,2
grafana/grafana,95199,1,11,1,9.85138888888889,2675,0,0,1
grafana/grafana,95197,1,39,0,2.4672222222222224,36,0,1,2
grafana/grafana,95196,30,85,47,2.816666666666667,61,0,1,2
grafana/grafana,95193,1,5,0,1.965,36,0,0,1
grafana/grafana,95192,3,77,34,28.018055555555556,262,0,7,3
grafana/grafana,95191,1,18,11,17.075,298,0,2,3
grafana/grafana,95185,1,8,0,23.748055555555556,235,0,0,1
grafana/grafana,95184,4,48,23,22.107777777777777,222,0,2,2
grafana/grafana,95183,2,28,39,43.1675,222,0,2,3
grafana/grafana,95179,1,3,3,17.425555555555555,2350,0,1,2
grafana/grafana,95178,15,39,38,43.1775,2366,0,1,2
grafana/grafana,95177,30,61,46,1.2230555555555556,61,0,2,3
grafana/grafana,95176,1,15,0,1.2986111111111112,36,0,1,2
grafana/grafana,95173,1,1,1,5.721388888888889,0,0,1,2
grafana/grafana,95164,30,58,46,1.0591666666666666,61,0,2,3
grafana/grafana,95161,1,21,9,1.136388888888889,36,0,1,2
grafana/grafana,95159,2,2,2,45.78638888888889,2147,0,2,3
grafana/grafana,95156,2,2,2,22.990555555555556,854,0,1,2
grafana/grafana,95155,4,111,23,1.2205555555555556,465,0,1,2
grafana/grafana,95151,5,62,15,5.2225,152,0,1,2
grafana/grafana,95149,1,3,3,1.5116666666666667,2834,0,1,2
grafana/grafana,95143,30,49,38,1.1044444444444443,61,0,1,2
grafana/grafana,95142,3,190,7,2.1019444444444444,935,0,1,2
grafana/grafana,95141,1,11,0,1.1808333333333334,37,0,1,2
grafana/grafana,95139,2,364,39,1.805,4109,0,1,2
grafana/grafana,95134,3,18,19,24.33861111111111,1057,0,2,2
grafana/grafana,95133,1,2,2,3.221388888888889,327,0,1,2
grafana/grafana,95132,2,35,0,1.015,2388,0,1,2
grafana/grafana,95131,30,47,37,1.2486111111111111,61,0,2,3
grafana/grafana,95130,1,24,24,1.7205555555555556,2465,0,0,1
grafana/grafana,95129,5,10,0,2.4922222222222223,675,0,1,2
grafana/grafana,95128,1,10,0,1.3905555555555555,37,0,1,2
