repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
h5bp/Front-end-Developer-Interview-Questions,901,2,5,5,720.1711111111111,5496,0,0,1
h5bp/Front-end-Developer-Interview-Questions,899,1,6,0,2.6927777777777777,320,0,0,1
h5bp/Front-end-Developer-Interview-Questions,896,1,3,3,343.44194444444446,6175,0,1,2
h5bp/Front-end-Developer-Interview-Questions,895,1,21,7,389.4325,4391,0,1,2
h5bp/Front-end-Developer-Interview-Questions,894,1,201,225,478.32694444444445,544,0,1,2
h5bp/Front-end-Developer-Interview-Questions,893,2,5,5,2207.8975,5008,0,0,1
h5bp/Front-end-Developer-Interview-Questions,890,1,3,3,273.2558333333333,4083,0,1,2
h5bp/Front-end-Developer-Interview-Questions,889,1,1,1,285.14722222222224,13846,0,1,2
h5bp/Front-end-Developer-Interview-Questions,887,1,1,1,59.26111111111111,368,0,1,2
h5bp/Front-end-Developer-Interview-Questions,886,1,0,1,74.3163888888889,755,0,1,2
h5bp/Front-end-Developer-Interview-Questions,885,1,42,0,1970.1561111111112,301,0,1,2
h5bp/Front-end-Developer-Interview-Questions,884,1,4,0,291.94916666666666,299,0,1,2
h5bp/Front-end-Developer-Interview-Questions,883,1,4,0,2353.728611111111,301,0,1,2
h5bp/Front-end-Developer-Interview-Questions,882,1,33,0,2353.7680555555557,301,0,2,2
h5bp/Front-end-Developer-Interview-Questions,881,1,1,1,304.88166666666666,360,0,1,2
h5bp/Front-end-Developer-Interview-Questions,879,4,83,0,63.89138888888889,347,0,0,1
h5bp/Front-end-Developer-Interview-Questions,878,2,9,9,15.467777777777778,4980,0,1,2
h5bp/Front-end-Developer-Interview-Questions,877,1,1,0,2.3905555555555558,513,0,0,1
h5bp/Front-end-Developer-Interview-Questions,876,1,3,0,998.6361111111111,349,0,3,2
h5bp/Front-end-Developer-Interview-Questions,874,1,78,90,8.920555555555556,637,0,1,2
h5bp/Front-end-Developer-Interview-Questions,873,1,3,3,162.05527777777777,13899,0,1,2
h5bp/Front-end-Developer-Interview-Questions,872,2,85,20,1527.1191666666666,4959,0,1,2
h5bp/Front-end-Developer-Interview-Questions,867,4,836,280,2.4588888888888887,926,0,0,1
h5bp/Front-end-Developer-Interview-Questions,866,1,2,1,12.911666666666667,882,0,0,1
h5bp/Front-end-Developer-Interview-Questions,865,2,219,0,761.2333333333333,264,0,1,2
h5bp/Front-end-Developer-Interview-Questions,863,2,5,5,303.27194444444444,3413,0,1,2
h5bp/Front-end-Developer-Interview-Questions,862,2,5,5,303.10083333333336,4346,0,1,2
h5bp/Front-end-Developer-Interview-Questions,860,1,1,1,169.81416666666667,8742,0,1,2
h5bp/Front-end-Developer-Interview-Questions,858,1,23,0,86.50527777777778,1009,0,1,2
h5bp/Front-end-Developer-Interview-Questions,857,1,99,129,98.29222222222222,766,0,1,2
h5bp/Front-end-Developer-Interview-Questions,856,1,2,1,693.9586111111112,285,0,1,2
h5bp/Front-end-Developer-Interview-Questions,851,1,155,236,27.032222222222224,779,0,3,2
h5bp/Front-end-Developer-Interview-Questions,850,2,2,2,20.029722222222222,13078,0,1,2
h5bp/Front-end-Developer-Interview-Questions,849,2,5,5,36.44583333333333,4763,0,1,2
h5bp/Front-end-Developer-Interview-Questions,848,2,5,5,36.33861111111111,4951,0,1,2
h5bp/Front-end-Developer-Interview-Questions,847,1,3,0,21.024722222222223,270,0,4,2
h5bp/Front-end-Developer-Interview-Questions,846,1,172,290,86.2175,366,0,1,2
h5bp/Front-end-Developer-Interview-Questions,808,3,8,2,52.80138888888889,549,0,1,2
h5bp/Front-end-Developer-Interview-Questions,807,1,2,0,179.87694444444443,895,0,0,1
h5bp/Front-end-Developer-Interview-Questions,805,1,1,0,222.1263888888889,318,0,3,2
h5bp/Front-end-Developer-Interview-Questions,803,2,24,5,856.7063888888889,4865,0,1,2
h5bp/Front-end-Developer-Interview-Questions,802,1,1,1,1081.5227777777777,1009,0,1,2
h5bp/Front-end-Developer-Interview-Questions,801,1,3,0,1134.4366666666667,948,0,2,3
h5bp/Front-end-Developer-Interview-Questions,796,1,1,0,2279.567777777778,223,0,5,2
h5bp/Front-end-Developer-Interview-Questions,795,2,24,5,1463.4541666666667,4123,0,0,1
h5bp/Front-end-Developer-Interview-Questions,794,1,40,40,2336.581111111111,1072,0,2,2
h5bp/Front-end-Developer-Interview-Questions,793,1,2,0,2464.589722222222,655,0,1,2
h5bp/Front-end-Developer-Interview-Questions,789,2,8,8,15.426944444444445,3855,0,0,1
h5bp/Front-end-Developer-Interview-Questions,788,2,5,157,15.697222222222223,6953,0,1,2
h5bp/Front-end-Developer-Interview-Questions,787,1,6,6,27.639166666666668,4122,0,1,2
h5bp/Front-end-Developer-Interview-Questions,786,1,379,440,760.0827777777778,5023,0,1,2
h5bp/Front-end-Developer-Interview-Questions,785,1,0,14,759.9322222222222,16461,0,1,2
h5bp/Front-end-Developer-Interview-Questions,783,2,8,8,7.725555555555555,2983,0,1,2
h5bp/Front-end-Developer-Interview-Questions,782,2,702,2599,744.0030555555555,12745,0,0,1
h5bp/Front-end-Developer-Interview-Questions,781,1,165,257,10.041944444444445,13376,0,0,1
h5bp/Front-end-Developer-Interview-Questions,780,2,702,2599,1481.7830555555556,21199,0,0,1
h5bp/Front-end-Developer-Interview-Questions,779,1,165,257,10.030555555555555,9742,0,1,2
h5bp/Front-end-Developer-Interview-Questions,777,2,8,8,670.4861111111111,5844,0,1,2
h5bp/Front-end-Developer-Interview-Questions,775,2,8,8,1210.3316666666667,3098,0,1,2
h5bp/Front-end-Developer-Interview-Questions,774,2,8,8,65.29305555555555,4055,0,1,2
h5bp/Front-end-Developer-Interview-Questions,773,2,8,8,65.28333333333333,3490,0,1,2
h5bp/Front-end-Developer-Interview-Questions,772,2,9,1,6500.611944444445,948,0,1,2
h5bp/Front-end-Developer-Interview-Questions,771,2,8,8,133.62194444444444,3435,0,1,2
h5bp/Front-end-Developer-Interview-Questions,770,2,115,132,137.31083333333333,3810,0,1,2
h5bp/Front-end-Developer-Interview-Questions,769,1,6,6,42.16,8424,0,1,2
h5bp/Front-end-Developer-Interview-Questions,768,1,12,12,498.4897222222222,3781,0,1,2
h5bp/Front-end-Developer-Interview-Questions,764,2,8,8,720.0008333333334,2722,0,0,1
h5bp/Front-end-Developer-Interview-Questions,763,2,8,8,359.01,5245,0,1,2
h5bp/Front-end-Developer-Interview-Questions,759,1,1,0,93.46972222222222,384,0,1,2
h5bp/Front-end-Developer-Interview-Questions,758,2,8,8,779.5461111111111,3279,0,1,2
h5bp/Front-end-Developer-Interview-Questions,757,2,14,14,190.58083333333335,8514,0,1,2
h5bp/Front-end-Developer-Interview-Questions,756,2,8,8,65.31277777777778,5814,0,1,2
h5bp/Front-end-Developer-Interview-Questions,753,1,1,0,9.526944444444444,866,0,1,2
h5bp/Front-end-Developer-Interview-Questions,752,2,8,8,31.930555555555557,4308,0,1,2
h5bp/Front-end-Developer-Interview-Questions,751,2,376,572,23.404444444444444,14982,0,1,2
h5bp/Front-end-Developer-Interview-Questions,750,1,1,0,191.47305555555556,827,0,0,1
h5bp/Front-end-Developer-Interview-Questions,749,1,2,0,285.69,1062,0,0,1
h5bp/Front-end-Developer-Interview-Questions,748,2,8,8,10.937777777777777,3662,0,1,2
h5bp/Front-end-Developer-Interview-Questions,747,2,23,8,11.469444444444445,4662,0,1,2
h5bp/Front-end-Developer-Interview-Questions,743,30,2336,311,9899.740833333333,206,0,0,1
h5bp/Front-end-Developer-Interview-Questions,742,6,2341,6,10002.804444444444,988,0,0,1
h5bp/Front-end-Developer-Interview-Questions,741,1,2,2,1.3330555555555557,387,0,1,2
h5bp/Front-end-Developer-Interview-Questions,740,1,2,2,5.740277777777778,15,0,1,2
h5bp/Front-end-Developer-Interview-Questions,739,1,1,1,8.914166666666667,18,0,0,1
h5bp/Front-end-Developer-Interview-Questions,736,1,25,0,1.3483333333333334,12,0,0,1
h5bp/Front-end-Developer-Interview-Questions,734,2,8,8,166.3502777777778,4504,0,1,2
h5bp/Front-end-Developer-Interview-Questions,732,1,1,1,315.36277777777775,256,0,2,3
h5bp/Front-end-Developer-Interview-Questions,731,2,8,8,634.995,4362,0,0,1
h5bp/Front-end-Developer-Interview-Questions,730,2,8,8,635.4030555555555,3856,0,0,1
h5bp/Front-end-Developer-Interview-Questions,729,2,16,16,634.9577777777778,3586,0,1,2
h5bp/Front-end-Developer-Interview-Questions,725,2,115,36,737.2241666666666,5313,0,1,2
h5bp/Front-end-Developer-Interview-Questions,724,2,714,833,13.274166666666666,10429,0,1,2
h5bp/Front-end-Developer-Interview-Questions,723,1,5,2,9.032222222222222,10,0,0,1
h5bp/Front-end-Developer-Interview-Questions,722,2,8,8,59.77361111111111,4373,0,0,1
h5bp/Front-end-Developer-Interview-Questions,720,1,38,0,181.47055555555556,143,0,1,2
h5bp/Front-end-Developer-Interview-Questions,719,2,8,8,227.88416666666666,5431,0,1,2
h5bp/Front-end-Developer-Interview-Questions,718,1,6,6,53.348333333333336,2889,0,1,2
h5bp/Front-end-Developer-Interview-Questions,717,2,8,8,395.69916666666666,5696,0,1,2
h5bp/Front-end-Developer-Interview-Questions,712,2,8,8,15.113888888888889,4603,0,0,1
h5bp/Front-end-Developer-Interview-Questions,711,1,6,6,65.3125,10294,0,0,1
