repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
hoppscotch/hoppscotch,4472,2,251,2,4.17,577,0,1,2
hoppscotch/hoppscotch,4471,8,789,623,7.937222222222222,103,0,1,2
hoppscotch/hoppscotch,4468,14,1009,139,2.0436111111111113,244,0,1,2
hoppscotch/hoppscotch,4462,8,34,0,28.64138888888889,423,0,1,2
hoppscotch/hoppscotch,4456,1,1,1,105.61111111111111,901,0,1,2
hoppscotch/hoppscotch,4446,8,856,946,152.1688888888889,3610,0,0,1
hoppscotch/hoppscotch,4445,2,192,169,3.0652777777777778,1007,0,2,2
hoppscotch/hoppscotch,4444,22,4826,6305,175.0102777777778,16576,0,1,2
hoppscotch/hoppscotch,4443,2,45,63,170.94,90,0,0,1
hoppscotch/hoppscotch,4442,28,2285,860,193.26055555555556,196,0,2,2
hoppscotch/hoppscotch,4440,5,32,14,181.37166666666667,550,0,2,2
hoppscotch/hoppscotch,4433,8,2781,4290,250.1772222222222,1044,0,1,2
hoppscotch/hoppscotch,4426,7,6108,4691,152.665,890,0,1,2
hoppscotch/hoppscotch,4422,2,9,2,14.317777777777778,338,0,2,3
hoppscotch/hoppscotch,4412,11,187,108,376.03027777777777,1495,0,3,3
hoppscotch/hoppscotch,4402,3,13,17,1.2877777777777777,463,0,1,2
hoppscotch/hoppscotch,4397,1,2,2,27.826666666666668,939,0,1,2
hoppscotch/hoppscotch,4396,30,9486,0,44.87111111111111,1840,0,2,3
hoppscotch/hoppscotch,4393,8,59,13,1.7822222222222222,372,0,1,2
hoppscotch/hoppscotch,4386,13,791,79,5.191111111111111,152,0,1,2
hoppscotch/hoppscotch,4384,1,5,6,260.15305555555557,366,0,2,3
hoppscotch/hoppscotch,4382,30,1936,88,89.8313888888889,332,0,4,2
hoppscotch/hoppscotch,4377,9,447,77,109.30611111111111,709,0,1,2
hoppscotch/hoppscotch,4368,12,604,275,244.18833333333333,2246,0,2,3
hoppscotch/hoppscotch,4365,1,1,1,73.94472222222223,565,0,1,2
hoppscotch/hoppscotch,4363,16,256,42,183.1861111111111,411,0,2,3
hoppscotch/hoppscotch,4361,1,31,27,4.708611111111111,315,0,1,2
hoppscotch/hoppscotch,4360,10,483,35,271.53,0,0,0,1
hoppscotch/hoppscotch,4359,5,68,3,207.10333333333332,1015,0,2,2
hoppscotch/hoppscotch,4358,4,141,3,189.93777777777777,958,0,6,3
hoppscotch/hoppscotch,4356,1,10,0,215.56805555555556,117,0,1,2
hoppscotch/hoppscotch,4344,3,132,33,150.98944444444444,1817,0,1,2
hoppscotch/hoppscotch,4337,1,18,8,12.938333333333333,159,0,1,2
hoppscotch/hoppscotch,4336,8,116,109,22.149444444444445,1153,0,1,2
hoppscotch/hoppscotch,4335,7,537,72,530.2888888888889,567,0,1,2
hoppscotch/hoppscotch,4334,9,135,111,390.9169444444444,1468,0,3,3
hoppscotch/hoppscotch,4333,3,4,4,32.720555555555556,551,0,1,2
hoppscotch/hoppscotch,4331,1,85,1,65.58722222222222,238,0,0,1
hoppscotch/hoppscotch,4329,15,56,46,337.9683333333333,204,0,2,2
hoppscotch/hoppscotch,4325,3,14,12,188.11805555555554,319,0,2,3
hoppscotch/hoppscotch,4323,1,95,66,2.4591666666666665,141,0,2,2
hoppscotch/hoppscotch,4315,7,63,26,12.703888888888889,912,0,3,3
hoppscotch/hoppscotch,4311,8,92,41,1.1358333333333333,424,0,1,2
hoppscotch/hoppscotch,4309,6,73,29,16.04111111111111,1340,0,2,2
hoppscotch/hoppscotch,4307,4,287,0,13.608333333333333,436,0,2,3
hoppscotch/hoppscotch,4305,6,231,6,43.455,759,0,1,2
hoppscotch/hoppscotch,4304,1,1,1,1.3277777777777777,110,0,1,2
hoppscotch/hoppscotch,4302,20,488,68,43.219166666666666,798,0,2,3
hoppscotch/hoppscotch,4300,2,3,3,45.81111111111111,83,0,0,1
