repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
huggingface/transformers,34383,3,22,3,1.5811111111111111,398,0,1,2
huggingface/transformers,34380,6,1,6,2.028611111111111,105,0,3,3
huggingface/transformers,34377,5,17,5,3.3205555555555555,352,0,2,3
huggingface/transformers,34371,2,2,1,1.668611111111111,443,0,2,3
huggingface/transformers,34360,2,11,0,18.53388888888889,3462,0,4,4
huggingface/transformers,34350,15,2238,80,5.152222222222222,244,0,5,2
huggingface/transformers,34342,1,3,3,26.02777777777778,0,0,1,2
huggingface/transformers,34341,1,3,1,26.071666666666665,0,0,0,1
huggingface/transformers,34333,1,1,1,29.428055555555556,1114,0,1,2
huggingface/transformers,34324,1,0,1,10.472777777777777,68,0,1,2
huggingface/transformers,34320,2,357,33,9.487777777777778,125,0,0,1
huggingface/transformers,34316,1,8,0,24.950833333333332,47,0,1,2
huggingface/transformers,34314,11,15,16,43.00083333333333,107,0,2,3
huggingface/transformers,34312,8,126,14,21.184722222222224,1446,0,0,1
huggingface/transformers,34308,1,1,1,22.253611111111113,3623,0,0,1
huggingface/transformers,34299,1,1,1,11.811944444444444,312,0,1,2
huggingface/transformers,34297,30,3560,17,1.1358333333333333,62,0,0,1
huggingface/transformers,34293,1,1,1,13.75611111111111,3351,0,2,3
huggingface/transformers,34288,3,61,7,19.3825,0,0,3,3
huggingface/transformers,34285,1,5,1,72.90277777777777,3681,0,3,3
huggingface/transformers,34283,25,81,31,49.42722222222222,1463,0,14,5
huggingface/transformers,34279,1,10,0,28.30472222222222,3558,0,1,2
huggingface/transformers,34252,1,3,3,68.49638888888889,843,0,1,2
huggingface/transformers,34248,1,29,0,71.90388888888889,187,0,1,2
huggingface/transformers,34244,6,130,29,71.96,25,0,2,2
huggingface/transformers,34237,1,5,5,103.48833333333333,1123,0,3,4
huggingface/transformers,34236,2,25,1,103.54944444444445,3981,0,4,4
huggingface/transformers,34235,1,4,4,106.03583333333333,145,0,1,2
huggingface/transformers,34228,3,47,36,87.01194444444444,1126,0,2,2
huggingface/transformers,34225,3,9,3,17.85472222222222,332,0,1,2
huggingface/transformers,34214,1,1,1,4.9222222222222225,2569,0,1,2
huggingface/transformers,34211,2,7,38,100.36277777777778,708,0,1,2
huggingface/transformers,34209,1,12,0,33.893055555555556,1607,0,0,1
huggingface/transformers,34208,1,1,1,155.46027777777778,115,0,1,2
huggingface/transformers,34201,1,3,2,38.18555555555555,3508,0,2,3
huggingface/transformers,34199,30,64,42,21.494444444444444,622,0,7,4
huggingface/transformers,34198,2,325,124,30.158055555555556,1765,0,13,6
huggingface/transformers,34197,1,1,1,1.9044444444444444,721,0,1,2
huggingface/transformers,34193,2,0,68,8.889722222222222,38,0,2,3
huggingface/transformers,34191,30,1511,2538,37.61277777777778,287,0,16,6
huggingface/transformers,34181,1,64,0,163.34583333333333,670,0,1,2
huggingface/transformers,34180,1,2,2,69.625,128,0,3,3
huggingface/transformers,34177,1,2,1,23.655277777777776,2381,0,2,3
huggingface/transformers,34175,9,496,292,159.8036111111111,392,0,1,2
huggingface/transformers,34171,6,442,1,53.07555555555555,468,0,1,2
huggingface/transformers,34166,1,2,1,183.82944444444445,786,0,1,2
huggingface/transformers,34165,1,4,2,44.02111111111111,2237,0,2,3
huggingface/transformers,34163,2,106,0,232.59277777777777,1273,0,4,3
huggingface/transformers,34154,4,10,4,98.41527777777777,0,0,1,2
huggingface/transformers,34150,1,3,3,23.585,0,0,1,2
huggingface/transformers,34148,1,1,1,4.039166666666667,2543,0,1,2
huggingface/transformers,34147,9,16,21,109.03833333333333,1996,0,3,3
huggingface/transformers,34139,13,90,3,214.18944444444443,3611,0,2,2
huggingface/transformers,34106,1,1,1,50.85,3437,0,2,3
huggingface/transformers,34102,1,55,0,254.20555555555555,665,0,1,2
huggingface/transformers,34101,1,69,0,139.89305555555555,4430,0,1,2
huggingface/transformers,34095,1,63,71,24.11777777777778,3091,0,2,2
huggingface/transformers,34094,3,69,0,64.84472222222222,3333,0,2,3
huggingface/transformers,34093,9,0,230,263.3497222222222,2840,0,1,2
huggingface/transformers,34089,22,2743,1178,259.2133333333333,159,0,3,3
huggingface/transformers,34088,2,9,4,2.1055555555555556,158,0,2,3
huggingface/transformers,34079,2,6,6,159.95166666666665,382,0,2,2
huggingface/transformers,34077,3,696,11,114.28111111111112,2902,0,2,2
huggingface/transformers,34076,1,9,0,114.90638888888888,2235,0,2,3
huggingface/transformers,34074,1,1,0,20.61777777777778,501,0,2,3
huggingface/transformers,34073,1,5,4,117.22888888888889,1366,0,2,3
huggingface/transformers,34071,2,9,0,21.899722222222223,52,0,6,3
huggingface/transformers,34070,1,3,0,24.848333333333333,143,0,2,2
huggingface/transformers,34069,2,2,1,22.98361111111111,295,0,2,2
huggingface/transformers,34068,2,96,6,337.3772222222222,1464,0,1,2
huggingface/transformers,34067,1,9,2,1.1822222222222223,262,0,1,2
huggingface/transformers,34066,2,14,3,118.24833333333333,1028,0,3,3
huggingface/transformers,34065,2,2,2,288.2922222222222,234,0,1,2
huggingface/transformers,34063,16,2840,1108,265.89,8266,0,11,3
huggingface/transformers,34062,10,406,96,118.1425,341,0,3,3
huggingface/transformers,34052,13,61725,0,22.625555555555554,320,0,0,1
huggingface/transformers,34051,1,2,1,19.52,2781,0,5,3
huggingface/transformers,34049,1,2,4,15.94,235,0,2,2
huggingface/transformers,34048,25,49,725,44.615,392,0,4,3
huggingface/transformers,34045,19,507,4,110.90638888888888,3837,0,6,2
huggingface/transformers,34044,5,95,2,20.441944444444445,3323,0,2,3
huggingface/transformers,34043,7,100,18,160.5638888888889,194,0,3,3
huggingface/transformers,34042,11,35,19,44.34222222222222,525,0,1,2
huggingface/transformers,34040,1,17,0,121.85527777777777,3350,0,5,2
huggingface/transformers,34039,3,24,11,24.598055555555554,571,0,3,3
huggingface/transformers,34037,2,2,5,25.709444444444443,349,0,3,4
huggingface/transformers,34036,2,6,2,28.8125,426,0,1,2
huggingface/transformers,34032,2,68,0,147.1627777777778,1843,0,4,5
huggingface/transformers,34031,1,2,0,209.56583333333333,2792,0,1,2
huggingface/transformers,34030,1,4,7,379.7286111111111,204,0,1,2
huggingface/transformers,34028,1,3,0,23.686666666666667,1268,0,2,3
huggingface/transformers,34026,2,6,13,381.98305555555555,631,0,1,2
huggingface/transformers,34023,4,4,4,221.30083333333334,534,0,3,3
huggingface/transformers,34021,1,7,2,13.821944444444444,339,0,4,3
huggingface/transformers,34014,1,0,1,21.34861111111111,243,0,2,3
huggingface/transformers,34012,1,2,2,21.226666666666667,2903,0,4,3
huggingface/transformers,34011,2,16,5,22.44527777777778,211,0,1,2
huggingface/transformers,34010,2,30,37,93.6225,259,0,2,3
huggingface/transformers,34007,1,5,0,22.626944444444444,1579,0,5,3
huggingface/transformers,34006,1,5,2,41.853611111111114,59,0,1,2
