repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
iluwatar/java-design-patterns,3056,30,30,0,261.31083333333333,859,0,1,2
iluwatar/java-design-patterns,3055,30,2569,1163,277.86083333333335,415,0,0,1
iluwatar/java-design-patterns,3054,1,71,0,290.0886111111111,548,0,0,1
iluwatar/java-design-patterns,3053,1,1,1,295.9683333333333,4378,0,0,1
iluwatar/java-design-patterns,3052,1,1,1,167.71055555555554,5346,0,0,1
iluwatar/java-design-patterns,3051,1,1,1,136.73444444444445,13682,0,0,1
iluwatar/java-design-patterns,3050,1,187,0,304.6172222222222,644,0,1,2
iluwatar/java-design-patterns,3044,1,25,0,185.88555555555556,548,0,0,1
iluwatar/java-design-patterns,3043,1,93,0,186.14638888888888,636,0,1,2
iluwatar/java-design-patterns,3039,1,100,0,262.4241666666667,548,0,0,1
iluwatar/java-design-patterns,3038,2,385,0,281.24805555555554,185,0,1,2
iluwatar/java-design-patterns,3036,1,1,1,472.7605555555556,4320,0,1,2
iluwatar/java-design-patterns,3033,2,8,8,656.2361111111111,538,0,1,2
iluwatar/java-design-patterns,3032,3,20,9,765.6108333333333,1290,0,5,3
iluwatar/java-design-patterns,3031,1,1,1,466.1688888888889,4147,0,1,2
iluwatar/java-design-patterns,3029,9,9,9,672.3591666666666,11163,0,0,1
iluwatar/java-design-patterns,3028,1,1,1,335.25,4197,0,1,2
iluwatar/java-design-patterns,3027,1,1,1,1176.1227777777779,5959,0,0,1
iluwatar/java-design-patterns,3026,1,1,1,1304.9925,2013,0,0,1
iluwatar/java-design-patterns,3025,1,1,1,1305.0277777777778,3619,0,0,1
iluwatar/java-design-patterns,3024,1,22,21,919.6375,548,0,0,1
iluwatar/java-design-patterns,3023,1,1,1,54.614444444444445,5413,0,0,1
iluwatar/java-design-patterns,3022,1,1,1,54.625,3129,0,0,1
iluwatar/java-design-patterns,3021,1,1,1,7.164166666666667,3129,0,0,1
iluwatar/java-design-patterns,3020,9,9,9,7.160555555555556,11066,0,0,1
iluwatar/java-design-patterns,3019,14,324,211,602.4338888888889,75,0,1,2
