repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
jquery/jquery,5566,2,193,223,49.54222222222222,835,0,1,2
jquery/jquery,5565,1,53,56,29.35388888888889,662,0,1,2
jquery/jquery,5564,1,10,9,116.5025,1043,0,1,2
jquery/jquery,5563,1,3,1,46.27055555555555,625,0,4,3
jquery/jquery,5560,1,1,1,607.3352777777778,519,0,1,2
jquery/jquery,5559,2,385,255,103.15444444444445,1172,0,1,2
jquery/jquery,5558,2,69,69,19.6725,9729,0,1,2
jquery/jquery,5548,1,18,7,4.128333333333333,991,0,1,2
jquery/jquery,5547,2,18,8,38.47805555555556,1062,0,1,2
jquery/jquery,5545,1,3,3,45.154444444444444,8743,0,1,2
jquery/jquery,5544,2,6,27,62.391666666666666,5211,0,1,2
jquery/jquery,5541,1,16,0,2.0658333333333334,290,0,1,2
jquery/jquery,5540,3,47,3,353.24944444444446,989,0,1,2
jquery/jquery,5538,1,4,4,23.298333333333332,588,0,1,2
jquery/jquery,5532,8,138,138,3.4052777777777776,845,0,4,2
jquery/jquery,5531,15,1810,1206,310.69083333333333,796,0,8,2
jquery/jquery,5528,5,8,8,8.546666666666667,12729,0,1,2
jquery/jquery,5527,5,171,614,223.36166666666668,838,0,4,3
jquery/jquery,5524,2,15,1,246.31722222222223,588,0,4,3
jquery/jquery,5523,2,44,1,1233.911388888889,322,0,30,4
jquery/jquery,5522,30,1153,506,268.2561111111111,2584,0,4,2
jquery/jquery,5521,11,465,415,283.23277777777776,1044,0,9,2
jquery/jquery,5519,5,33,10,46.90027777777778,1210,0,2,2
jquery/jquery,5518,3,2,2,4.937222222222222,599,0,1,2
jquery/jquery,5517,4,16,7,1.0988888888888888,740,0,5,2
jquery/jquery,5515,5,9,9,111.64472222222223,18360,0,1,2
jquery/jquery,5513,1,3,3,473.79527777777776,4990,0,0,1
jquery/jquery,5512,30,1094,580,573.4616666666667,2054,0,30,3
jquery/jquery,5511,1,7,7,585.4511111111111,4360,0,0,1
jquery/jquery,5509,5,704,456,69.5286111111111,981,0,3,2
jquery/jquery,5508,20,503,632,69.63583333333334,1115,0,16,2
jquery/jquery,5507,1,11,30,4.668611111111111,795,0,1,2
jquery/jquery,5506,1,10,9,4.94,988,0,1,2
jquery/jquery,5504,15,125,117,118.70555555555555,698,0,9,2
jquery/jquery,5503,1,7,0,23.29361111111111,1366,0,1,2
jquery/jquery,5501,15,141,125,71.16388888888889,616,0,10,2
jquery/jquery,5500,1,3,3,117.15833333333333,9222,0,0,1
jquery/jquery,5499,5,6,6,117.16027777777778,14352,0,0,1
jquery/jquery,5498,1,2,2,3.736111111111111,645,0,1,2
jquery/jquery,5497,1,6,6,3.7408333333333332,733,0,1,2
jquery/jquery,5496,4,61,5,124.22583333333333,1141,0,1,2
jquery/jquery,5495,4,43,5,124.23333333333333,934,0,2,2
jquery/jquery,5494,1,1,1,57.41388888888889,805,0,0,1
jquery/jquery,5493,1,1,1,114.21638888888889,856,0,1,2
jquery/jquery,5492,1,1,1,114.22111111111111,856,0,1,2
jquery/jquery,5491,1,1,0,9.721388888888889,2,0,0,1
jquery/jquery,5490,2,53,0,16.419722222222223,844,0,0,1
jquery/jquery,5485,1,3,3,744.6125,9699,0,0,1
jquery/jquery,5484,5,6,6,744.6125,11066,0,0,1
jquery/jquery,5482,1,1,1,2.674722222222222,661,0,1,2
jquery/jquery,5481,1,1,1,2.6794444444444445,636,0,1,2
jquery/jquery,5480,5,54,64,4.360555555555556,915,0,0,1
jquery/jquery,5479,2,2,2,5.333333333333333,651,0,2,3
jquery/jquery,5478,2,20,10,5.413333333333333,902,0,1,2
jquery/jquery,5466,2,97,18,1152.275,2053,0,10,3
jquery/jquery,5465,13,336,446,1.978611111111111,841,0,1,2
jquery/jquery,5464,1,3,3,44.79833333333333,7955,0,0,1
jquery/jquery,5463,5,6,6,44.79388888888889,10040,0,0,1
jquery/jquery,5462,5,13,13,44.72638888888889,1786,0,1,2
jquery/jquery,5460,13,336,446,95.65611111111112,1162,0,9,2
jquery/jquery,5455,2,58,26,135.73666666666668,721,0,1,2
jquery/jquery,5454,2,58,26,134.0536111111111,695,0,25,4
jquery/jquery,5452,3,84,48,25.548333333333332,2578,0,2,3
jquery/jquery,5451,1,25,9,4.7427777777777775,2230,0,0,1
jquery/jquery,5446,3,63,5,4.660277777777778,664,0,1,2
jquery/jquery,5445,3,63,5,4.6691666666666665,639,0,2,2
jquery/jquery,5444,1,12,12,12.814722222222223,765,0,1,2
jquery/jquery,5443,1,12,12,12.823333333333334,740,0,3,2
jquery/jquery,5441,13,80,60,25.078333333333333,1139,0,1,2
jquery/jquery,5440,13,69,58,24.9875,1215,0,5,2
jquery/jquery,5439,6,94,38,22.826944444444443,754,0,1,2
jquery/jquery,5438,6,94,38,22.749166666666667,729,0,4,2
jquery/jquery,5437,7,144,267,15.879722222222222,716,0,1,2
jquery/jquery,5436,7,379,233,15.899722222222222,650,0,4,2
jquery/jquery,5435,1,56,0,4.248333333333333,1008,0,1,2
jquery/jquery,5434,1,64,0,4.309166666666667,939,0,2,3
jquery/jquery,5429,30,1168,43,216.79194444444445,3513,0,23,3
jquery/jquery,5428,18,539,441,76.76833333333333,1624,0,3,2
jquery/jquery,5427,30,13508,14743,89.61444444444444,1617,0,9,2
jquery/jquery,5425,1,3,3,230.16722222222222,8355,0,1,2
jquery/jquery,5424,3,4,4,230.15944444444443,7087,0,1,2
jquery/jquery,5423,5,87,28,82.3225,1463,0,16,2
jquery/jquery,5422,1,1,1,1.0044444444444445,422,0,1,2
jquery/jquery,5420,1,5,5,91.44527777777778,417,0,1,2
jquery/jquery,5418,30,14101,14734,251.34222222222223,4275,0,30,3
jquery/jquery,5415,1,3,3,12.87111111111111,8560,0,0,1
jquery/jquery,5414,1,2,2,36.089444444444446,529,0,0,1
jquery/jquery,5413,1,1,7,18.319444444444443,677,0,1,2
jquery/jquery,5412,1,5,1,2.4330555555555557,627,0,1,2
jquery/jquery,5408,4,10,5,20.49,681,0,17,2
jquery/jquery,5403,1,3,3,227.66666666666666,8958,0,0,1
jquery/jquery,5402,2,4,4,240.53805555555556,8300,0,1,2
jquery/jquery,5400,1,1,1,22.624166666666667,600,0,1,2
jquery/jquery,5399,1,1,1,22.631666666666668,608,0,1,2
jquery/jquery,5398,1,3,10,24.891666666666666,1603,0,2,3
jquery/jquery,5397,1,5,9,239.23888888888888,761,0,4,2
jquery/jquery,5395,5,146,26,10.610833333333334,1112,0,4,2
jquery/jquery,5393,3,51,12,1199.683611111111,922,0,2,2
jquery/jquery,5392,5,13,21,128.30166666666668,616,0,1,2
jquery/jquery,5391,1,17,3,7.209444444444444,278,0,1,2
