repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
junegunn/fzf,4036,1,1,1,19.181944444444444,6920,0,0,1
junegunn/fzf,4032,2,3,3,186.11166666666668,3669,0,0,1
junegunn/fzf,4031,2,6,6,186.10305555555556,2371,0,0,1
junegunn/fzf,4030,1,1,1,168.31972222222223,6521,0,0,1
junegunn/fzf,4023,1,1,1,337.03472222222223,285,0,1,2
junegunn/fzf,4005,1,1,1,335.71777777777777,6026,0,0,1
junegunn/fzf,4004,1,1,0,1.523611111111111,11,0,0,1
junegunn/fzf,4002,3,11,4,14.669722222222223,153,0,0,1
junegunn/fzf,3992,1,1,1,335.42944444444447,5895,0,0,1
junegunn/fzf,3991,2,6,6,23.13361111111111,2553,0,0,1
junegunn/fzf,3990,2,3,3,23.14527777777778,3851,0,0,1
junegunn/fzf,3986,1,1,1,168.58916666666667,5299,0,0,1
junegunn/fzf,3978,1,1,1,66.36861111111111,5243,0,0,1
junegunn/fzf,3969,1,8,8,106.13305555555556,134,0,0,1
junegunn/fzf,3968,2,3,3,5.7,3858,0,0,1
junegunn/fzf,3967,9,97,17,389.60333333333335,686,0,0,1
junegunn/fzf,3966,2,6,6,23.9,2527,0,0,1
junegunn/fzf,3958,2,50,12,65.32,812,0,0,1
junegunn/fzf,3956,1,1,1,449.395,5934,0,0,1
junegunn/fzf,3955,2,4,2,53.86361111111111,846,0,0,1
junegunn/fzf,3945,1,1,1,167.8486111111111,5472,0,0,1
junegunn/fzf,3942,1,5,0,897.6913888888889,99,0,0,1
junegunn/fzf,3930,3,4,3,23.782222222222224,829,0,0,1
junegunn/fzf,3928,1,1,1,6.897777777777778,1360,0,0,1
junegunn/fzf,3923,1,1,1,336.3488888888889,4628,0,0,1
junegunn/fzf,3911,14,35,28,56.74611111111111,0,0,0,1
junegunn/fzf,3909,2,4,4,4.0725,223,0,0,1
junegunn/fzf,3907,3,23,5,126.57916666666667,289,0,2,2
junegunn/fzf,3906,1,4,4,1.7780555555555555,2236,0,1,2
junegunn/fzf,3893,1,1,1,5.9816666666666665,738,0,0,1
junegunn/fzf,3887,7,354,117,62.463055555555556,215,0,0,1
junegunn/fzf,3885,2,481,481,33.81472222222222,1640,0,8,2
junegunn/fzf,3882,1,2,2,7.848055555555556,340,0,9,2
junegunn/fzf,3878,2,3,3,9.617222222222223,11,0,0,1
junegunn/fzf,3877,1,1,1,10.07638888888889,568,0,0,1
junegunn/fzf,3875,1,0,1,10.466388888888888,231,0,0,1
junegunn/fzf,3871,1,1,1,36.562777777777775,5415,0,0,1
junegunn/fzf,3856,1,6,3,1.6625,1339,0,0,1
junegunn/fzf,3855,1,1,1,10.495833333333334,636,0,0,1
junegunn/fzf,3852,2,6,1,36.25888888888889,50,0,0,1
junegunn/fzf,3850,1,1,1,69.97444444444444,5516,0,0,1
junegunn/fzf,3849,2,6,6,70.12555555555555,2371,0,0,1
junegunn/fzf,3830,1,4,4,3.8555555555555556,272,0,0,1
junegunn/fzf,3823,1,14,6,22.934444444444445,49,0,4,2
junegunn/fzf,3822,1,6,1,491.4552777777778,394,0,4,2
junegunn/fzf,3820,1,1,1,7.8025,200,0,4,2
junegunn/fzf,3811,1,5,4,17.891666666666666,53,0,0,1
junegunn/fzf,3807,30,1388,493,428.5883333333333,2346,0,12,2
