repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
justjavac/free-programming-books-zh_CN,881,1,1,0,4735.766666666666,0,0,0,1
justjavac/free-programming-books-zh_CN,880,1,2,1,428.84555555555556,0,0,1,2
justjavac/free-programming-books-zh_CN,877,1,6,0,66.73222222222222,0,0,0,1
justjavac/free-programming-books-zh_CN,876,1,1,0,3.0191666666666666,0,0,0,1
justjavac/free-programming-books-zh_CN,875,1,135,135,1103.5608333333332,153,0,0,1
justjavac/free-programming-books-zh_CN,874,1,6,5,9192.95638888889,0,0,0,1
justjavac/free-programming-books-zh_CN,873,1,1,0,983.3872222222222,11,0,0,1
justjavac/free-programming-books-zh_CN,871,1,1,0,24.628055555555555,17,0,0,1
justjavac/free-programming-books-zh_CN,861,1,1,1,16700.085833333334,148,0,0,1
justjavac/free-programming-books-zh_CN,853,2,18,18,6978.247777777778,54,0,0,1
justjavac/free-programming-books-zh_CN,852,1,1,0,7125.127777777778,0,0,0,1
justjavac/free-programming-books-zh_CN,850,1,1,0,1622.9886111111111,18,0,0,1
justjavac/free-programming-books-zh_CN,849,1,1,1,1981.3105555555555,0,0,1,2
justjavac/free-programming-books-zh_CN,848,1,2,0,2153.3488888888887,16,0,1,2
justjavac/free-programming-books-zh_CN,847,1,1,0,2419.526388888889,0,0,1,2
justjavac/free-programming-books-zh_CN,846,1,2,0,2438.8119444444446,48,0,1,2
justjavac/free-programming-books-zh_CN,845,1,7,0,2795.2355555555555,0,0,3,3
justjavac/free-programming-books-zh_CN,844,1,2,0,3182.995,0,0,0,1
justjavac/free-programming-books-zh_CN,838,1,0,2,724.5722222222222,50,0,0,1
justjavac/free-programming-books-zh_CN,834,1,1,1,12683.301944444445,5,0,0,1
justjavac/free-programming-books-zh_CN,831,1,1,1,11208.794444444444,33,0,0,1
justjavac/free-programming-books-zh_CN,830,1,1,1,11257.625833333334,28,0,0,1
justjavac/free-programming-books-zh_CN,825,1,7,0,12119.359444444444,80,0,1,2
justjavac/free-programming-books-zh_CN,824,1,1,1,12375.869444444445,0,0,1,2
justjavac/free-programming-books-zh_CN,822,1,1,1,431.57666666666665,0,0,0,1
justjavac/free-programming-books-zh_CN,821,1,1,1,12842.388055555555,7,0,0,1
justjavac/free-programming-books-zh_CN,820,0,0,0,13511.6625,8,0,1,2
justjavac/free-programming-books-zh_CN,819,1,1,0,15525.632222222222,0,0,0,1
justjavac/free-programming-books-zh_CN,818,1,1,1,8299.991944444444,13,0,0,1
justjavac/free-programming-books-zh_CN,814,1,2,0,18111.236666666668,0,0,1,2
justjavac/free-programming-books-zh_CN,813,1,4,0,18552.84138888889,101,0,1,2
justjavac/free-programming-books-zh_CN,812,1,1,1,18578.60388888889,148,0,1,2
justjavac/free-programming-books-zh_CN,811,1,1,1,44.93361111111111,17,0,0,1
justjavac/free-programming-books-zh_CN,810,1,593,586,50.2375,0,0,0,1
