repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
kdn251/interviews,232,1,44,0,3670.2816666666668,32,0,0,1
kdn251/interviews,220,3,522,0,562.2780555555555,41,0,0,1
kdn251/interviews,216,1,2,0,233.47166666666666,260,0,0,1
kdn251/interviews,210,1,38,0,2492.5944444444444,0,0,0,1
kdn251/interviews,208,1,2,2,5296.822777777777,27,0,0,1
kdn251/interviews,206,1,62,0,4960.529166666666,50,0,0,1
kdn251/interviews,204,1,0,0,19153.680833333332,101,0,0,1
kdn251/interviews,199,8,51,2,96.30944444444444,0,0,0,1
kdn251/interviews,189,1,15,15,10549.504722222222,387,0,0,1
kdn251/interviews,172,1,1,0,36213.778333333335,536,0,0,1
kdn251/interviews,142,1,0,0,8761.952777777778,126,0,0,1
kdn251/interviews,126,5,340,0,39572.235,0,0,0,1
kdn251/interviews,104,1,1,0,4651.836666666667,86,0,0,1
kdn251/interviews,102,1,1,0,19188.579444444444,108,0,2,3
kdn251/interviews,96,1,0,0,161.88777777777779,0,0,0,1
kdn251/interviews,88,1,1,0,1339.933888888889,19,0,0,1
kdn251/interviews,86,30,855,194,2288.3694444444445,0,0,0,1
kdn251/interviews,84,1,1,1,690.7911111111111,47,0,0,1
kdn251/interviews,82,1,2,1,37.14055555555556,227,0,0,1
kdn251/interviews,79,1,4,4,24.064444444444444,0,0,0,1
kdn251/interviews,78,30,1065,49,1287.3938888888888,0,0,0,1
kdn251/interviews,77,1,3,3,3673.5180555555557,81,0,1,2
kdn251/interviews,76,1,16,0,1655.5558333333333,0,0,0,1
kdn251/interviews,74,30,908,9,173.3375,0,0,0,1
kdn251/interviews,73,1,19,19,8.868055555555555,19,0,0,1
kdn251/interviews,72,1,19,19,8.921944444444444,15,0,0,1
kdn251/interviews,71,1,19,19,27.903055555555557,0,0,0,1
kdn251/interviews,68,30,855,0,191.6286111111111,0,0,0,1
kdn251/interviews,65,2,2,0,2521.7883333333334,0,0,0,1
kdn251/interviews,64,1,36,36,869.0386111111111,325,0,0,1
kdn251/interviews,62,3,7,7,103.04194444444444,33,0,0,1
kdn251/interviews,60,1,1,0,1510.203888888889,70,0,0,1
kdn251/interviews,58,1,3,3,1437.1875,33,0,0,1
kdn251/interviews,57,1,3,3,2774.0744444444445,0,0,0,1
kdn251/interviews,55,1,1,1,2393.5316666666668,98,0,0,1
kdn251/interviews,54,1,50,0,3930.862222222222,48,0,0,1
kdn251/interviews,53,1,2,2,4190.025833333333,0,0,0,1
kdn251/interviews,50,1,7,0,4775.338611111111,285,0,0,1
kdn251/interviews,49,1,1,0,4788.1305555555555,0,0,0,1
kdn251/interviews,48,1,2,0,200.96416666666667,0,0,0,1
kdn251/interviews,47,1,1,1,1132.078888888889,0,0,1,2
kdn251/interviews,43,2,2,0,87.8575,0,0,0,1
kdn251/interviews,42,3,24,16,5411.015833333333,0,0,1,2
kdn251/interviews,41,1,2,2,26.223055555555554,0,0,0,1
kdn251/interviews,40,30,1794,0,495.23027777777776,50,0,0,1
kdn251/interviews,39,2,6,0,1972.2897222222223,246,0,0,1
kdn251/interviews,38,1,451,149,756.2386111111111,131,0,17,3
kdn251/interviews,37,4,181,147,8.307777777777778,68,0,0,1
kdn251/interviews,36,4,180,147,33.846666666666664,71,0,2,2
kdn251/interviews,34,1,4,1,129.2761111111111,20,0,3,2
kdn251/interviews,33,1,22,0,90.77444444444444,39,0,0,1
kdn251/interviews,31,1,4,4,20.142222222222223,169,0,0,1
kdn251/interviews,30,1,1,0,11.717777777777778,3,0,0,1
kdn251/interviews,29,8,388,0,126.81305555555555,30,0,19,2
kdn251/interviews,27,1,1,1,1.431111111111111,0,0,0,1
kdn251/interviews,23,1,2,3,1.003611111111111,0,0,0,1
kdn251/interviews,22,4,48,3,166.07944444444445,178,0,0,1
kdn251/interviews,21,1,1,0,50.05861111111111,51,0,0,1
kdn251/interviews,20,1,2,1,7.3838888888888885,162,0,1,2
kdn251/interviews,19,1,2,0,199.03444444444443,0,0,0,1
kdn251/interviews,18,2,444,0,20.436666666666667,54,0,0,1
kdn251/interviews,17,1,8,0,578.9180555555556,0,0,1,2
kdn251/interviews,16,1,3,3,30.229166666666668,0,0,0,1
kdn251/interviews,14,1,59,3,92.07638888888889,270,0,1,2
kdn251/interviews,13,1,1,0,13.145277777777778,0,0,0,1
kdn251/interviews,9,1,1,0,1.5875,140,0,0,1
kdn251/interviews,6,4,3,2,48.48888888888889,22,0,9,3
kdn251/interviews,4,1,0,0,10.06611111111111,51,0,0,1
kdn251/interviews,2,1,1,1,14.165833333333333,0,0,0,1
kdn251/interviews,1,4,13,11,14.413333333333334,187,0,0,1
